"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.32269075183971,0.958,0.63,0,"0","AIF1"
0,1.38905160698527,0.904,0.618,0,"0","H3F3A"
0,1.06786324192664,0.913,0.694,0,"0","H3F3B"
0,0.779083007748673,0.946,0.771,0,"0","C1QC"
0,0.789050462611579,0.948,0.779,0,"0","FCER1G"
0,0.802805039663918,0.951,0.785,0,"0","ATP5F1E"
0,0.792167020740746,0.959,0.793,0,"0","NPC2"
0,0.826569958648897,0.95,0.785,0,"0","CST3"
0,0.723325903914858,0.984,0.826,0,"0","C1QA"
0,0.727653081628084,0.964,0.814,0,"0","TYROBP"
0,0.595433670043799,0.996,0.885,0,"0","ACTB"
0,0.6337494484012,0.987,0.878,0,"0","TMSB10"
0,0.524657380928544,0.999,0.92,0,"0","TMSB4X"
0,0.548681411646168,0.995,0.921,0,"0","B2M"
6.15916676863798e-299,0.672582385720363,0.96,0.837,1.64178749384814e-294,"0","CD14"
1.00648674186167e-295,0.791692406988326,0.934,0.789,2.68289105910648e-291,"0","PFDN5"
1.09756726347424e-295,0.798428740715625,0.935,0.794,2.92567529751694e-291,"0","FOLR2"
1.83868824171357e-289,0.533479459749943,0.993,0.949,4.90120737711168e-285,"0","EEF1A1"
1.84176698625442e-276,0.811400040394394,0.923,0.773,4.90941407855979e-272,"0","TUBA1B"
5.95281424086429e-260,0.766309089934967,0.922,0.781,1.58678216404478e-255,"0","CYBA"
3.6064051394605e-258,0.696306295128809,0.937,0.809,9.61323353974592e-254,"0","UBA52"
1.07927938612309e-251,0.7162498963482,0.935,0.816,2.87692713164972e-247,"0","FAU"
7.61111165925094e-233,0.711872300720423,0.927,0.808,2.02881792388993e-228,"0","OAZ1"
4.15930127041598e-230,0.667879454124447,0.94,0.842,1.10870334664208e-225,"0","CD63"
3.3900250281765e-228,0.641091237359702,0.944,0.839,9.03645071510727e-224,"0","FCGRT"
2.19952303875167e-225,0.702185646346204,0.926,0.799,5.86304861209644e-221,"0","UBC"
5.58860483386526e-223,0.681219256728613,0.931,0.819,1.48969850451512e-218,"0","EIF1"
2.20281030990911e-221,0.665147669186557,0.942,0.858,5.87181116209372e-217,"0","SERF2"
1.00547019229857e-220,0.775125291517903,0.907,0.788,2.68018134459106e-216,"0","NACA"
6.30903594626991e-220,0.772423800349315,0.904,0.771,1.68173662183771e-215,"0","CFL1"
2.05132477088477e-216,1.27572971112407,0.72,0.462,5.46801130927044e-212,"0","ATP5MF"
3.99064312729161e-216,0.762240664406114,0.902,0.775,1.06374583201085e-211,"0","PFN1"
1.43776086002113e-212,0.787775977552011,0.897,0.777,3.83249534847233e-208,"0","RACK1"
6.70073900048496e-212,0.585104412183164,0.954,0.851,1.78614898796927e-207,"0","RNASE1"
2.65495920692168e-209,0.66603013790374,0.927,0.811,7.07705926197044e-205,"0","C1QB"
1.66929637360223e-208,0.830610840299623,0.874,0.725,4.44967641347412e-204,"0","CD68"
1.24793109716335e-195,0.791978394951924,0.887,0.768,3.32648513259863e-191,"0","PPIA"
2.98831300446396e-195,1.0318340113886,0.827,0.653,7.96564714469914e-191,"0","HLA-B"
1.20149735668597e-189,0.653916753292565,0.911,0.785,3.20271135398212e-185,"0","S100A9"
3.87714351077905e-184,0.969850086383508,0.814,0.659,1.03349137423326e-179,"0","CSTB"
1.81395528078281e-180,0.651888519261699,0.916,0.822,4.83527919645466e-176,"0","MYL6"
7.42488132943425e-180,0.558854561670473,0.955,0.883,1.979176367174e-175,"0","PLTP"
6.92963489788058e-179,0.691318584551601,0.893,0.772,1.84716347837905e-174,"0","GAPDH"
7.12696993496318e-179,0.751749112681617,0.875,0.729,1.89976510586379e-174,"0","CTSD"
