"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.36823898705351,0.726,0.259,0,"0","BAG3"
0,1.76700092417996,0.782,0.332,0,"0","NR4A1"
0,2.00628196833981,0.737,0.292,0,"0","CCL4L2"
0,1.56186926414526,0.913,0.51,0,"0","CCL4"
0,1.98546502507842,0.652,0.256,0,"0","KDM6B"
0,1.39208894828425,0.957,0.567,0,"0","HSPA1B"
0,1.58323496288999,0.871,0.481,0,"0","CD83"
0,1.45806851953039,0.854,0.464,0,"0","NFKBIZ"
0,1.82349394977698,0.64,0.261,0,"0","DNAJA4"
0,1.67320952089353,0.63,0.259,0,"0","DNAJB4"
0,1.40573600717374,0.742,0.373,0,"0","ATF3"
0,1.6002203043008,0.78,0.414,0,"0","RASGEF1B"
0,1.77374089707264,0.625,0.259,0,"0","CSRNP1"
0,1.67313532654241,0.601,0.251,0,"0","TNFAIP3"
0,1.23448414744071,0.791,0.445,0,"0","KLF4"
0,1.28421789419075,0.946,0.6,0,"0","DNAJB1"
0,1.9041494668142,0.505,0.163,0,"0","NR4A3"
0,1.32472453555519,0.901,0.564,0,"0","PPP1R15A"
0,1.34670684884288,0.743,0.41,0,"0","NR4A2"
0,1.44230419039178,0.893,0.562,0,"0","HSPH1"
0,1.15741433578717,0.885,0.563,0,"0","IER3"
0,1.11120331546898,0.928,0.612,0,"0","FOSB"
0,1.40917664458896,0.641,0.329,0,"0","PPP1R15B"
0,1.85096053056604,0.545,0.234,0,"0","ZFAND2A"
0,2.90790399778327,0.423,0.112,0,"0","IL1B"
0,1.29900892216298,0.899,0.591,0,"0","CCL3"
0,1.34491366391076,0.743,0.438,0,"0","CXCL8"
0,1.67660312241719,0.563,0.258,0,"0","NFKBID"
0,1.09391199432157,0.912,0.608,0,"0","BTG2"
0,1.99391271761544,0.475,0.177,0,"0","TNFSF9"
0,1.46152266036664,0.642,0.345,0,"0","TRIB1"
0,1.2003209081715,0.987,0.698,0,"0","HSPA1A"
0,1.09871561719559,0.911,0.629,0,"0","KLF2"
0,1.4794772505445,0.595,0.313,0,"0","CHORDC1"
0,1.28915953365443,0.817,0.537,0,"0","ICAM1"
0,1.02946567486467,0.9,0.636,0,"0","SOD2"
0,0.855416398087873,0.903,0.639,0,"0","EGR1"
0,0.892447330344264,0.863,0.613,0,"0","RHOB"
0,1.24377885524107,0.876,0.634,0,"0","HSPD1"
0,0.892200736507396,0.918,0.678,0,"0","JUND"
0,0.97645257436779,0.92,0.687,0,"0","PNRC1"
0,1.07430661103465,0.72,0.488,0,"0","NEU1"
0,0.833556310125032,0.918,0.69,0,"0","GADD45B"
0,0.951514815763401,0.953,0.73,0,"0","NFKBIA"
0,0.756881667610861,0.81,0.594,0,"0","FSCN1"
0,0.947902134829722,0.899,0.685,0,"0","DNAJA1"
0,0.862944335478383,0.949,0.745,0,"0","ZFP36"
0,0.917857873924357,0.871,0.67,0,"0","SQSTM1"
0,0.831352731763254,0.801,0.603,0,"0","EIF5"
0,0.773243897764565,0.95,0.754,0,"0","IER2"
0,0.879417443954206,0.885,0.69,0,"0","HSPA5"
0,0.713341202683898,0.868,0.676,0,"0","CEBPD"
0,0.840507149603238,0.881,0.69,0,"0","MCL1"
0,0.82784229744103,0.986,0.796,0,"0","JUN"
0,0.8389313618945,0.836,0.647,0,"0","HSPE1"
0,0.890249424966829,0.958,0.772,0,"0","KLF6"
0,0.686415817373698,0.948,0.773,0,"0","DUSP1"
0,0.542658822264427,0.961,0.805,0,"0","LYVE1"
0,0.705426196122441,0.952,0.796,0,"0","HSPA8"
0,0.649128057606362,0.96,0.807,0,"0","JUNB"
0,0.505920545707245,0.938,0.79,0,"0","STAB1"
0,0.695580979328381,0.977,0.852,0,"0","HSP90AB1"
0,0.512477329379482,0.946,0.837,0,"0","DDX5"
0,0.652566860765443,0.992,0.896,0,"0","HSP90AA1"
6.69760330158852e-318,0.705820029651197,0.887,0.748,1.33550209833675e-313,"0","HSPB1"
8.96531105928383e-316,1.15449318965156,0.649,0.396,1.7876830252212e-311,"0","REL"
3.02415318304488e-310,1.09051629381828,0.703,0.464,6.0301614469915e-306,"0","PDK4"
9.2204315259824e-304,0.983421082906784,0.736,0.528,1.83855404628089e-299,"0","DNAJB6"
1.36557318718952e-303,0.767235012464946,0.814,0.633,2.7229529352559e-299,"0","CCNL1"
