"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.14680835568447,0.797,0.267,0,"0","NR4A1"
0,2.30999922595454,0.733,0.243,0,"0","BAG3"
0,1.87261526529338,0.885,0.399,0,"0","CD83"
0,1.7444775285084,0.87,0.394,0,"0","NFKBIZ"
0,2.41256898726497,0.674,0.203,0,"0","KDM6B"
0,1.55604694239628,0.96,0.502,0,"0","HSPA1B"
0,2.02790056387196,0.723,0.268,0,"0","CCL4L2"
0,2.21737697353309,0.661,0.207,0,"0","DNAJA4"
0,1.79985827657773,0.803,0.352,0,"0","RASGEF1B"
0,1.59995461595242,0.914,0.465,0,"0","CCL4"
0,1.51420976631595,0.83,0.386,0,"0","KLF4"
0,1.72354976372011,0.782,0.342,0,"0","NR4A2"
0,1.79954809386836,0.679,0.24,0,"0","DNAJB4"
0,1.99939207698097,0.658,0.228,0,"0","CSRNP1"
0,1.66043946379697,0.908,0.486,0,"0","HSPH1"
0,1.36936662247596,0.903,0.489,0,"0","IER3"
0,1.48967489814872,0.914,0.501,0,"0","PPP1R15A"
0,2.5509568651423,0.523,0.111,0,"0","NR4A3"
0,1.59048893436177,0.743,0.336,0,"0","ATF3"
0,1.40723338551981,0.95,0.543,0,"0","DNAJB1"
0,1.7002490026198,0.688,0.291,0,"0","PPP1R15B"
0,1.31610169500008,0.94,0.551,0,"0","FOSB"
0,1.8602835636236,0.598,0.213,0,"0","TNFAIP3"
0,1.26384643557672,0.928,0.545,0,"0","BTG2"
0,1.98958415050695,0.599,0.219,0,"0","NFKBID"
0,2.01820009445164,0.525,0.146,0,"0","EGR2"
0,0.687735493166382,0.864,0.488,0,"0","TMEM176B"
0,1.48582372403606,0.833,0.457,0,"0","ICAM1"
0,0.620245203883578,0.769,0.394,0,"0","ATP6V0C"
0,1.42162178809382,0.77,0.4,0,"0","CXCL8"
0,1.35625064307962,0.898,0.532,0,"0","CCL3"
0,1.21812810594915,0.928,0.565,0,"0","KLF2"
0,1.62825722100516,0.658,0.298,0,"0","TRIB1"
0,1.2036973919861,0.916,0.557,0,"0","SOD2"
0,0.818064114752816,0.739,0.381,0,"0","TMEM176A"
0,1.31324861736445,0.987,0.63,0,"0","HSPA1A"
0,1.08053271417992,0.924,0.57,0,"0","EGR1"
0,1.90976336112466,0.573,0.22,0,"0","ZFAND2A"
0,2.15420943556315,0.508,0.158,0,"0","TNFSF9"
0,1.65838539903932,0.622,0.274,0,"0","CHORDC1"
0,1.49643588208643,0.664,0.32,0,"0","HBEGF"
0,1.37354466989372,0.678,0.343,0,"0","REL"
0,1.4208699946338,0.668,0.336,0,"0","SGK1"
0,1.03859601797165,0.886,0.554,0,"0","RHOB"
0,1.71540996198114,0.524,0.195,0,"0","DUSP2"
0,2.38693785960653,0.416,0.09,0,"0","EGR3"
0,0.684754298632497,0.846,0.524,0,"0","MS4A7"
0,0.971690344333383,0.809,0.488,0,"0","NAMPT"
0,1.20158396592738,0.754,0.436,0,"0","NEU1"
0,0.991560074109647,0.932,0.616,0,"0","GADD45B"
0,1.26804799841106,0.672,0.359,0,"0","CLK1"
0,1.34292272555711,0.588,0.275,0,"0","PMAIP1"
0,1.28926943388534,0.622,0.314,0,"0","CDKN1A"
0,0.925885396588661,0.768,0.462,0,"0","METRNL"
0,1.37859855595088,0.589,0.285,0,"0","PPP1R10"
0,1.15639209401123,0.631,0.328,0,"0","SOCS3"
0,1.35132217394265,0.647,0.345,0,"0","IER5"
0,1.05407611461264,0.957,0.657,0,"0","ZFP36"
0,0.861864492342037,0.692,0.392,0,"0","CD93"
0,1.60248142467061,0.527,0.228,0,"0","TIPARP"
