"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.74291542375904,0.836,0.1,0,"0","HLA-DRB5"
0,3.27251375121567,0.863,0.145,0,"0","HLA-DPA1"
0,3.21578084508976,0.821,0.142,0,"0","HLA-DPB1"
0,3.7804323883741,0.725,0.065,0,"0","HLA-DQA1"
0,2.86823201701195,0.858,0.205,0,"0","HLA-DRB1"
0,2.74337773616729,0.913,0.262,0,"0","HLA-DRA"
0,3.59897942462735,0.683,0.068,0,"0","HLA-DQB1"
0,2.74611901732154,0.763,0.184,0,"0","HLA-DMA"
0,3.20750132611054,0.613,0.09,0,"0","FGL2"
0,2.14941063039342,0.752,0.25,0,"0","IFI44L"
0,2.13919864446312,0.789,0.294,0,"0","IFI27"
0,1.8049528551319,0.76,0.321,0,"0","MX1"
0,1.6676087541934,0.796,0.359,0,"0","LY6E"
0,2.12227775836283,0.665,0.23,0,"0","CTSH"
0,2.03542432252163,0.628,0.2,0,"0","MSR1"
0,2.15021115341356,0.584,0.161,0,"0","LILRB4"
0,1.91097354659723,0.793,0.374,0,"0","APOE"
0,2.10620778200686,0.614,0.196,0,"0","HLA-DMB"
0,1.76691349974481,0.614,0.197,0,"0","XIST"
0,1.850510975345,0.697,0.285,0,"0","XAF1"
0,1.3954050172353,0.758,0.358,0,"0","AHNAK"
0,2.13438869460671,0.573,0.177,0,"0","OAS2"
0,3.35750449236639,0.46,0.065,0,"0","FPR3"
0,1.66538104076155,0.785,0.392,0,"0","SERPING1"
0,2.09008508384443,0.565,0.184,0,"0","TNFSF13B"
0,1.55875501470324,0.826,0.452,0,"0","TYMP"
0,1.89871960214619,0.981,0.611,0,"0","CD74"
0,1.30531827807477,0.75,0.419,0,"0","ISG15"
0,1.31524466340691,0.752,0.432,0,"0","FCGR3A"
0,1.17682130769826,0.825,0.52,0,"0","VIM"
0,1.28963884419611,0.834,0.539,0,"0","CFD"
0,0.936239773151279,0.857,0.57,0,"0","MS4A7"
0,0.954934147266262,0.818,0.55,0,"0","TMEM176B"
0,1.04562708776548,0.936,0.727,0,"0","HLA-A"
0,1.05575886693133,0.918,0.722,0,"0","HLA-C"
0,1.0321129916379,0.964,0.776,0,"0","HLA-B"
0,0.898541780132659,0.872,0.687,0,"0","MAFB"
0,0.836719331072106,0.902,0.734,0,"0","HLA-E"
0,0.851273273312514,0.886,0.722,0,"0","MS4A6A"
0,1.03295876041552,0.976,0.846,0,"0","C1QC"
0,0.828864096350703,0.942,0.823,0,"0","IFITM3"
0,0.748025447070862,0.953,0.842,0,"0","CTSB"
0,1.00054103395701,0.973,0.868,0,"0","C1QB"
0,0.649485655831871,0.951,0.851,0,"0","FOS"
0,0.817949646614999,0.953,0.865,0,"0","PSAP"
0,0.688410860373229,0.944,0.858,0,"0","TYROBP"
0,0.864654346263809,0.963,0.877,0,"0","CST3"
0,0.844035399283555,0.976,0.893,0,"0","C1QA"
0,0.636629803516604,0.989,0.962,0,"0","B2M"
0,0.580667788193522,1,0.987,0,"0","FTL"
8.05327002721232e-321,2.04627170919296,0.585,0.229,1.60582204342614e-316,"0","SLC1A3"
1.1966269942275e-320,1.93458632404924,0.582,0.206,2.38607422648963e-316,"0","MX2"
4.44955520644627e-318,1.37937234420664,0.675,0.365,8.87241308165386e-314,"0","LGALS3BP"
6.40894268123816e-316,2.09431792766502,0.55,0.193,1.27794317063889e-311,"0","TCN2"
1.45174785322208e-311,0.921589083358557,0.807,0.584,2.89478521932483e-307,"0","IFI6"
7.9919674685735e-311,0.74816930340741,0.912,0.737,1.59359831323356e-306,"0","NEAT1"
3.05557646384813e-309,1.95184658052615,0.571,0.212,6.09281946891318e-305,"0","APOC1"
5.16523082818597e-306,1.52227619010913,0.64,0.313,1.02994702714028e-301,"0","LYZ"
1.80126919676703e-304,1.12596488989884,0.707,0.383,3.59173077835345e-300,"0","LGALS3"
2.41299969021392e-304,0.930757806596238,0.841,0.629,4.81152138228655e-300,"0","RNF213"
2.32782714533807e-300,1.43969992405835,0.665,0.36,4.64168732780412e-296,"0","STAT1"
9.28518790095755e-295,1.367057237576,0.675,0.361,1.85146646745094e-290,"0","EPSTI1"
2.6876431269983e-294,0.75252098746174,0.893,0.722,5.35916039523462e-290,"0","ZFP36"
3.4632518534858e-294,0.705596200457079,0.916,0.78,6.90572419585069e-290,"0","JUNB"
3.89642861209661e-292,1.97893099187931,0.544,0.198,7.76947865252065e-288,"0","SAMD9L"
5.23842588749141e-289,1.03716112081243,0.731,0.445,1.04454212196579e-284,"0","TMEM176A"
5.70430123078394e-281,1.93755201092991,0.535,0.188,1.13743766541832e-276,"0","IFIT3"
3.74661537919057e-280,1.32416872001564,0.673,0.377,7.47075106610601e-276,"0","GPNMB"
4.03933147353938e-272,1.90451211046282,0.529,0.197,8.05442695823753e-268,"0","OAS3"
3.00337747864659e-270,1.6285021925716,0.568,0.228,5.9887346924213e-266,"0","ADA2"
2.86372541690722e-267,0.665186375494075,0.903,0.785,5.710268481313e-263,"0","CD163"
5.29528911665166e-265,0.661613451266314,0.934,0.862,1.05588064986034e-260,"0","RNASE1"
2.19341418028818e-260,0.830449414136623,0.83,0.638,4.37366787549463e-256,"0","SPI1"
2.01063512444729e-258,0.80220965855629,0.873,0.769,4.00920643814789e-254,"0","GRN"
2.10910066445466e-258,3.07572643483687,0.399,0.054,4.2055467249226e-254,"0","KCNMA1"
2.40958883856716e-257,2.18781695610684,0.451,0.108,4.80472014410293e-253,"0","DST"
4.60350467648082e-256,1.78830258584976,0.539,0.223,9.17938832490276e-252,"0","C1orf162"
1.0751803016704e-248,1.06869027814614,0.732,0.499,2.14390952153077e-244,"0","HCLS1"
3.51077696577296e-248,0.626228790035307,0.887,0.708,7.00048926975128e-244,"0","HSPA1A"
1.32774911925434e-245,1.76333738584846,0.525,0.221,2.64753174379316e-241,"0","CAPG"
1.41134920105735e-245,0.784223858615665,0.84,0.67,2.81423030690836e-241,"0","TXNIP"
9.78763492952177e-244,1.24212283938506,0.647,0.375,1.95165440494664e-239,"0","OAS1"
5.16918349654299e-243,0.766979773243126,0.847,0.678,1.03073518921067e-238,"0","SRGN"
3.43517846094501e-242,2.59960172815083,0.411,0.094,6.84974585112435e-238,"0","SLAMF8"
2.63301781006651e-239,0.676692035477762,0.903,0.786,5.25023751327263e-235,"0","JUN"
