"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC00486",0,6.93624251004016,1,0.014,0,"LINC00486"
"ATP6V0C",0,2.3281587235847,0.993,0.15,0,"ATP6V0C"
"DHFR",0,3.47295409653509,0.979,0.139,0,"DHFR"
"TRAPPC5",0,2.32757306007032,0.956,0.131,0,"TRAPPC5"
"SLC16A10",0,3.31719335118104,0.893,0.103,0,"SLC16A10"
"TMEM117",0,2.25766328978984,0.924,0.143,0,"TMEM117"
"EEF1G",0,1.5728557011337,0.964,0.187,0,"EEF1G"
"VPS13B",0,1.76734084200672,0.952,0.187,0,"VPS13B"
"UBE2V1",0,1.95087157847353,0.873,0.114,0,"UBE2V1"
"NME2",0,1.75464104738338,0.942,0.183,0,"NME2"
"HNRNPA1",0,-13.0226639372579,0,0.758,0,"HNRNPA1"
"DOCK4",0,2.25080202009992,0.989,0.233,0,"DOCK4"
"IFI30",0,2.10986110628712,0.906,0.152,0,"IFI30"
"MT-ATP8",0,1.79092071618386,0.908,0.156,0,"MT-ATP8"
"PDE4B",0,2.20222550944321,0.958,0.206,0,"PDE4B"
"RNASEK",0,1.71517083448972,0.993,0.242,0,"RNASEK"
"PSMA6",0,1.88440363119426,0.91,0.159,0,"PSMA6"
"RPS10",0,-13.0077917898633,0,0.748,0,"RPS10"
"RAD51B",0,2.04437825614436,0.892,0.145,0,"RAD51B"
"ME1",0,2.7287562735563,0.824,0.083,0,"ME1"
"COG5",0,1.96177353862562,0.902,0.162,0,"COG5"
"ATP5MF",0,-12.3339056391327,0.001,0.738,0,"ATP5MF"
"COP1",0,1.70989341377184,0.944,0.209,0,"COP1"
"KIF13A",0,1.99935726067968,0.887,0.154,0,"KIF13A"
"EEPD1",0,2.25277481563385,0.84,0.109,0,"EEPD1"
"P3H2",0,2.14710407917991,0.892,0.161,0,"P3H2"
"GAB2",0,1.6774700922118,0.955,0.229,0,"GAB2"
"ETV6",0,1.65664507902513,0.938,0.216,0,"ETV6"
"CD44",0,2.12051560878467,0.863,0.141,0,"CD44"
"SIK3",0,1.78040068686585,0.869,0.149,0,"SIK3"
"VAV3",0,1.80126928221565,0.966,0.248,0,"VAV3"
"PSD3",0,1.74520020070718,0.964,0.246,0,"PSD3"
"MAGI1",0,1.68678027655914,0.883,0.168,0,"MAGI1"
"CDKAL1",0,1.78692338917341,0.866,0.151,0,"CDKAL1"
"TEC",0,1.91815669933779,0.855,0.142,0,"TEC"
"SBF2",0,1.82620435183185,0.976,0.264,0,"SBF2"
"FMN1",0,1.74160942035212,0.97,0.259,0,"FMN1"
"ANKHD1",0,1.45110756385257,0.903,0.194,0,"ANKHD1"
"DENND1A",0,1.80727066376667,0.988,0.28,0,"DENND1A"
"CCL13",0,2.25872819542415,0.902,0.195,0,"CCL13"
"SIPA1L1",0,3.48387881339004,0.764,0.058,0,"SIPA1L1"
"DLEU2",0,1.63945108525286,0.861,0.156,0,"DLEU2"
"EXOC4",0,1.52919077801106,0.954,0.251,0,"EXOC4"
"GTDC1",0,1.74244916048853,0.866,0.164,0,"GTDC1"
"MCTP1",0,1.51974188751782,0.909,0.21,0,"MCTP1"
"COX16",0,1.72023519436458,0.836,0.137,0,"COX16"
"SPIDR",0,1.53929120823254,0.89,0.192,0,"SPIDR"
"VTI1A",0,1.54515275579164,0.906,0.21,0,"VTI1A"
"FAF1",0,1.53232613358061,0.885,0.189,0,"FAF1"
"ZNF609",0,1.54386782735457,0.901,0.206,0,"ZNF609"
"AMBRA1",0,2.08987855663117,0.8,0.105,0,"AMBRA1"
"SLC8A1",0,1.69290168142829,0.938,0.243,0,"SLC8A1"
"MERTK",0,1.68911687879618,0.912,0.218,0,"MERTK"
"FTX",0,1.39218579736002,0.945,0.252,0,"FTX"
"TRAPPC9",0,1.74817823565958,0.838,0.145,0,"TRAPPC9"
"FER",0,1.48966448994081,0.881,0.189,0,"FER"
"MBD5",0,1.60032598883222,0.896,0.207,0,"MBD5"
"ATXN1",0,1.40353912419132,0.944,0.255,0,"ATXN1"
"MCTP2",0,1.7029618721242,0.896,0.209,0,"MCTP2"
"USP32",0,1.33745371445726,0.9,0.214,0,"USP32"
"DISC1",0,1.31087748686017,0.938,0.252,0,"DISC1"
