"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC00486",0,6.30232878673181,1,0.021,0,"LINC00486"
"DHFR",0,3.96742883921097,0.979,0.087,0,"DHFR"
"TRAPPC5",0,1.78724626005817,0.956,0.179,0,"TRAPPC5"
"CGA",0,1.17319475573789,0.951,0.177,0,"CGA"
"SLC16A10",0,2.72122075591261,0.893,0.128,0,"SLC16A10"
"FABP5",0,1.88694476200919,0.977,0.215,0,"FABP5"
"PSMA2",0,2.0583879038564,0.866,0.105,0,"PSMA2"
"MS4A7",0,-13.592602250252,0,0.753,0,"MS4A7"
"TIMP1",0,1.68676845853602,0.996,0.257,0,"TIMP1"
"NDUFV2",0,1.64795596112719,0.988,0.253,0,"NDUFV2"
"PGD",0,1.62634469355301,0.964,0.229,0,"PGD"
"TMEM117",0,1.75318011558382,0.924,0.192,0,"TMEM117"
"CSNK2B",0,1.52964639344529,0.891,0.163,0,"CSNK2B"
"CCL13",0,2.09529777416644,0.902,0.178,0,"CCL13"
"WDR83OS",0,1.5382292926985,0.866,0.143,0,"WDR83OS"
"UBE2V1",0,1.46891661545586,0.873,0.153,0,"UBE2V1"
"KIF13A",0,1.74658083824746,0.887,0.167,0,"KIF13A"
"NDUFA13",0,1.35368554950562,0.968,0.25,0,"NDUFA13"
"RAB13",0,1.63748611120988,0.837,0.121,0,"RAB13"
"PLA2G7",0,1.70467113933751,0.984,0.269,0,"PLA2G7"
"RAD51B",0,1.61875539481247,0.892,0.178,0,"RAD51B"
"PPDPF",0,1.12167536092298,0.885,0.173,0,"PPDPF"
"NDUFB8",0,1.15222215031517,0.895,0.185,0,"NDUFB8"
"PSMA6",0,1.42864350320318,0.91,0.203,0,"PSMA6"
"BABAM2",0,1.3124553290276,0.923,0.217,0,"BABAM2"
"LINC01094",0,1.64958850867538,0.922,0.218,0,"LINC01094"
"MCTP2",0,1.63140440229921,0.896,0.192,0,"MCTP2"
"EEPD1",0,1.93166704192247,0.84,0.136,0,"EEPD1"
"NDUFC2",0,1.14844686553278,0.917,0.215,0,"NDUFC2"
"IFI30",0,1.58830850409269,0.906,0.204,0,"IFI30"
"COG5",0,1.56162724555493,0.902,0.202,0,"COG5"
"P3H2",0,1.77311502546042,0.892,0.196,0,"P3H2"
"PRKCA",0,1.53418107306711,0.973,0.278,0,"PRKCA"
"RPS17",0,1.39573210244114,0.98,0.287,0,"RPS17"
"CLEC7A",0,1.57196307384085,0.87,0.177,0,"CLEC7A"
"LGALS1",0,1.54331137253013,0.995,0.308,0,"LGALS1"
"RAB5IF",0,1.26691917383887,0.915,0.228,0,"RAB5IF"
"DDT",0,1.77900894905143,0.784,0.101,0,"DDT"
"NSF",0,1.8471543577624,0.82,0.137,0,"NSF"
"NEDD8",0,1.1888226351477,0.965,0.286,0,"NEDD8"
"SIPA1L1",0,2.80130190669131,0.764,0.085,0,"SIPA1L1"
"COX16",0,1.41123198689554,0.836,0.157,0,"COX16"
"PSMA1",0,1.15811795218954,0.912,0.236,0,"PSMA1"
"CDKAL1",0,1.3517456352182,0.866,0.191,0,"CDKAL1"
