"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"EEF1G",1.07797501465854e-296,3.03622378687268,0.897,0.187,2.14948217922913e-292,"EEF1G"
"CSH2",4.67430400734656e-252,3.16440602340603,0.769,0.119,9.32056219064904e-248,"CSH2"
"KISS1",1.67405817269928e-227,3.26485241825024,0.729,0.121,3.33807199636237e-223,"KISS1"
"ATP6V0C",2.77658536838237e-223,2.62123411290811,0.757,0.15,5.53651122455444e-219,"ATP6V0C"
"MRPS24",2.51854081829818e-220,3.46006880016036,0.491,0.046,5.02197039168657e-216,"MRPS24"
"NME2",9.06347407072334e-220,2.70886985515819,0.794,0.183,1.80725672970223e-215,"NME2"
"RPL17",2.40453425158121e-185,1.91928581076322,0.956,0.617,4.79464129765293e-181,"RPL17"
"FTL",1.27869267544559e-179,1.34573121065347,0.979,0.988,2.54971319483851e-175,"FTL"
"TRAPPC5",3.21938839182266e-178,2.5570365593124,0.652,0.131,6.41946045329439e-174,"TRAPPC5"
"PRG2",3.40622843932597e-166,2.76233438457212,0.757,0.188,6.79201950801598e-162,"PRG2"
"RPS18",2.64583861919563e-157,1.24223308706819,0.979,0.87,5.27580220667609e-153,"RPS18"
"EEF1A1",7.28862803733297e-156,1.12229450760967,0.995,0.979,1.45335243064419e-151,"EEF1A1"
"RNASEK",1.84587723697959e-154,2.12220761120543,0.773,0.242,3.68067921053729e-150,"RNASEK"
"TPT1",4.00458412919908e-152,1.12918513993207,0.984,0.977,7.98514075362297e-148,"TPT1"
"PSG3",1.82266096133526e-151,3.55492971332091,0.46,0.065,3.6343859569025e-147,"PSG3"
"RPLP1",3.54431422624458e-151,1.08877499558407,0.995,0.975,7.0673625671317e-147,"RPLP1"
"CSH1",3.27159625517269e-150,2.12169603006361,0.857,0.26,6.52356293281435e-146,"CSH1"
"MALAT1",1.53079189991027e-148,1.23916211457929,0.974,0.877,3.05239904842107e-144,"MALAT1"
"GABARAP",7.88585476947546e-146,1.99914504613921,0.829,0.366,1.57243944103341e-141,"GABARAP"
"RPL10",1.41837715599839e-144,1.07326941776809,0.988,0.956,2.82824404906079e-140,"RPL10"
"RPL7A",4.16906137345548e-139,1.18720761759593,0.951,0.832,8.31310837867023e-135,"RPL7A"
"FTH1",2.13808558267149e-137,1.06000116119046,0.979,0.95,4.26334265184695e-133,"FTH1"
"ACTB",3.03232615174251e-137,0.999137659901505,0.974,0.971,6.04645834657457e-133,"ACTB"
"RPL13",5.77329429500632e-137,1.03733344078054,0.984,0.96,1.15119488242426e-132,"RPL13"
"RPS2",2.30991237805147e-136,1.04219939976634,0.981,0.925,4.60596528183463e-132,"RPS2"
"B2M",1.48637870409631e-134,0.954074490671815,0.974,0.975,2.96383913596803e-130,"B2M"
"TFPI2",6.63549738052319e-128,2.46653921639366,0.671,0.171,1.32311817767632e-123,"TFPI2"
"LAIR2",7.59784106425966e-128,4.31263305170734,0.369,0.051,1.51500950821338e-123,"LAIR2"
"RPL13A",8.31974722096841e-126,0.968230355232614,0.979,0.954,1.6589575958611e-121,"RPL13A"
"RPS12",5.02414308351805e-125,1.00991270537335,0.97,0.958,1.0018141308535e-120,"RPS12"
"UBE2V1",4.28290465215419e-121,2.18788516501457,0.544,0.114,8.54011187639546e-117,"UBE2V1"
"RPL28",8.2123701953911e-121,0.96932547025725,0.96,0.941,1.63754661696099e-116,"RPL28"
"RPS14",2.15133226871863e-118,0.976204252464572,0.97,0.945,4.28975654382496e-114,"RPS14"
"IFI30",3.14606599929997e-110,2.30784666443252,0.591,0.152,6.27325560260414e-106,"IFI30"
"TMSB10",2.98561848557335e-109,0.931696187235518,0.97,0.959,5.95332326023325e-105,"TMSB10"
"RPL11",3.84571581145899e-109,0.913350317468602,0.963,0.932,7.66835732804923e-105,"RPL11"
"SPP1",5.17199928739058e-109,1.07568331529024,0.909,0.974,1.03129665790568e-104,"SPP1"
"RPS23",9.15509101318793e-109,0.897219719986951,0.963,0.953,1.82552514802967e-104,"RPS23"
"RPL41",1.9211148069433e-106,0.831796469053687,0.963,0.974,3.83070292504494e-102,"RPL41"
"TMEM35B",2.65640144778232e-106,1.916785209065,0.379,0.058,5.29686448687794e-102,"TMEM35B"
"RPS28",2.83270710421691e-106,0.888009162123297,0.942,0.937,5.64841796580852e-102,"RPS28"
"RPL37",4.08685733698017e-106,0.889912935059618,0.953,0.935,8.14919352993846e-102,"RPL37"
"RPS24",8.21736203935514e-106,0.888644583799966,0.963,0.944,1.63854199064741e-101,"RPS24"
"RPS3A",8.7420880672611e-105,0.913150253318188,0.956,0.93,1.74317236061186e-100,"RPS3A"
"RPS9",3.13609046349254e-104,1.03075326322962,0.916,0.824,6.25336438420413e-100,"RPS9"
"EIF4A1",7.60920184946351e-104,1.39052957301843,0.855,0.601,1.51727484878302e-99,"EIF4A1"
"RPL3",1.0404262267033e-103,0.912016282072531,0.956,0.919,2.07460989604638e-99,"RPL3"
"RPS8",4.38982465962003e-102,0.901054311957552,0.956,0.94,8.75331037128233e-98,"RPS8"
"PSG9",1.05394025848006e-101,3.20646176952534,0.336,0.05,2.10155687540923e-97,"PSG9"
"RPL8",7.69787170628302e-101,0.928012456720062,0.956,0.905,1.53495561823283e-96,"RPL8"
"ACTG1",4.46070787217724e-100,0.850817002457709,0.93,0.905,8.89465149712141e-96,"ACTG1"
"RPL19",5.4851805867544e-100,0.865178733470363,0.942,0.94,1.09374500899883e-95,"RPL19"
"RPS6",2.65668267555911e-98,0.8748045313132,0.951,0.931,5.29742525506487e-94,"RPS6"
"RPLP0",5.12926555820078e-98,0.936462302725894,0.942,0.881,1.02277555230524e-93,"RPLP0"
"RPL18A",6.13750359165124e-98,0.90677776546541,0.96,0.913,1.22381821617526e-93,"RPL18A"
"C17orf49",1.56331666920282e-97,2.13965194146924,0.432,0.086,3.11725343839043e-93,"C17orf49"
"BCKDHA",2.06533770666316e-96,2.70635574699531,0.236,0.024,4.11828338708635e-92,"BCKDHA"
"RPS4X",4.34072822846705e-96,0.865956260498873,0.96,0.924,8.6554120875633e-92,"RPS4X"
"RPS3",6.55013069726889e-96,0.92002859825978,0.944,0.914,1.30609606103542e-91,"RPS3"
"RPS27A",8.45942129521644e-96,0.863578301928676,0.949,0.932,1.68680860626616e-91,"RPS27A"
"RPS16",1.07441887443021e-95,0.861657525049137,0.949,0.934,2.14239123561384e-91,"RPS16"
"RPL32",5.32846272171127e-95,0.845104316965997,0.944,0.937,1.06249546670923e-90,"RPL32"
"RPLP2",1.46543725728869e-94,0.814715432933622,0.951,0.935,2.92208189103366e-90,"RPLP2"
"RPL9",5.64558535320067e-94,0.852072381398431,0.953,0.925,1.12572971942821e-89,"RPL9"
"MRPL38",2.76069819853973e-93,2.51206591619566,0.28,0.036,5.50483220788822e-89,"MRPL38"
"RPL18",1.16724250016071e-92,0.917646100094003,0.939,0.894,2.32748154532045e-88,"RPL18"
"RPL37A",1.42275439171486e-92,0.824300594019904,0.951,0.938,2.83697225707944e-88,"RPL37A"
"PSMA6",9.11649224421965e-92,2.13148519256865,0.561,0.159,1.8178285534974e-87,"PSMA6"
"RPS19",1.80941986248234e-91,0.812775961129258,0.942,0.933,3.60798320578979e-87,"RPS19"
"PAGR1",2.54146380045558e-91,2.42059851040344,0.313,0.047,5.06767881810843e-87,"PAGR1"
"RPS11",1.24391827560636e-90,0.837946265045715,0.942,0.926,2.48037304155909e-86,"RPS11"
"RPL26",5.69930352296095e-90,0.852669110910441,0.946,0.928,1.13644112247841e-85,"RPL26"
"RPL15",8.93137157539967e-90,0.824585237463565,0.937,0.921,1.78091549213469e-85,"RPL15"
"RPS15",2.454835116365e-88,0.808525817208873,0.942,0.919,4.89494122203181e-84,"RPS15"
"TXNDC5",2.37973010456221e-87,2.41808532122471,0.283,0.04,4.74518182849704e-83,"TXNDC5"
"CD63",6.24127087278482e-87,0.761100113780912,0.925,0.911,1.24450941203329e-82,"CD63"
