"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PFDN5",0,1.07107504448317,0.921,0.46,0,"PFDN5"
"RPL17",6.23216512434604e-308,1.29194505951233,0.815,0.407,1.2426937257946e-303,"RPL17"
"RPS10",5.76460240233526e-303,1.44669039964958,0.74,0.294,1.14946171902565e-298,"RPS10"
"XIST",9.61124709602419e-281,-5.74508269752823,0.007,0.253,1.91648267094722e-276,"XIST"
"RPL23A",7.25694313919629e-273,0.906916295182853,0.926,0.554,1.44703446195574e-268,"RPL23A"
"RPL22",1.67271266600513e-264,0.989169583020826,0.881,0.473,3.33538905601424e-260,"RPL22"
"MALAT1",1.67141580407004e-256,-1.17011523154281,0.68,0.786,3.33280311331566e-252,"MALAT1"
"EEF1G",6.1619044042341e-255,1.63355664584613,0.642,0.247,1.22868373820428e-250,"EEF1G"
"RPL36A",1.06131847017449e-252,1.17847261281485,0.803,0.42,2.11626902952794e-248,"RPL36A"
"PRG2",1.42591721231381e-249,1.40466229078957,0.707,0.278,2.84327892135374e-245,"PRG2"
"RPL26",7.57512544660568e-244,0.7956517375018,0.959,0.641,1.51048001405317e-239,"RPL26"
"NEAT1",2.66521841383018e-243,-1.3291734713254,0.479,0.702,5.31444551717737e-239,"NEAT1"
"EIF4A1",7.78902394644791e-237,1.21877415288419,0.72,0.371,1.55313137492171e-232,"EIF4A1"
"F13A1",3.91944041595402e-219,-0.530748613772224,0.993,0.982,7.81536418941231e-215,"F13A1"
"CD68",7.37425769905814e-179,0.762952761475822,0.847,0.506,1.47042698519219e-174,"CD68"
"NUPR1",2.90843117432387e-174,1.64142453791135,0.455,0.15,5.7994117616018e-170,"NUPR1"
"RPS17",1.24502524359411e-163,1.25459324950791,0.596,0.287,2.48258033572666e-159,"RPS17"
"RPS20",2.87865988637634e-163,0.634198073549636,0.906,0.623,5.74004781343443e-159,"RPS20"
"RPS4Y1",4.55622456908757e-155,1.12436233946902,0.619,0.29,9.08511179076061e-151,"RPS4Y1"
"NDUFA13",7.3871601742834e-154,1.26178334185064,0.556,0.25,1.47299973875211e-149,"NDUFA13"
"RPL7",2.89489215918889e-147,0.639483852640403,0.869,0.602,5.77241496542264e-143,"RPL7"
"ARPC1B",6.58381719366028e-146,0.804619046306141,0.78,0.495,1.31281314841586e-141,"ARPC1B"
"SERPINE2",4.01999051430694e-143,1.36035016416536,0.507,0.223,8.01586108552803e-139,"SERPINE2"
"RPL27A",4.20049860703333e-142,0.543327048534574,0.958,0.712,8.37579422242447e-138,"RPL27A"
"RPL23",1.01616236561614e-141,0.591792296721381,0.925,0.677,2.02622775703859e-137,"RPL23"
"RNASEK",5.766719320798e-141,0.995269080704851,0.662,0.377,1.14988383256712e-136,"RNASEK"
"RPS29",4.19829401106243e-135,0.565274178570405,0.927,0.664,8.37139825805849e-131,"RPS29"
"LINC01605",9.70014592971157e-129,-9.22447880333545,0.001,0.114,1.93420909838449e-124,"LINC01605"
"NME2",1.10111481671046e-128,1.14643292215214,0.572,0.312,2.19562294452066e-124,"NME2"
"NOTUM",9.81105488442692e-127,2.09779118684134,0.318,0.088,1.95632434395473e-122,"NOTUM"
"AOC1",3.0631883391549e-126,1.78458665637979,0.385,0.142,6.10799754827487e-122,"AOC1"
"CSH2",5.14514304556328e-121,-3.24747094506986,0.025,0.168,1.02594152328532e-116,"CSH2"
"TRAPPC5",5.13700404680617e-119,1.36807806966588,0.43,0.179,1.02431860693315e-114,"TRAPPC5"
"FTL",1.42647185336163e-118,-0.554714194956475,1,0.981,2.84438487560309e-114,"FTL"
"RPL21",3.99095024175967e-117,0.502203936002851,0.953,0.717,7.95795478206878e-113,"RPL21"
"DAB2",2.57060982160263e-116,-0.357202096826508,0.99,0.965,5.12579598427564e-112,"DAB2"
"HBA2",3.32355689853085e-116,2.08046392788675,0.282,0.07,6.62717245567051e-112,"HBA2"
"RPL38",1.08062545475001e-111,0.526084743235201,0.905,0.648,2.15476715677152e-107,"RPL38"
"DYNLRB1",1.46124884165967e-111,1.49737299980212,0.373,0.14,2.91373019026938e-107,"DYNLRB1"
"RPL9",1.34412296973405e-108,0.498832286138293,0.952,0.724,2.6801812016497e-104,"RPL9"
"GNG10",5.00208307384627e-106,0.911984132175546,0.629,0.397,9.97415364924947e-102,"GNG10"
"CYB5D1",2.29616056369383e-104,2.49719675911289,0.206,0.033,4.57854416400551e-100,"CYB5D1"
"FN1",3.83659715834554e-104,0.614655410851908,0.743,0.438,7.65017473374101e-100,"FN1"
"NNMT",3.52957029726043e-103,1.18225556317198,0.402,0.163,7.03796317273731e-99,"NNMT"
"ATP5PO",4.32867740044144e-103,0.947375125791,0.473,0.219,8.63138273648024e-99,"ATP5PO"
"CD36",1.35226807665104e-102,-0.649064386777821,0.735,0.751,2.69642254484217e-98,"CD36"
"SLC2A3",1.63106909816414e-101,0.836395230479483,0.512,0.268,3.2523517817393e-97,"SLC2A3"
"VNN2",1.92946665581896e-101,-2.35568238189409,0.052,0.203,3.847356511703e-97,"VNN2"
"HLA-DQA1",4.79797644194427e-101,-3.33666798666063,0.018,0.135,9.56716502523687e-97,"HLA-DQA1"
"HLA-DRB5",1.37450958770634e-100,-3.04714814389594,0.053,0.198,2.74077211788645e-96,"HLA-DRB5"
"NDUFB8",5.11525026161587e-99,1.14626488320685,0.42,0.185,1.01998090216621e-94,"NDUFB8"
"EGFL7",4.84813620124148e-98,0.620151371408415,0.765,0.487,9.66718358527551e-94,"EGFL7"
"UQCRB",5.18777906828357e-98,0.586434992048788,0.791,0.548,1.03444314621574e-93,"UQCRB"
"AEBP1",2.3440824856519e-97,2.06055490055364,0.213,0.042,4.67410047638989e-93,"AEBP1"
"FLT1",2.83196282870019e-97,1.41696210059292,0.375,0.159,5.64693388042818e-93,"FLT1"
"CHD4",6.47199780481249e-96,1.06743958625883,0.461,0.236,1.29051636227961e-91,"CHD4"
"DKK2",1.56903719774696e-95,1.33280803146131,0.332,0.119,3.12866017230744e-91,"DKK2"
"JTB",2.1726714485158e-95,1.07640506187909,0.436,0.2,4.3323068683405e-91,"JTB"
"AKAP12",8.6727423288751e-95,1.3827294018195,0.353,0.141,1.72934482037769e-90,"AKAP12"
"FXYD6",7.56857681634857e-94,1.50517751403786,0.329,0.124,1.5091742171799e-89,"FXYD6"
"RAB5C",5.59996955293993e-92,0.677882490496199,0.705,0.476,1.11663392885622e-87,"RAB5C"
"ARL6IP1",2.03146481212436e-91,0.753594307204982,0.588,0.349,4.05074083537597e-87,"ARL6IP1"
"FABP5",1.51651959870185e-90,0.894019070566927,0.447,0.215,3.0239400798115e-86,"FABP5"
"PAPPA2",3.66243665939496e-90,2.05898584604311,0.254,0.076,7.30289869883356e-86,"PAPPA2"
"S100A13",4.36097973987265e-90,1.53982817178472,0.296,0.103,8.69579360130606e-86,"S100A13"
