p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0,2.90790399778327,0.423,0.112,0.0,0,IL1B
0.0,2.36823898705351,0.726,0.259,0.0,0,BAG3
0.0,2.00628196833981,0.737,0.292,0.0,0,CCL4L2
0.0,1.99391271761544,0.475,0.177,0.0,0,TNFSF9
0.0,1.98546502507842,0.652,0.256,0.0,0,KDM6B
0.0,1.9041494668142,0.505,0.163,0.0,0,NR4A3
0.0,1.85096053056604,0.545,0.234,0.0,0,ZFAND2A
6.72047385103928e-275,1.84394809504106,0.443,0.199,1.3400624858972299e-270,0,NLRP3
0.0,1.82349394977698,0.64,0.261,0.0,0,DNAJA4
0.0,1.77374089707264,0.625,0.259,0.0,0,CSRNP1
3.93274698969154e-135,1.66685653256833,0.341,0.146,7.84189749744493e-131,1,CD5L
8.95019375440858e-127,1.4905933364057,0.371,0.176,1.78466863462907e-122,1,SNRPD3
1.58411572499447e-142,1.36703425243881,0.458,0.276,3.1587267556389597e-138,1,DDT
5.689120660085061e-111,1.30730702138086,0.415,0.268,1.13441065962096e-106,1,S100A13
7.76944429154044e-88,1.30660123459282,0.353,0.224,1.5492271917331598e-83,1,GAPLINC
2.8457572800101e-180,1.3033888811729,0.582,0.387,5.6744400163401295e-176,1,ATP5PO
2.48588489702584e-143,1.30205165251102,0.494,0.323,4.95685448466953e-139,1,DYNLRB1
1.16037029957203e-135,1.26045469632077,0.493,0.324,2.31377837734663e-131,1,LDHB
1.27352901988255e-130,1.2542940656508,0.481,0.313,2.5394168656458e-126,1,WDR83OS
0.0,1.22340153981977,0.848,0.566,0.0,1,PFDN5
0.0,5.86414871248093,0.506,0.006,0.0,2,ANKUB1
1.2164150979861e-219,5.06407702598251,0.32,0.006,2.42553170538429e-215,2,STEAP1B
0.0,4.80171384003242,0.529,0.021,0.0,2,FBXL7
0.0,4.23688174040614,0.562,0.028,0.0,2,NPAS3
0.0,4.205180795108,0.566,0.025,0.0,2,PRKN
0.0,4.19096240747455,0.457,0.019,0.0,2,NAALADL2
0.0,4.12741604063855,0.854,0.052,0.0,2,RAD51B
0.0,4.12508452406118,0.642,0.033,0.0,2,CARMIL1
1.161592e-316,4.08356095560617,0.451,0.022,2.3162144655e-312,2,SOX5
0.0,4.03148186604762,0.557,0.028,0.0,2,TEX14
2.3830193458248004e-202,3.83634287713768,0.313,0.015,4.75174057557466e-198,3,HLA-DOA
0.0,3.77141361290905,0.878,0.097,0.0,3,HLA-DRB5
0.0,3.75934722392331,0.764,0.059,0.0,3,HLA-DQA1
0.0,3.68189353573222,0.729,0.059,0.0,3,HLA-DQB1
1.01815441675903e-201,3.39152193592026,0.337,0.042,2.0301999070175102e-197,3,SIGLEC10
0.0,3.33391590676439,0.505,0.068,0.0,3,FPR3
0.0,3.30606219102476,0.863,0.14,0.0,3,HLA-DPB1
3.6181317128258103e-205,3.2983194340517,0.337,0.032,7.21455463537467e-201,3,CLIC2
0.0,3.28874182316608,0.66,0.085,0.0,3,FGL2
0.0,3.27331825756136,0.891,0.146,0.0,3,HLA-DPA1
8.86577792081007e-85,3.32156951961333,0.325,0.036,1.76783611740953e-80,4,VGLL1
4.3509173155524e-70,2.95085880036866,0.302,0.047,8.67572912721149e-66,4,TINAGL1
6.97214940296832e-120,2.86423534397444,0.465,0.089,1.39024659095188e-115,4,XAGE3
0.0,2.46122056589291,0.848,0.218,0.0,4,PAGE4
3.6506341424816703e-87,2.44954944820434,0.41,0.106,7.279364480108439e-83,4,PEG10
2.28919901806715e-82,2.2552830246905,0.382,0.09,4.56466284202589e-78,4,BEX3
1.47005527414284e-61,2.24806929389884,0.307,0.067,2.93129021664083e-57,4,EFEMP1
3.62093693162839e-93,2.18429313926848,0.442,0.118,7.22014824166701e-89,4,KRT7
9.50868818499738e-147,2.14040647156701,0.604,0.189,1.89603242408848e-142,4,PHLDA2
1.26377280442978e-71,2.03354959640168,0.331,0.07,2.51996297203299e-67,4,PTP4A1
5.17108297912591e-81,3.12531951525638,0.405,0.028,1.03111394603771e-76,5,TAC3
1.98891309116183e-225,2.96747988537491,0.769,0.073,3.96589270377668e-221,5,AOC1
2.70990314751554e-139,2.86362975695179,0.606,0.067,5.40354687614599e-135,5,NOTUM
6.62230298531454e-99,2.8482276741849,0.478,0.046,1.32048721527172e-94,5,PAPPA2
6.8151610725527694e-77,2.81184917807807,0.416,0.065,1.35894311786702e-72,5,CYB5D1
2.49598037466718e-105,2.60589931282319,0.516,0.059,4.97698486708635e-101,5,PAPPA
3.87539773395693e-72,2.43764414140944,0.43,0.102,7.72754308151012e-68,5,CCDC144A
0.0,2.41667490772495,0.954,0.205,0.0,5,PRG2
5.95563160790881e-115,2.31354686317352,0.577,0.119,1.18755294261702e-110,5,SEMA4A
2.36367321118957e-78,2.23458716898205,0.448,0.07,4.7131643831119904e-74,5,HTRA1
3.5984469686139996e-64,6.96160142504461,0.342,0.002,7.17530325541632e-60,6,DEPDC1
1.74736284489084e-94,6.91640997191569,0.468,0.004,3.48424151271233e-90,6,DLGAP5
1.01179227026131e-58,6.45182111869674,0.317,0.002,2.0175137869010602e-54,6,KIF20A
1.00062935647835e-119,6.32805071078118,0.564,0.008,1.99525493681784e-115,6,ANLN
2.76413004704824e-89,6.24093526111917,0.446,0.006,5.51167531381419e-85,6,KIF2C
2.05099373109392e-60,6.19271046933664,0.329,0.003,4.08968149980127e-56,6,HJURP
9.461880899240631e-133,6.11819745902638,0.597,0.009,1.8866990513085798e-128,6,HMMR
2.99908232325095e-89,6.057220890462,0.445,0.006,5.98017015256239e-85,6,NDC80
4.0750960086236997e-243,6.02748980769758,0.826,0.013,8.125741441195661e-239,6,MKI67
8.09691108373394e-122,5.98918109732263,0.559,0.008,1.6145240700965502e-117,6,AURKB
3.54537672220717e-59,5.49623813505771,0.353,0.02,7.0694811840811e-55,7,CD248
4.8169758590964294e-49,4.99417397922972,0.304,0.021,9.60504986303828e-45,7,ABI3BP
1.9731808857188e-83,4.96460380851508,0.47,0.034,3.9345226861232897e-79,7,DKK1
1.21523447642749e-282,4.66029601147557,0.899,0.097,2.42317754599641e-278,7,IGFBP1
