"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.31061226472215,0.797,0.225,0,"0","NR4A1"
0,2.597400505309,0.733,0.206,0,"0","BAG3"
0,1.8774766708989,0.885,0.384,0,"0","CD83"
0,1.83004689469302,0.87,0.369,0,"0","NFKBIZ"
0,2.55335351959601,0.674,0.183,0,"0","KDM6B"
0,1.64769896305545,0.96,0.47,0,"0","HSPA1B"
0,2.03035571819081,0.679,0.192,0,"0","DNAJB4"
0,2.14729061791421,0.723,0.237,0,"0","CCL4L2"
0,1.5411834553426,0.83,0.358,0,"0","KLF4"
0,1.62769810421627,0.914,0.443,0,"0","CCL4"
0,2.29571783414927,0.661,0.19,0,"0","DNAJA4"
0,1.73622851531414,0.782,0.32,0,"0","NR4A2"
0,1.82345323952791,0.803,0.343,0,"0","RASGEF1B"
0,2.16046048338467,0.658,0.2,0,"0","CSRNP1"
0,1.72633060920229,0.743,0.293,0,"0","ATF3"
0,1.59036851188813,0.914,0.467,0,"0","PPP1R15A"
0,1.47341631508633,0.95,0.513,0,"0","DNAJB1"
0,1.37745030111445,0.903,0.47,0,"0","IER3"
0,1.66585762712236,0.908,0.479,0,"0","HSPH1"
0,2.59877054735223,0.523,0.102,0,"0","NR4A3"
0,1.33499769704629,0.94,0.525,0,"0","FOSB"
0,1.74619529852262,0.688,0.277,0,"0","PPP1R15B"
0,1.94614229359968,0.598,0.194,0,"0","TNFAIP3"
0,1.26860026101633,0.928,0.527,0,"0","BTG2"
0,2.10056474666939,0.599,0.202,0,"0","NFKBID"
0,1.98502861388827,0.525,0.139,0,"0","EGR2"
0,2.15215975429226,0.573,0.188,0,"0","ZFAND2A"
0,2.4148802825507,0.508,0.131,0,"0","TNFSF9"
0,1.3879194474816,0.77,0.395,0,"0","CXCL8"
0,1.31710331571575,0.898,0.525,0,"0","CCL3"
0,1.19847317502028,0.928,0.556,0,"0","KLF2"
0,1.42559639449237,0.833,0.462,0,"0","ICAM1"
0,1.05682510720877,0.924,0.554,0,"0","EGR1"
0,1.93330634531219,0.524,0.155,0,"0","DUSP2"
0,1.61115940365526,0.588,0.22,0,"0","PMAIP1"
0,1.78862919870786,0.622,0.256,0,"0","CHORDC1"
0,1.60188245189078,0.658,0.295,0,"0","TRIB1"
0,1.30263979609954,0.987,0.625,0,"0","HSPA1A"
0,1.06534578735809,0.886,0.531,0,"0","RHOB"
0,1.13916077989355,0.916,0.564,0,"0","SOD2"
0,1.45776391450899,0.668,0.32,0,"0","SGK1"
0,2.39577485464674,0.416,0.079,0,"0","EGR3"
0,1.23041638594805,0.754,0.418,0,"0","NEU1"
0,1.33641475825046,0.672,0.338,0,"0","CLK1"
0,1.40505505451173,0.664,0.331,0,"0","HBEGF"
0,1.3419179663259,0.678,0.346,0,"0","REL"
0,1.34859176326846,0.622,0.292,0,"0","CDKN1A"
0,0.970809852505671,0.932,0.604,0,"0","GADD45B"
0,1.06579907623849,0.931,0.607,0,"0","PNRC1"
0,1.41803323840739,0.647,0.326,0,"0","IER5"
0,1.08524236470112,0.717,0.396,0,"0","TSC22D3"
0,1.28440145811831,0.883,0.564,0,"0","HSPD1"
0,1.13070837073105,0.68,0.365,0,"0","BRD2"
0,1.1803325837143,0.631,0.319,0,"0","SOCS3"
0,1.99904591433843,0.448,0.136,0,"0","MAFF"
0,1.40489541817647,0.589,0.277,0,"0","PPP1R10"
0,0.964191461947507,0.93,0.619,0,"0","JUND"
0,0.835253671653303,0.809,0.5,0,"0","NAMPT"
0,1.32435372568328,0.618,0.312,0,"0","OTUD1"
0,1.17317149745774,0.709,0.403,0,"0","EIF4A3"
0,1.04374014296728,0.96,0.654,0,"0","NFKBIA"
0,1.02940473002141,0.957,0.653,0,"0","ZFP36"
0,0.842182022423457,0.768,0.467,0,"0","METRNL"
0,1.59529921035239,0.527,0.227,0,"0","TIPARP"
0,1.06854148204124,0.901,0.602,0,"0","MCL1"
0,1.94219167961355,0.451,0.153,0,"0","PER1"
0,0.961545976720607,0.703,0.406,0,"0","BTG1"
0,1.62296936749223,0.618,0.322,0,"0","PLAUR"
0,1.03240216244229,0.848,0.553,0,"0","CCNL1"
0,1.50252910108431,0.505,0.215,0,"0","DDIT3"
0,0.966390215074899,0.883,0.6,0,"0","SQSTM1"
0,0.931420603363386,0.829,0.546,0,"0","EIF5"
0,0.942830356942516,0.913,0.631,0,"0","DNAJA1"
0,1.0341904622194,0.775,0.493,0,"0","DNAJB6"
0,1.03506141518976,0.716,0.437,0,"0","PDK4"
0,0.877184552303391,0.963,0.687,0,"0","IER2"
0,0.753870134096122,0.887,0.615,0,"0","CEBPD"
0,3.08522841071176,0.363,0.092,0,"0","IL1B"
0,1.91281523084819,0.443,0.174,0,"0","NLRP3"
0,0.945269078689474,0.989,0.721,0,"0","JUN"
0,0.927173267699043,0.7,0.438,0,"0","TNFAIP2"
0,0.94425007731188,0.966,0.708,0,"0","KLF6"
0,0.825701806359243,0.774,0.517,0,"0","HERPUD1"
0,0.79069876624387,0.96,0.704,0,"0","DUSP1"
0,0.793462835762814,0.855,0.6,0,"0","HSPE1"
0,0.871951596047022,0.793,0.538,0,"0","SFPQ"
0,0.791550796082034,0.906,0.657,0,"0","HSPA5"
0,0.661590814420868,0.87,0.625,0,"0","SRRM2"
0,0.731884002994217,0.924,0.681,0,"0","NEAT1"
0,0.895064306562692,0.773,0.533,0,"0","TRA2B"
0,0.773760434775502,0.887,0.66,0,"0","HNRNPU"
0,0.535469967072733,0.907,0.683,0,"0","MAFB"
0,0.707703693238009,0.969,0.745,0,"0","JUNB"
0,0.686774919152624,0.957,0.748,0,"0","HSPA8"
0,0.668287123640648,0.903,0.704,0,"0","HSPB1"
0,0.521311010916838,0.958,0.791,0,"0","DDX5"
0,0.576945083144227,0.98,0.824,0,"0","HSP90AB1"
0,0.545305423656604,0.991,0.876,0,"0","HSP90AA1"
1.54543734019142e-320,0.762608009089273,0.778,0.546,3.08160205634169e-316,"0","CITED2"
1.77270753727839e-320,0.877564133434783,0.714,0.475,3.53477882933311e-316,"0","NUFIP2"
4.76575721978466e-320,0.788451139651404,0.748,0.519,9.50291989625062e-316,"0","ZFAND5"
3.07300916781609e-315,1.11943336646116,0.583,0.306,6.12758028062528e-311,"0","RGCC"
9.27407909257392e-310,0.92288613466676,0.683,0.422,1.84925137105924e-305,"0","AFF4"
1.54657074980688e-306,0.857836377087585,0.697,0.442,3.08386207511492e-302,"0","RSRP1"
7.26405633105532e-305,0.57823991456926,0.739,0.431,1.44845283241243e-300,"0","TMEM176A"
2.92650881513552e-304,0.552070926092905,0.874,0.679,5.83545857738023e-300,"0","WSB1"
6.69403947636303e-301,1.26664348447136,0.599,0.346,1.33479147158679e-296,"0","NFKB1"
1.31402305174558e-300,1.970372672575,0.389,0.115,2.62016196518069e-296,"0","TNF"
5.24747100210054e-299,1.04892986747738,0.619,0.371,1.04634571781885e-294,"0","MIDN"
2.36243596773491e-297,1.1438475870007,0.57,0.317,4.71069731966342e-293,"0","PCF11"
1.99263901452111e-296,0.671442450306545,0.789,0.578,3.97332219495509e-292,"0","DDX3X"
7.89804460792307e-295,0.88641662294373,0.654,0.386,1.57487009481986e-290,"0","RGS2"
1.20009575633926e-294,0.544472575153041,0.847,0.639,2.39299093814047e-290,"0","XBP1"
6.89855035597814e-287,1.52311608122273,0.459,0.201,1.37557094098204e-282,"0","FAM53C"
8.37840509375604e-284,0.893411890316703,0.669,0.429,1.67065397569495e-279,"0","DYNC1H1"
3.08462107548719e-282,0.949592591659608,0.639,0.394,6.15073442452146e-278,"0","MAT2A"
2.49013385894406e-281,0.852002059126379,0.669,0.417,4.96532691473445e-277,"0","DDX24"
1.22647259516642e-278,0.612102545052361,0.77,0.524,2.44558635476184e-274,"0","LAIR1"
1.61736409627157e-277,0.771866984900905,0.65,0.384,3.22502400796551e-273,"0","PCDH12"
1.33991298676127e-275,1.73109494268109,0.414,0.171,2.67178649560198e-271,"0","ARL5B"
2.59991962681108e-274,0.510202283344058,0.828,0.607,5.1842397358613e-270,"0","FSCN1"
1.33319162125983e-272,0.695442425422343,0.717,0.463,2.65838409279211e-268,"0","USP36"
1.48837904849884e-272,0.94852209932231,0.635,0.386,2.96782782270669e-268,"0","C5AR1"
8.20383929614406e-271,1.76482040981826,0.408,0.154,1.63584555565113e-266,"0","CXCL2"
1.25464190487644e-270,1.2175417507747,0.54,0.299,2.50175595832362e-266,"0","BCL2A1"
3.59602547695752e-267,0.932336095935861,0.626,0.394,7.17047480105329e-263,"0","TCP1"
4.36379117287481e-265,0.830192140671686,0.728,0.501,8.70139959871236e-261,"0","LCP2"
5.41485375201481e-265,0.739900470514209,0.678,0.43,1.07972183815175e-260,"0","NORAD"
1.1165374614427e-263,0.951662037856917,0.614,0.375,2.22637569811673e-259,"0","SLC38A2"
1.17166501089048e-263,1.08525347509976,0.591,0.348,2.33630003171563e-259,"0","DUSP6"
3.78102922214785e-261,1.98551615444826,0.335,0.096,7.53937226896282e-257,"0","MIR22HG"
3.26655403833432e-256,0.970297348707662,0.558,0.305,6.51350875243864e-252,"0","MAN2B1"
2.17285801486247e-255,1.55494640015134,0.418,0.178,4.33267888163577e-251,"0","JMJD6"
6.98540916895812e-255,1.11729627115975,0.546,0.317,1.39289058829025e-250,"0","RBBP6"
6.93876800358278e-250,0.685139095698011,0.731,0.506,1.38359033991441e-245,"0","ETS2"
4.5733924817765e-243,1.75976328265201,0.359,0.115,9.11934460866234e-239,"0","SLC5A3"
2.00129570175326e-239,0.638470947112894,0.692,0.436,3.99058362929599e-235,"0","CD93"
1.35036137959884e-238,0.618601123962661,0.762,0.565,2.69262059092009e-234,"0","SRSF5"
6.14601041300695e-238,1.11067011144875,0.524,0.286,1.22551447635359e-233,"0","MKNK2"
9.67451211722611e-237,0.701882720529381,0.72,0.515,1.92909771617489e-232,"0","SRSF7"
8.0007887307635e-232,1.25431423688018,0.46,0.231,1.59535727291424e-227,"0","BCL3"
2.80574173411964e-231,1.16964190910455,0.491,0.259,5.59464901783457e-227,"0","SLC12A7"
2.36765394103845e-226,1.389110587639,0.462,0.257,4.72110195843067e-222,"0","ZNF267"
1.39137007722088e-224,0.967111824516069,0.518,0.28,2.77439193397843e-220,"0","MYLIP"
4.50041573354502e-223,1.55463760858031,0.369,0.145,8.97382897268878e-219,"0","NFKB2"
1.20303989957584e-221,1.01725983214165,0.573,0.365,2.39886155975422e-217,"0","ZC3HAV1"
2.20799663298962e-218,1.3471511457322,0.405,0.173,4.40274528618131e-214,"0","IRS2"
1.18139501030892e-215,1.23820697953396,0.425,0.183,2.35570165055598e-211,"0","PLEKHG5"
4.12618472801917e-214,0.930224518001594,0.452,0.189,8.22761234767023e-210,"0","C4BPB"
1.26284093762136e-213,1.84894776200861,0.311,0.095,2.51810482961699e-209,"0","TSPYL2"
7.38385872315338e-210,1.14854175957474,0.48,0.266,1.47234142939678e-205,"0","TSC22D2"
8.30815890809965e-209,1.71560082269666,0.307,0.093,1.65664688627507e-204,"0","RGS16"
1.72871597582662e-207,0.957771998656506,0.529,0.311,3.44705965579829e-203,"0","POLR2A"
3.24388022494266e-203,1.22462741789721,0.465,0.263,6.46829716853566e-199,"0","FOSL2"
3.69829907876004e-203,1.3464307337838,0.341,0.113,7.37440836304751e-199,"0","LTBP2"
2.02224848571089e-202,1.06192742665815,0.491,0.282,4.03236348050752e-198,"0","PIM3"
6.57285103682935e-202,0.830899771568982,0.521,0.284,1.31062649674377e-197,"0","TLR7"
2.43426102189852e-200,0.886998536041884,0.503,0.276,4.85391647766565e-196,"0","IRF1"
8.79707837161881e-199,1.34316791134903,0.429,0.23,1.75413742730079e-194,"0","ZNF331"
1.03508352176922e-198,0.57413200405216,0.604,0.339,2.06395654240782e-194,"0","SCIN"
3.91025707270929e-197,1.02203843226754,0.487,0.278,7.79705260298232e-193,"0","MYADM"
1.37839884095978e-196,0.535146515843366,0.717,0.5,2.7485272888738e-192,"0","LRP1"
4.13327903642961e-195,0.875737999759214,0.637,0.453,8.24175839864064e-191,"0","LMNA"
2.35559802206245e-194,1.71267299540649,0.309,0.104,4.69706245599252e-190,"0","PTGER4"
2.81313919924518e-194,0.816724580953861,0.574,0.37,5.60939956329489e-190,"0","MRPL18"
1.48405497989891e-193,0.759930200847092,0.527,0.279,2.95920562991843e-189,"0","IL12RB2"
6.96049056366199e-192,1.0434180274299,0.512,0.322,1.3879218183942e-187,"0","KLF10"
4.93061103223729e-190,0.785856657299391,0.613,0.419,9.83163839828117e-186,"0","HSPA9"
1.20174050447905e-189,0.789322194103307,0.636,0.446,2.39627056593122e-185,"0","B4GALT1"
