"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","subtype_name"
0,3.08522841071176,0.363,0.092,0,0,"IL1B","Pro-inflammatory"
0,2.59877054735223,0.523,0.102,0,0,"NR4A3","Pro-inflammatory"
0,2.597400505309,0.733,0.206,0,0,"BAG3","Pro-inflammatory"
0,2.55335351959601,0.674,0.183,0,0,"KDM6B","Pro-inflammatory"
0,2.4148802825507,0.508,0.131,0,0,"TNFSF9","Pro-inflammatory"
0,2.39577485464674,0.416,0.079,0,0,"EGR3","Pro-inflammatory"
0,2.31061226472215,0.797,0.225,0,0,"NR4A1","Pro-inflammatory"
0,2.29571783414927,0.661,0.19,0,0,"DNAJA4","Pro-inflammatory"
0,2.16046048338467,0.658,0.2,0,0,"CSRNP1","Pro-inflammatory"
0,2.15215975429226,0.573,0.188,0,0,"ZFAND2A","Pro-inflammatory"
0,4.7697152459923,0.433,0.019,0,1,"HLA-DQA1","MHCII+/CCL13+C1Q+"
2.95156838547989e-307,4.44955815603125,0.394,0.022,5.88542736064691e-303,1,"HLA-DQB1","MHCII+/CCL13+C1Q+"
0,4.06081845624936,0.529,0.051,0,1,"HLA-DRB5","MHCII+/CCL13+C1Q+"
0,3.63490919668987,0.626,0.085,0,1,"HLA-DPA1","MHCII+/CCL13+C1Q+"
0,3.47259816740624,0.55,0.091,0,1,"HLA-DPB1","MHCII+/CCL13+C1Q+"
2.23600095124351e-264,3.38413220294138,0.385,0.059,4.45858589677956e-260,1,"FGL2","MHCII+/CCL13+C1Q+"
0,2.77470096933762,0.618,0.169,0,1,"HLA-DRB1","MHCII+/CCL13+C1Q+"
0,2.70110301545899,0.765,0.211,0,1,"HLA-DRA","MHCII+/CCL13+C1Q+"
0,2.52115413968979,0.551,0.158,0,1,"HLA-DMA","MHCII+/CCL13+C1Q+"
0,1.98397549923677,0.583,0.127,0,1,"XIST","MHCII+/CCL13+C1Q+"
4.24317944729908e-148,1.89662895790524,0.418,0.227,8.46089981791437e-144,2,"PAGE4","Homeostatic/SPP1+"
2.41455021815092e-85,1.41188416785943,0.349,0.223,4.81461313499293e-81,2,"TREM2","Homeostatic/SPP1+"
1.12804724177562e-50,1.2490824596309,0.305,0.237,2.2493262001006e-46,2,"NUDT14","Homeostatic/SPP1+"
7.41274663172645e-72,1.22002167597228,0.438,0.365,1.47810167836625e-67,2,"LDHB","Homeostatic/SPP1+"
4.08174816601958e-91,1.20205502002925,0.521,0.437,8.13900584304304e-87,2,"ATP5PO","Homeostatic/SPP1+"
2.48391949040885e-50,1.11092371089374,0.349,0.26,4.95293546387525e-46,2,"CGA","Homeostatic/SPP1+"
1.53434899708363e-60,1.08775842102313,0.458,0.4,3.05949190018475e-56,2,"NDUFB8","Homeostatic/SPP1+"
2.12771096623412e-32,1.07545608132039,0.369,0.364,4.24265566667084e-28,2,"NDUFB5","Homeostatic/SPP1+"
1.02609199153711e-33,1.0686105988215,0.33,0.301,2.046027431125e-29,2,"ABCG2","Homeostatic/SPP1+"
4.54139851685369e-55,1.067093519812,0.435,0.368,9.05554864260627e-51,2,"PPDPF","Homeostatic/SPP1+"
