"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.20026888128699,0.797,0.258,0,"0","NR4A1"
0,2.43770172147758,0.733,0.229,0,"0","BAG3"
0,2.46754262172917,0.674,0.196,0,"0","KDM6B"
0,1.7597687948447,0.87,0.395,0,"0","NFKBIZ"
0,1.82936636221553,0.885,0.412,0,"0","CD83"
0,1.59530788773489,0.96,0.502,0,"0","HSPA1B"
0,1.90725638350155,0.679,0.222,0,"0","DNAJB4"
0,2.21211259377787,0.661,0.207,0,"0","DNAJA4"
0,1.99954641119914,0.723,0.273,0,"0","CCL4L2"
0,1.79479014442658,0.803,0.356,0,"0","RASGEF1B"
0,1.48675907880477,0.83,0.389,0,"0","KLF4"
0,2.03118532427193,0.658,0.223,0,"0","CSRNP1"
0,1.57118274550832,0.914,0.48,0,"0","CCL4"
0,1.6835823535999,0.782,0.349,0,"0","NR4A2"
0,1.66163679702066,0.743,0.321,0,"0","ATF3"
0,2.63966415339296,0.523,0.102,0,"0","NR4A3"
0,1.52513945053827,0.914,0.5,0,"0","PPP1R15A"
0,1.45081324420003,0.95,0.538,0,"0","DNAJB1"
0,1.6493598589245,0.908,0.497,0,"0","HSPH1"
0,1.32843781297951,0.903,0.505,0,"0","IER3"
0,1.69266155809014,0.688,0.291,0,"0","PPP1R15B"
0,1.90427998552478,0.598,0.208,0,"0","TNFAIP3"
0,1.30934099414517,0.94,0.556,0,"0","FOSB"
0,1.96961172460929,0.525,0.147,0,"0","EGR2"
0,1.95321381204189,0.599,0.225,0,"0","NFKBID"
0,1.2398539631612,0.928,0.556,0,"0","BTG2"
0,0.586029231090218,0.769,0.399,0,"0","ATP6V0C"
0,1.97992938013141,0.573,0.214,0,"0","ZFAND2A"
0,1.40998642081409,0.833,0.48,0,"0","ICAM1"
0,0.572988683971226,0.864,0.511,0,"0","TMEM176B"
0,1.34842938501803,0.77,0.419,0,"0","CXCL8"
0,1.56424078893518,0.658,0.308,0,"0","TRIB1"
0,2.15957927975534,0.508,0.158,0,"0","TNFSF9"
0,1.69305291012067,0.622,0.274,0,"0","CHORDC1"
0,1.17877680614723,0.928,0.582,0,"0","KLF2"
0,1.05359319554524,0.924,0.581,0,"0","EGR1"
0,1.16909450307693,0.916,0.574,0,"0","SOD2"
0,0.71643531530245,0.739,0.397,0,"0","TMEM176A"
0,1.2791134963614,0.898,0.559,0,"0","CCL3"
0,1.29099628091029,0.987,0.65,0,"0","HSPA1A"
0,1.7539800721118,0.524,0.19,0,"0","DUSP2"
0,1.40895066944201,0.668,0.338,0,"0","SGK1"
0,1.34585389649571,0.678,0.349,0,"0","REL"
0,2.3575323640748,0.416,0.088,0,"0","EGR3"
0,1.43391784197377,0.588,0.261,0,"0","PMAIP1"
0,1.39893257517536,0.664,0.339,0,"0","HBEGF"
0,1.02162632134353,0.886,0.563,0,"0","RHOB"
0,1.2632696754096,0.672,0.36,0,"0","CLK1"
0,1.29181560914184,0.622,0.314,0,"0","CDKN1A"
0,0.901264313377664,0.809,0.502,0,"0","NAMPT"
0,1.16619909312211,0.754,0.449,0,"0","NEU1"
0,1.38316033369271,0.589,0.286,0,"0","PPP1R10"
0,0.96243122630733,0.932,0.63,0,"0","GADD45B"
0,0.56648960258463,0.846,0.547,0,"0","MS4A7"
0,1.04396424569955,0.931,0.633,0,"0","PNRC1"
0,1.33207411838398,0.647,0.35,0,"0","IER5"
0,1.12866211274547,0.631,0.335,0,"0","SOCS3"
0,1.25838108205892,0.883,0.589,0,"0","HSPD1"
0,1.57452292559426,0.527,0.233,0,"0","TIPARP"
0,0.951165026561656,0.93,0.636,0,"0","JUND"
0,1.07356323109704,0.68,0.388,0,"0","BRD2"
0,1.85827310698814,0.451,0.161,0,"0","PER1"
0,1.77109982614059,0.448,0.158,0,"0","MAFF"
0,1.00955373115352,0.717,0.427,0,"0","TSC22D3"
0,1.14158142633135,0.709,0.421,0,"0","EIF4A3"
0,0.83825171005983,0.768,0.485,0,"0","METRNL"
0,1.03912143640816,0.96,0.677,0,"0","NFKBIA"
0,1.57556925565013,0.618,0.336,0,"0","PLAUR"
0,1.02871636918775,0.957,0.676,0,"0","ZFP36"
0,1.06591485489807,0.716,0.436,0,"0","PDK4"
0,1.22840535479536,0.618,0.341,0,"0","OTUD1"
0,1.05235648141293,0.901,0.625,0,"0","MCL1"
0,1.01903072122674,0.848,0.572,0,"0","CCNL1"
0,2.93862665096907,0.363,0.098,0,"0","IL1B"
0,1.01804657996137,0.775,0.51,0,"0","DNAJB6"
0,0.861599252434351,0.703,0.438,0,"0","BTG1"
0,0.903271707502944,0.829,0.567,0,"0","EIF5"
0,0.93403502806822,0.913,0.653,0,"0","DNAJA1"
0,0.946569901612566,0.883,0.624,0,"0","SQSTM1"
0,0.960288927975734,0.7,0.441,0,"0","TNFAIP2"
0,0.886356428773036,0.963,0.708,0,"0","IER2"
0,0.76219066845571,0.887,0.635,0,"0","CEBPD"
0,0.95897277087477,0.989,0.74,0,"0","JUN"
0,0.9509722367469,0.966,0.726,0,"0","KLF6"
0,0.821224498621648,0.774,0.536,0,"0","HERPUD1"
0,0.800997047366072,0.96,0.724,0,"0","DUSP1"
0,0.838975846633837,0.793,0.557,0,"0","SFPQ"
0,0.67160754659937,0.87,0.637,0,"0","SRRM2"
0,0.798994096776785,0.906,0.677,0,"0","HSPA5"
0,0.765115025793841,0.855,0.628,0,"0","HSPE1"
0,0.753632283883868,0.924,0.705,0,"0","NEAT1"
0,0.863717132627502,0.773,0.556,0,"0","TRA2B"
0,0.550245465170086,0.95,0.735,0,"0","STAB1"
0,0.572809824021552,0.907,0.697,0,"0","MAFB"
0,0.777894702549849,0.887,0.677,0,"0","HNRNPU"
0,0.72960029991555,0.969,0.76,0,"0","JUNB"
0,0.705991172296494,0.957,0.763,0,"0","HSPA8"
0,0.658598022459708,0.903,0.725,0,"0","HSPB1"
0,0.539635085219573,0.958,0.805,0,"0","DDX5"
0,0.601598257588977,0.98,0.835,0,"0","HSP90AB1"
0,0.52571182383636,0.979,0.839,0,"0","FOS"
0,0.583162084546438,0.991,0.884,0,"0","HSP90AA1"
3.95252516672997e-323,0.87903283211553,0.714,0.482,7.88133518245956e-319,"0","NUFIP2"
1.67982319586024e-321,1.89117793026308,0.443,0.177,3.34956745254532e-317,"0","NLRP3"
1.84691099971315e-315,1.29742595160086,0.599,0.343,3.68274053342803e-311,"0","NFKB1"
3.69316386446079e-315,0.929391914119435,0.683,0.427,7.36416874573483e-311,"0","AFF4"
6.72182225771555e-305,0.850386305216372,0.697,0.451,1.34033135818848e-300,"0","RSRP1"
9.91004708790379e-304,1.08708616118197,0.558,0.282,1.97606338932802e-299,"0","MAN2B1"
2.76982720210763e-303,0.554367505930386,0.874,0.697,5.52303544100262e-299,"0","WSB1"
1.00394270113651e-300,1.15837094940672,0.57,0.321,2.00186174606621e-296,"0","PCF11"
1.51135599265497e-297,0.920705918228546,0.669,0.428,3.01364384935401e-293,"0","DYNC1H1"
3.44156189527551e-297,1.00485253971112,0.635,0.38,6.86247441917936e-293,"0","C5AR1"
8.35496185611966e-293,0.737089480872054,0.778,0.574,1.66597939411026e-288,"0","CITED2"
4.30475763101776e-292,0.649556999791797,0.77,0.535,8.58368671624941e-288,"0","LAIR1"
7.22153829929692e-291,0.549548497713705,0.847,0.659,1.43997473687981e-286,"0","XBP1"
3.2306854441956e-290,1.35265375362427,0.505,0.242,6.44198677572603e-286,"0","DDIT3"
2.3149746848874e-288,0.670090315885553,0.789,0.596,4.61605952166548e-284,"0","DDX3X"
3.33953601818248e-287,0.732359117335339,0.717,0.467,6.65903482025587e-283,"0","USP36"
1.97790493884115e-286,0.727307013709221,0.692,0.419,3.94394244804925e-282,"0","CD93"
2.99251805279614e-284,0.733658640876318,0.748,0.547,5.9670809972755e-280,"0","ZFAND5"
9.54103929254885e-284,0.80060416385605,0.65,0.391,1.90248323493424e-279,"0","PCDH12"
9.48642326124744e-283,0.866889322823587,0.728,0.503,1.89159279829274e-278,"0","LCP2"
1.36761035736819e-272,0.988751050242757,0.619,0.392,2.72701505259218e-268,"0","MIDN"
1.98856342770974e-270,1.10843969781467,0.591,0.351,3.96519547485321e-266,"0","DUSP6"
2.46091371521902e-266,0.517279331242213,0.828,0.628,4.90706194814673e-262,"0","FSCN1"
3.98884247848766e-266,0.827285463281223,0.669,0.434,7.9537519021044e-262,"0","DDX24"
4.41171537984997e-266,0.921836115049313,0.639,0.411,8.79696046742084e-262,"0","MAT2A"
2.64272258768171e-265,0.996944136553934,0.583,0.34,5.26958883983733e-261,"0","RGCC"
2.50756403335303e-262,1.77485553630285,0.389,0.14,5.00008268250595e-258,"0","TNF"
1.47442728996884e-259,1.64355287919794,0.414,0.181,2.94000801619786e-255,"0","ARL5B"
5.62591714622469e-257,1.40381320981171,0.459,0.221,1.1218078789572e-252,"0","FAM53C"
1.80792681710181e-256,0.646643378387379,0.717,0.473,3.60500607330101e-252,"0","LRP1"
6.27628414818291e-254,0.82279792945301,0.654,0.421,1.25149105914767e-249,"0","RGS2"
1.01277168163805e-253,0.919318957903293,0.614,0.385,2.01946673318626e-249,"0","SLC38A2"
2.18303163521235e-250,0.696329624281822,0.731,0.518,4.35296508061344e-246,"0","ETS2"
1.3194254545188e-248,1.15632435770252,0.54,0.317,2.63093435631048e-244,"0","BCL2A1"
6.2390579901011e-248,1.0880189592484,0.546,0.324,1.24406816322616e-243,"0","RBBP6"
2.05387143884805e-247,1.88237862739338,0.335,0.104,4.09541964906301e-243,"0","MIR22HG"
6.43827848041319e-246,0.885464773786987,0.626,0.412,1.28379272899439e-241,"0","TCP1"
1.35051437460427e-245,1.05083451171551,0.452,0.177,2.69292566296091e-241,"0","C4BPB"
1.6747393687135e-244,0.706855723925931,0.678,0.451,3.33943030121472e-240,"0","NORAD"
1.67052582641024e-242,1.48590410674689,0.418,0.188,3.33102849786201e-238,"0","JMJD6"
4.34038965278596e-242,0.558379188124207,0.615,0.343,8.6547369676552e-238,"0","GNG10"
2.40387977713218e-239,1.63331788947582,0.408,0.178,4.79333627560157e-235,"0","CXCL2"
1.55078987915664e-235,1.26002086832549,0.46,0.231,3.09227501903835e-231,"0","BCL3"
1.64588979741762e-231,0.503981851934598,0.828,0.654,3.28190425605073e-227,"0","SON"
1.69131111225366e-231,1.39748098856306,0.462,0.255,3.3724743578338e-227,"0","ZNF267"
1.64165286197576e-230,1.04191543895625,0.573,0.365,3.27345580677966e-226,"0","ZC3HAV1"
1.4648616455801e-228,0.863856821950256,0.527,0.264,2.92093412128672e-224,"0","IL12RB2"
1.03546664449121e-227,1.29504289868051,0.425,0.18,2.06472048911548e-223,"0","PLEKHG5"
3.04545534827122e-227,1.15856246178462,0.491,0.265,6.07263796445281e-223,"0","SLC12A7"
1.14993097998101e-226,0.974494434002197,0.518,0.283,2.29296237408213e-222,"0","MYLIP"
2.56576477264285e-226,1.65094575488463,0.359,0.127,5.11613495664984e-222,"0","SLC5A3"
5.62504943397905e-220,1.05816238689074,0.524,0.303,1.12163485713542e-215,"0","MKNK2"
1.54581669380049e-218,1.53151901205288,0.369,0.15,3.08235848743818e-214,"0","NFKB2"
3.15688415177197e-218,0.594440666575785,0.762,0.587,6.29482699863332e-214,"0","SRSF5"
5.85510399697149e-216,0.677478792837063,0.72,0.538,1.16750773699611e-211,"0","SRSF7"
2.35572676079913e-215,1.40808337656742,0.341,0.11,4.69731916103346e-211,"0","LTBP2"
4.95523679738189e-215,0.523587200170172,0.76,0.568,9.88074217397949e-211,"0","PLXND1"
1.98974975505617e-214,1.16176358033854,0.48,0.266,3.96756101158201e-210,"0","TSC22D2"
1.11708217552004e-212,1.82757881642978,0.311,0.097,2.22746185798696e-208,"0","TSPYL2"
2.69567557748703e-211,0.824154433818346,0.504,0.252,5.37517710150913e-207,"0","CD209"
9.02075725137939e-210,1.83282542061642,0.309,0.099,1.79873899592505e-205,"0","PTGER4"
7.56771251852305e-209,0.644443908807724,0.565,0.305,1.5090018761935e-204,"0","EMB"
7.75702290511463e-205,1.28584727300819,0.405,0.185,1.54675036727986e-200,"0","IRS2"
9.79830869774794e-204,0.820787465055543,0.636,0.443,1.95378275433094e-199,"0","B4GALT1"
1.84926517864493e-201,1.35928258523481,0.429,0.232,3.68743476621799e-197,"0","ZNF331"
3.07879896838889e-201,0.673763767238752,0.655,0.454,6.13912514296744e-197,"0","IL10RA"
5.5414548371118e-196,1.18708300163588,0.465,0.269,1.10496609452009e-191,"0","FOSL2"
1.25806381674093e-195,0.87621313025085,0.503,0.284,2.50857925058142e-191,"0","IRF1"
7.10413038506847e-193,1.62153761225695,0.307,0.105,1.41656359878265e-188,"0","RGS16"
1.6458244561369e-188,0.904134567927659,0.529,0.328,3.28177396553699e-184,"0","POLR2A"
2.82918594322874e-187,0.806993389525952,0.521,0.302,5.6413967707981e-183,"0","TLR7"
2.4100074895208e-186,0.689162872588979,0.602,0.401,4.80555493410447e-182,"0","CD55"
2.19928466422891e-184,1.00908703872603,0.491,0.298,4.38537362047244e-180,"0","PIM3"
2.45898623884207e-183,0.627308315052331,0.694,0.514,4.90321856025109e-179,"0","NFE2L2"
1.74609757363413e-181,1.10562240847725,0.471,0.278,3.48171856182645e-177,"0","TFRC"
4.41489826141454e-180,1.0039422787645,0.512,0.333,8.80330713326058e-176,"0","KLF10"
1.74971010229658e-179,1.33997012170318,0.359,0.161,3.48892194397938e-175,"0","ADRB2"
4.90397456211346e-178,1.14048389605959,0.387,0.191,9.77852527685424e-174,"0","TOB2"
1.34183890361632e-177,1.32036259946185,0.352,0.157,2.67562677381094e-173,"0","CDKN2AIP"
5.19712580631743e-177,0.504664074186406,0.743,0.573,1.03630688577969e-172,"0","MGAT1"
3.33347293658003e-175,0.847615730700986,0.56,0.373,6.64694503554058e-171,"0","SPAG9"
5.99657598494262e-173,0.750449384045804,0.613,0.438,1.19571725139756e-168,"0","HSPA9"
6.7904084455033e-173,0.765975175343022,0.574,0.391,1.35400744403336e-168,"0","MRPL18"
7.05299748083932e-173,1.22806891181965,0.413,0.232,1.40636769767936e-168,"0","PFKFB3"
5.87831650711273e-172,0.540255127096905,0.604,0.371,1.17213631151828e-167,"0","SCIN"
1.32665849416313e-171,0.565839590348579,0.674,0.483,2.64535703736127e-167,"0","OLFML2B"
5.0055977561031e-170,0.6307492335072,0.645,0.47,9.98116192566958e-166,"0","ATP1A1"
7.30496307748435e-170,0.501971794977956,0.737,0.559,1.45660963765038e-165,"0","MAP3K8"
1.31045875279321e-169,0.823992693097003,0.637,0.481,2.61305475306966e-165,"0","LMNA"
1.70763104610248e-169,0.92073132336969,0.487,0.299,3.40501630592834e-165,"0","MYADM"
9.37639595510505e-168,0.936395512792476,0.503,0.318,1.86965335344795e-163,"0","WDR91"
1.09070740399414e-167,0.518473683808532,0.716,0.542,2.17487056356432e-163,"0","TNFRSF1B"
2.09758690144541e-166,0.739705691099139,0.617,0.441,4.18258828148215e-162,"0","ATP2A2"
1.03256500131834e-161,1.56002707738076,0.302,0.127,2.05893461262876e-157,"0","PLK3"
6.00936858211435e-161,0.572208957689042,0.679,0.504,1.1982680952736e-156,"0","STAT3"
4.23263486885495e-159,0.740283115209876,0.588,0.416,8.43987392849677e-155,"0","NABP1"
