"gene","direction","log2FC"
"LYVE1","HB_up",5.818099
"EGFL7","HB_up",6.1857867
"CD36","HB_up",3.5873058
"CGA","HB_up",3.865605
"FSCN1","HB_up",4.0216517
"PAGE4","HB_up",4.118701
"PMP22","HB_up",3.0141437
"ATP1B1","HB_up",3.2739913
"HPGDS","HB_up",3.3132997
"ABCG2","HB_up",4.3445683
"DAB2","HB_up",2.1097138
"COLEC12","HB_up",3.4133828
"IGFBP4","HB_up",3.4520485
"SPP1","HB_up",2.0621698
"PYGL","HB_up",3.354998
"TM2D2","HB_up",3.2802782
"FEZ1","HB_up",7.12505
"CD5L","HB_up",9.139166
"PRDX2","HB_up",2.9989042
"TPM1","HB_up",3.100071
"GAPLINC","HB_up",4.6887918
"ADI1","HB_up",2.7128594
"GAMT","HB_up",4.0933833
"QPRT","HB_up",4.287512
"BLVRB","HB_up",1.8053957
"SCIN","HB_up",5.1792474
"F13A1","HB_up",2.6307397
"HSD17B14","HB_up",3.2708774
"S100A13","HB_up",3.2871232
"NPL","HB_up",2.2887254
"TMIGD3","HB_up",3.6274304
"PEBP1","HB_up",2.093582
"LDHB","HB_up",2.219196
"AGR2","HB_up",9.083553
"PLTP","HB_up",2.0934558
"MAGED1","HB_up",4.267066
"MRPL14","HB_up",2.3531654
"KRT18","HB_up",3.2794518
"LRRC39","HB_up",5.707388
"SCN9A","HB_up",7.59745
"AP2M1","HB_up",1.9278802
"KRT8","HB_up",3.112222
"NAA20","HB_up",2.3691404
"MDH1","HB_up",2.2784777
"FAM20A","HB_up",3.2367973
"SLC25A4","HB_up",5.3210263
"COL1A2","HB_up",4.212666
"S100A1","HB_up",6.600041
"CLTA","HB_up",1.5878965
"ARID3A","HB_up",2.8304107
"PEPD","HB_up",2.2888134
"BLVRA","HB_up",2.1942198
"CRYBB1","HB_up",3.385324
"C2","HB_up",2.4068785
"VSIG4","HB_up",1.937812
"CD99","HB_up",1.5833254
"BIRC7","HB_up",6.7446165
"PSMB5","HB_up",2.306202
"GLMP","HB_up",2.2851877
"CHCHD6","HB_up",3.929635
"ANKH","HB_up",2.5405853
"GALE","HB_up",3.102871
"SLC9A3R1","HB_up",2.951137
"ANXA4","HB_up",2.1924262
"NME4","HB_up",2.490855
"TMEM14C","HB_up",1.9328973
"GSTA4","HB_up",4.4255385
"METTL7B","HB_up",4.2029576
"MAGEF1","HB_up",3.6433349
"MTUS1","HB_up",3.713194
"IGF1","HB_up",2.5877004
"RABEP1","HB_up",2.8219335
"ITM2C","HB_up",3.226622
"NUDT5","HB_up",2.364086
"EPS8","HB_up",3.0473633
"TPD52L2","HB_up",2.162315
"RPP25","HB_up",2.9987218
"RBPJ","HB_up",1.9297475
"NCOA4","HB_up",2.0761812
"MGST2","HB_up",1.901389
"KRT7","HB_up",3.2435377
"SLC28A1","HB_up",8.534796
"HADH","HB_up",2.4412372
"BHLHE41","HB_up",3.101963
"PLA2G7","HB_up",2.2624571
"CDK4","HB_up",2.3697946
"FXYD6","HB_up",3.4969397
"EPHX1","HB_up",2.485295
"MPV17","HB_up",2.279769
"GTF3C6","HB_up",1.9159249
"NDUFS3","HB_up",1.9808204
"AMDHD2","HB_up",2.2003357
"EI24","HB_up",2.3776739
"RAB42","HB_up",3.2385616
"TRAPPC2L","HB_up",1.9594151
"EPS15","HB_up",2.2068684
"CHCHD1","HB_up",2.0624416
"XAGE3","HB_up",3.2300398
"AK1","HB_up",2.953921
"ATP6AP2","HB_up",1.5631558
"GNG7","HB_up",2.7446325
"CD59","HB_up",1.8019006
"SNX2","HB_up",1.7605714
"RAB3IL1","HB_up",2.771984
"SNX3","HB_up",1.1732292
"NEU1","HB_up",1.9769586
"MKNK1","HB_up",1.9399836
"TSPAN7","HB_up",7.835496
"CD180","HB_up",2.4654105
"NUDT14","HB_up",1.9841856
"DNPH1","HB_up",1.8696223
"NRROS","HB_up",2.3438978
"MAN1A1","HB_up",2.4417496
"CHCHD7","HB_up",1.9416559
"RAB32","HB_up",1.8956319
"STX7","HB_up",1.848112
"SLC18B1","HB_up",2.7258968
"SLC9A9","HB_up",2.4599316
