"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC00486",0,14.1432015390725,1,0,0,"LINC00486"
"ATP6V0C",0,6.80065183992223,0.993,0.014,0,"ATP6V0C"
"EEF1G",0,4.10244160302622,0.964,0.047,0,"EEF1G"
"ATP5MF",0,-12.5837995096643,0.001,0.907,0,"ATP5MF"
"TRAPPC5",0,4.12870854746469,0.956,0.052,0,"TRAPPC5"
"RNASEK",0,3.57273099787971,0.993,0.103,0,"RNASEK"
"RPS10",0,-13.176720067301,0,0.881,0,"RPS10"
"HNRNPA1",0,-13.157092697948,0,0.877,0,"HNRNPA1"
"VPS13B",0,3.49046699749272,0.952,0.08,0,"VPS13B"
"TMEM117",0,4.0545357162704,0.924,0.056,0,"TMEM117"
"NME2",0,3.64995308036042,0.942,0.079,0,"NME2"
"PDE4B",0,3.63257691353929,0.958,0.104,0,"PDE4B"
"DOCK4",0,3.54628798211875,0.989,0.137,0,"DOCK4"
"UBE2V1",0,3.72897818707541,0.873,0.04,0,"UBE2V1"
"RAD51B",0,3.91216668918478,0.892,0.061,0,"RAD51B"
"COP1",0,2.99173322850711,0.944,0.114,0,"COP1"
"MAGI1",0,3.92147377626127,0.883,0.062,0,"MAGI1"
"PSD3",0,3.17435946492956,0.964,0.143,0,"PSD3"
"DHFR",0,3.30470156159913,0.979,0.162,0,"DHFR"
"FMN1",0,3.01179942681917,0.97,0.157,0,"FMN1"
"ANKHD1",0,2.85078355338108,0.903,0.091,0,"ANKHD1"
"DISP1",0,3.33234302189059,0.91,0.098,0,"DISP1"
"SLC16A10",0,3.81280261924491,0.893,0.081,0,"SLC16A10"
"IFI30",0,2.96235231563063,0.906,0.096,0,"IFI30"
"MT-ATP8",0,2.99606839629614,0.908,0.102,0,"MT-ATP8"
"ETV6",0,2.73902888366767,0.938,0.132,0,"ETV6"
"GAB2",0,2.69320281444159,0.955,0.15,0,"GAB2"
"SIK3",0,3.16185562111094,0.869,0.07,0,"SIK3"
"PSMA6",0,2.54827221287744,0.91,0.113,0,"PSMA6"
"CDKAL1",0,3.32989112881029,0.866,0.07,0,"CDKAL1"
"COG5",0,2.81578074179078,0.902,0.107,0,"COG5"
"SBF2",0,2.73151899394417,0.976,0.181,0,"SBF2"
"MCTP1",0,2.78304640219805,0.909,0.117,0,"MCTP1"
"ME1",0,4.56148861609934,0.824,0.032,0,"ME1"
"SLC8A1",0,2.98249930369214,0.938,0.146,0,"SLC8A1"
"EXOC4",0,2.7288680488455,0.954,0.164,0,"EXOC4"
"SPIDR",0,2.79519218205302,0.89,0.102,0,"SPIDR"
"DISC1",0,2.76667074831139,0.938,0.15,0,"DISC1"
"PTPRM",0,2.66383624336224,0.93,0.145,0,"PTPRM"
"DLEU2",0,3.29039111263412,0.861,0.077,0,"DLEU2"
"TEC",0,3.11798626968223,0.855,0.071,0,"TEC"
"GTDC1",0,3.235595716542,0.866,0.082,0,"GTDC1"
"VAV3",0,2.6739699540651,0.966,0.183,0,"VAV3"
"CD163L1",0,2.78214757503969,0.973,0.191,0,"CD163L1"
"SYT1",0,2.6642078735539,0.951,0.169,0,"SYT1"
"FER",0,2.82670276993444,0.881,0.101,0,"FER"
"ATXN1",0,2.32216569166382,0.944,0.165,0,"ATXN1"
"DENND1A",0,2.74212420197175,0.988,0.21,0,"DENND1A"
"P3H2",0,2.82177506692096,0.892,0.114,0,"P3H2"
"USP32",0,2.40092939692885,0.9,0.122,0,"USP32"
"FAF1",0,2.78343613096285,0.885,0.108,0,"FAF1"
"AFF1",0,2.27798544302946,0.959,0.186,0,"AFF1"
"FTX",0,2.39057925175849,0.945,0.173,0,"FTX"
"EEPD1",0,2.95798912253348,0.84,0.068,0,"EEPD1"
"MGAT5",0,2.56794917491051,0.977,0.205,0,"MGAT5"
"CHST11",0,2.60690451754363,0.905,0.134,0,"CHST11"
"MBD5",0,2.7042114634161,0.896,0.126,0,"MBD5"
"VTI1A",0,2.5169393291789,0.906,0.137,0,"VTI1A"
"ZNF609",0,2.47577886611933,0.901,0.133,0,"ZNF609"
"EXOC6B",0,3.66189810445948,0.822,0.055,0,"EXOC6B"
"TRAPPC9",0,3.09188441051677,0.838,0.072,0,"TRAPPC9"
"ITGA9",0,3.40581836500927,0.816,0.051,0,"ITGA9"
"TBC1D5",0,2.48209975947537,0.974,0.21,0,"TBC1D5"
"NLK",0,2.47332470056842,0.89,0.127,0,"NLK"
"ELL2",0,2.71182159382332,0.867,0.104,0,"ELL2"
"KIF13A",0,2.44167117995468,0.887,0.125,0,"KIF13A"
"ERC1",0,2.69128431785579,0.87,0.111,0,"ERC1"
"STAG1",0,2.26564536408245,0.948,0.189,0,"STAG1"
"FAM172A",0,2.80159781727765,0.845,0.087,0,"FAM172A"
"HIGD2A",0,-12.7793867613526,0,0.758,0,"HIGD2A"
"MAP3K5",0,2.46947366974799,0.884,0.129,0,"MAP3K5"
"TRPS1",0,2.43701109954759,0.962,0.207,0,"TRPS1"
"MAML2",0,2.57617534058252,0.985,0.231,0,"MAML2"
"ZFAND3",0,2.45807825684197,0.994,0.241,0,"ZFAND3"
"LDLRAD4",0,2.29393749640873,0.898,0.146,0,"LDLRAD4"
"ELMO1",0,2.31326226042415,0.954,0.203,0,"ELMO1"
"SRGAP1",0,2.53786175268818,0.87,0.121,0,"SRGAP1"
"AMBRA1",0,3.32957420028462,0.8,0.051,0,"AMBRA1"
"SSH2",0,2.31709979340609,0.893,0.147,0,"SSH2"
"DIAPH2",0,2.3247345468224,0.951,0.206,0,"DIAPH2"
"ANKS1A",0,2.04237287682033,0.919,0.175,0,"ANKS1A"
"GNG10",0,3.14544071304013,0.791,0.052,0,"GNG10"
"PRKCA",0,2.37229619686206,0.973,0.235,0,"PRKCA"
"MERTK",0,2.04864970082194,0.912,0.177,0,"MERTK"
"RPS6KC1",0,2.44830849516718,0.832,0.097,0,"RPS6KC1"
"SIPA1L1",0,4.67984374001205,0.764,0.03,0,"SIPA1L1"
"RALGPS2",0,2.67123050021924,0.838,0.104,0,"RALGPS2"
"TRIO",0,2.27383285471806,0.857,0.124,0,"TRIO"
"RNF111",0,2.12972243855385,0.863,0.13,0,"RNF111"
"MCTP2",0,2.20413449184763,0.896,0.166,0,"MCTP2"
"NF1",0,2.00542862124732,0.94,0.211,0,"NF1"
"COX16",0,2.29345095509756,0.836,0.107,0,"COX16"
"CD44",0,2.4012412587296,0.863,0.134,0,"CD44"
"UTRN",0,2.18247324740262,0.915,0.187,0,"UTRN"
"MIR646HG",0,4.64283404836599,0.752,0.024,0,"MIR646HG"
"ARIH1",0,1.94734617972766,0.917,0.189,0,"ARIH1"
"MAN2B1",0,2.98023002179081,0.775,0.049,0,"MAN2B1"
"TLR1",0,1.97794877681322,0.863,0.137,0,"TLR1"
"UBR5",0,2.11042015947132,0.853,0.127,0,"UBR5"
"SMYD3",0,2.87672644445107,0.831,0.105,0,"SMYD3"
"NCOA1",0,2.03243941483603,0.902,0.177,0,"NCOA1"
"STK3",0,2.11427444104646,0.914,0.189,0,"STK3"
"MKLN1",0,1.87648405464389,0.94,0.215,0,"MKLN1"
"TLR2",0,2.35752787844844,0.855,0.131,0,"TLR2"
"PHF21A",0,2.74049682313453,0.805,0.083,0,"PHF21A"
"NT5C2",0,1.99531794386311,0.885,0.163,0,"NT5C2"
"ATP8B4",0,2.39620776624619,0.973,0.251,0,"ATP8B4"
"EYA2",0,2.83000918499568,0.808,0.087,0,"EYA2"
"EDA",0,2.90408625342392,0.8,0.079,0,"EDA"
"PAN3",0,2.16134242032192,0.878,0.157,0,"PAN3"
"FAM168A",0,2.27182095175575,0.851,0.13,0,"FAM168A"
"DYM",0,2.41328202091812,0.833,0.112,0,"DYM"
"USP34",0,1.86906894109584,0.892,0.172,0,"USP34"
"PCNX1",0,3.21113316151196,0.78,0.06,0,"PCNX1"
"DSE",0,1.97434130822539,0.909,0.189,0,"DSE"
"PDGFC",0,2.15460703452355,0.955,0.237,0,"PDGFC"
"HERC1",0,2.07354006790005,0.873,0.155,0,"HERC1"
"SIPA1L2",0,2.18979295419792,0.843,0.126,0,"SIPA1L2"
"MYO5A",0,2.00605996418831,0.978,0.261,0,"MYO5A"
"DIP2B",0,2.06403421812398,0.976,0.26,0,"DIP2B"
"PTPRJ",0,1.94703712793211,0.975,0.262,0,"PTPRJ"
"ARAP2",0,2.17702940998738,0.86,0.148,0,"ARAP2"
"BIRC6",0,1.82758357505534,0.962,0.25,0,"BIRC6"
"DENND4C",0,2.02540668356284,0.848,0.137,0,"DENND4C"
"TBC1D22A",0,1.76090421395556,0.912,0.203,0,"TBC1D22A"
"UTY",0,5.02140449632982,0.721,0.013,0,"UTY"
"WDR70",0,1.91272328242426,0.862,0.154,0,"WDR70"
"ATP9B",0,2.50701148672306,0.793,0.087,0,"ATP9B"
"FBXL17",0,2.76133783263696,0.789,0.084,0,"FBXL17"
"EIF4G3",0,2.13142196568839,0.983,0.278,0,"EIF4G3"
"ARID2",0,2.08257570007461,0.839,0.134,0,"ARID2"
"AGFG1",0,1.93990078825252,0.943,0.24,0,"AGFG1"
"GSK3B",0,1.91542055098071,0.893,0.191,0,"GSK3B"
"FHIT",0,2.59058819564024,0.827,0.126,0,"FHIT"
"NCKAP5",0,4.37282720301228,0.733,0.034,0,"NCKAP5"
"RASA2",0,2.19728853383892,0.824,0.125,0,"RASA2"
"CR1",0,2.19075064696568,0.936,0.238,0,"CR1"
"PIK3R5",0,2.03299546925702,0.821,0.123,0,"PIK3R5"
"ABL1",0,1.79895888866637,0.877,0.179,0,"ABL1"
"BABAM2",0,1.66916874001435,0.923,0.226,0,"BABAM2"
"SLC39A11",0,2.06404166536437,0.835,0.138,0,"SLC39A11"
"KDM4C",0,2.59201010221613,0.775,0.079,0,"KDM4C"
"IL10RB",0,2.17412245325763,0.796,0.1,0,"IL10RB"
"STARD13",0,2.1175141026318,0.873,0.177,0,"STARD13"
"JARID2",0,1.93017969147954,0.876,0.18,0,"JARID2"
"PRDX2",0,-12.5946655505105,0,0.695,0,"PRDX2"
"BNC2",0,2.77079982716175,0.779,0.085,0,"BNC2"
"TGFBR2",0,1.65109520025181,0.953,0.259,0,"TGFBR2"
"BACH1",0,1.78696301079335,0.911,0.218,0,"BACH1"
"KDM6A",0,2.26293209282199,0.799,0.107,0,"KDM6A"
"TMEM35B",0,9.08023788503216,0.693,0.001,0,"TMEM35B"
"KIAA0232",0,1.91853912600172,0.826,0.135,0,"KIAA0232"
"UBASH3B",0,1.98901967188728,0.846,0.155,0,"UBASH3B"
"KDM2A",0,1.63289049554107,0.91,0.22,0,"KDM2A"
"VPS8",0,1.70756220065145,0.888,0.198,0,"VPS8"
