"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"EEF1G",0,5.5658096887652,0.897,0.047,0,"EEF1G"
"ATP6V0C",0,7.09372722924565,0.757,0.014,0,"ATP6V0C"
"CSH2",0,5.31075900574196,0.769,0.036,0,"CSH2"
"PRG2",0,5.97443888419205,0.757,0.037,0,"PRG2"
"NME2",0,4.60418188813523,0.794,0.079,0,"NME2"
"KISS1",0,4.75402713502199,0.729,0.055,0,"KISS1"
"MRPS24",1.04483320983057e-305,6.2139873988268,0.491,0.01,2.08339742040216e-301,"MRPS24"
"RNASEK",3.20969716214696e-292,3.97976777459541,0.773,0.103,6.40013614132104e-288,"RNASEK"
"TRAPPC5",1.75729385804004e-291,4.35817204670677,0.652,0.052,3.50404395293184e-287,"TRAPPC5"
"TMEM35B",5.9747321682652e-271,8.8363746445732,0.379,0.001,1.19136159435208e-266,"TMEM35B"
"GNG10",8.8494335009941e-243,3.98713871205361,0.591,0.052,1.76457704009822e-238,"GNG10"
"UBE2V1",1.44730167292086e-232,3.96599177361645,0.544,0.04,2.8859195358042e-228,"UBE2V1"
"PSG3",8.33556578150177e-229,5.10215433036121,0.46,0.023,1.66211181683145e-224,"PSG3"
"CSH1",4.53821703754346e-209,3.34075859722207,0.857,0.205,9.04920477286167e-205,"CSH1"
"FTL",4.94702843387663e-205,1.57804740330285,0.979,0.999,9.86437469715e-201,"FTL"
"PSG9",1.72515472865422e-202,6.06439172002899,0.336,0.007,3.43995852893651e-198,"PSG9"
"RPL17",2.62015831404567e-199,2.14609473539925,0.956,0.619,5.22459567820707e-195,"RPL17"
"TFPI2",7.08381184726711e-194,3.66867558581606,0.671,0.107,1.41251208234506e-189,"TFPI2"
"MALAT1",1.0822819238959e-191,1.45500456708065,0.974,0.968,2.15807015624843e-187,"MALAT1"
"EEF1A1",1.64562144228894e-189,1.30365871129873,0.995,0.997,3.28136915592415e-185,"EEF1A1"
"TPT1",2.31018085837491e-189,1.34533438906345,0.984,0.996,4.60650063159958e-185,"TPT1"
"RPLP1",6.46970732183844e-183,1.24015553903641,0.995,0.999,1.29005963997459e-178,"RPLP1"
"GABARAP",2.05878300823313e-178,2.61511972339729,0.829,0.311,4.10521331841685e-174,"GABARAP"
"RPL10",3.35919467076274e-174,1.19350515744046,0.988,0.996,6.6982341735009e-170,"RPL10"
"CALML4",1.07033230494178e-172,4.02397800071548,0.362,0.019,2.13424261605391e-168,"CALML4"
"FTH1",9.78793687287698e-171,1.20568961321584,0.979,0.999,1.95171461245167e-166,"FTH1"
"ACTB",2.21796064975387e-169,1.14614725254391,0.974,1,4.42261353560921e-165,"ACTB"
"RPL13",3.88818747700431e-165,1.15020564914918,0.984,0.998,7.7530458291466e-161,"RPL13"
"B2M",8.31956053173322e-163,1.10396066778498,0.974,0.998,1.6589203700276e-158,"B2M"
"MAN2B1",1.38259792817386e-161,3.14026618742386,0.472,0.049,2.75690026877869e-157,"MAN2B1"
"RPS2",5.95729933274373e-161,1.09668106838529,0.981,0.994,1.1878854869491e-156,"RPS2"
"IFI30",7.23568155552482e-159,3.16033787377603,0.591,0.096,1.44279490217165e-154,"IFI30"
"CDK2AP1",1.46652699259145e-158,3.35891124576249,0.439,0.042,2.92425482322736e-154,"CDK2AP1"
"PSG1",1.37798156055335e-156,5.71687340484181,0.269,0.007,2.74769523174338e-152,"PSG1"
"RPS12",3.79684407387901e-152,1.12937466643869,0.97,0.995,7.57090708331474e-148,"RPS12"
"RPL13A",2.19749100793822e-151,1.06198453170732,0.979,0.994,4.3817970698288e-147,"RPL13A"
"RPS18",1.12229584247944e-148,1.07491310959112,0.979,0.997,2.23785790990401e-144,"RPS18"
"TXNDC5",2.26861867983912e-145,4.37893785153635,0.283,0.011,4.52362564759921e-141,"TXNDC5"
"RPL28",1.17604590944523e-144,1.04682887027569,0.96,0.994,2.34503554343379e-140,"RPL28"
"RPS14",9.79163489452798e-142,1.06562309117588,0.97,0.993,1.95245199796888e-137,"RPS14"
"EGLN2",4.6966631676671e-140,3.55069259480423,0.32,0.02,9.36514635632819e-136,"EGLN2"
"RPL41",1.31083759557169e-136,0.981367579316323,0.963,0.998,2.61381016556994e-132,"RPL41"
"RPS23",1.16808467245892e-135,1.00965960725008,0.963,0.996,2.32916083688309e-131,"RPS23"
"TMSB10",8.2729019987617e-133,1.04014721681185,0.97,0.998,1.64961665855308e-128,"TMSB10"
"ABHD16A",1.19887256100131e-132,3.54074856370725,0.311,0.02,2.39055188663662e-128,"ABHD16A"
"RPS24",2.31710824513343e-132,0.996878500857915,0.963,0.99,4.62031384079606e-128,"RPS24"
"SPP1",1.0547484202114e-131,1.37268685652782,0.909,0.982,2.10316834990154e-127,"SPP1"
"RPL11",1.99727950807878e-131,0.979378846761461,0.963,0.992,3.98257533910909e-127,"RPL11"
"RPL37",5.42479422671068e-131,0.984629683607763,0.953,0.986,1.08170396880611e-126,"RPL37"
"TRIM34",1.21996773834336e-130,6.41474803759643,0.196,0.002,2.43261567025666e-126,"TRIM34"
"RPL7A",7.73736225480158e-129,0.982793350362848,0.951,0.98,1.54283003360743e-124,"RPL7A"
"PSG2",8.53335422898512e-128,4.00968039010629,0.353,0.033,1.70155083325963e-123,"PSG2"
"ZGPAT",1.33573297883709e-127,7.25267924318346,0.189,0.001,2.66345155980117e-123,"ZGPAT"
"RPS3A",3.24642781051781e-126,0.980587796418092,0.956,0.988,6.47337705417252e-122,"RPS3A"
"RPS8",1.19612345926734e-125,1.00010340319044,0.956,0.991,2.38507017777908e-121,"RPS8"
"RPS28",3.2591833155452e-125,0.942812542116958,0.942,0.996,6.49881153119712e-121,"RPS28"
"RPL19",5.13549513418634e-124,0.953017017461738,0.942,0.994,1.02401772975676e-119,"RPL19"
"PSMA6",1.08863295763416e-123,2.79535377425183,0.561,0.113,2.17073411752252e-119,"PSMA6"
"MRPL38",1.18497468454847e-122,3.87365152459642,0.28,0.017,2.36283952098966e-118,"MRPL38"
"FN1",4.70853904784393e-122,2.5233582536942,0.89,0.38,9.3888268614008e-118,"FN1"
"RPL3",9.29640522154872e-121,0.949995517379501,0.956,0.989,1.85370320117681e-116,"RPL3"
"ITM2B",1.77131586442904e-120,0.943425364791956,0.937,0.987,3.53200383367151e-116,"ITM2B"
"BCKDHA",1.40808507302141e-119,4.22072606510615,0.236,0.01,2.8077216356047e-115,"BCKDHA"
"RAD50",2.25775944177018e-119,3.23230417549379,0.304,0.024,4.50197232688974e-115,"RAD50"
"RPS6",1.61216927644657e-117,0.930727016315948,0.951,0.993,3.21466553723446e-113,"RPS6"
"RPS27A",2.42497278219605e-117,0.95166733313705,0.949,0.984,4.83539572769891e-113,"RPS27A"
"RPL32",4.98567834026348e-116,0.91743097496297,0.944,0.994,9.94144261048537e-112,"RPL32"
"RPL9",6.51717742270966e-114,0.924304369369658,0.953,0.984,1.29952517808831e-109,"RPL9"
"RPS16",7.39304162742795e-114,0.927539509073621,0.949,0.984,1.47417250050913e-109,"RPS16"
"PSG4",2.55721471741118e-113,4.30545385045481,0.231,0.011,5.09908614651788e-109,"PSG4"
"ACTG1",2.56336219705461e-113,0.85022591630908,0.93,0.983,5.1113442209269e-109,"ACTG1"
"RPL37A",3.58974055463792e-113,0.912374844356309,0.951,0.985,7.157942665948e-109,"RPL37A"
"RPL8",1.63821789881032e-112,0.926331952348369,0.956,0.985,3.26660649022777e-108,"RPL8"
"RPS11",1.27674740586093e-111,0.929747665500352,0.942,0.976,2.54583432728669e-107,"RPS11"
"RPS4X",3.23893475961349e-111,0.902756114154885,0.96,0.99,6.4584359106693e-107,"RPS4X"
"RPLP2",2.24871689611142e-110,0.854071740173139,0.951,0.994,4.48394149084617e-106,"RPLP2"
"PLSCR3",3.62646643610501e-110,4.53171876686064,0.178,0.003,7.23117407359338e-106,"PLSCR3"
"RPL18A",1.07673125163903e-109,0.921744881757186,0.96,0.988,2.14700211576822e-105,"RPL18A"
"RPL15",1.10202133154987e-109,0.892417161820545,0.937,0.984,2.19743053511044e-105,"RPL15"
"RPL27A",1.70108568466022e-108,0.87515689570056,0.951,0.992,3.39196485521247e-104,"RPL27A"
"RPL26",4.25991146165371e-108,0.917735352476798,0.946,0.984,8.49426345453751e-104,"RPL26"
"CYP51A1",1.08376434320352e-107,3.770644281173,0.227,0.011,2.16102610034781e-103,"CYP51A1"
"RPL30",2.1633515472591e-107,0.898893380348185,0.937,0.976,4.31372298523465e-103,"RPL30"
"RPS19",3.12194920644097e-107,0.855260986929515,0.942,0.991,6.22516671764328e-103,"RPS19"
"RPS3",1.33166566652403e-106,0.922061185209904,0.944,0.986,2.65534133904892e-102,"RPS3"
"TMSB4X",1.60990789917176e-106,1.06025293780069,0.879,0.984,3.21015635094848e-102,"TMSB4X"
"EIF4A1",1.67367107798274e-105,1.4381346880945,0.855,0.638,3.33730012949759e-101,"EIF4A1"
"C17orf49",6.57455233031129e-105,2.52924887841703,0.432,0.07,1.31096573466407e-100,"C17orf49"
"CD63",7.81082972717105e-104,0.802010449864939,0.925,0.983,1.55747944759791e-99,"CD63"
"WBP1",4.74817002558036e-103,3.44257927608188,0.227,0.013,9.46785103100724e-99,"WBP1"
"RPS27",7.69158615148589e-103,0.894340612759934,0.939,0.991,1.53370227860629e-98,"RPS27"
"GIMAP5",1.49357389961474e-102,2.49973264494575,0.395,0.058,2.97818635583179e-98,"GIMAP5"
"RPS15",1.59600009750762e-102,0.829264486706349,0.942,0.994,3.18242419443019e-98,"RPS15"
"RPLP0",1.62118079743355e-102,0.884031669085712,0.942,0.971,3.2326345100825e-98,"RPLP0"
"TNFSF13",3.07243591461437e-102,6.2374259841096,0.161,0.002,6.12643721374106e-98,"TNFSF13"
"ARHGEF18",3.18186212069088e-102,6.06816147099562,0.159,0.002,6.34463306865762e-98,"ARHGEF18"
"RPL18",1.61813245841779e-101,0.910385168082991,0.939,0.978,3.22655612208508e-97,"RPL18"
"PAGR1",3.58692401309521e-100,2.92530247721926,0.313,0.034,7.15232648211184e-96,"PAGR1"
"RPL12",5.87420332965701e-100,0.884932715906745,0.942,0.987,1.17131614393361e-95,"RPL12"
"GNAS",1.36831024408133e-98,1.10234331924744,0.895,0.818,2.72841062669817e-94,"GNAS"
"RPS29",4.54558538498037e-97,0.854368682534754,0.923,0.985,9.06389725765086e-93,"RPS29"
"LINC00278",1.87766474322127e-95,5.34336618138649,0.152,0.002,3.74406349798321e-91,"LINC00278"
"RAB4B",6.2657714251136e-95,4.47260114046624,0.192,0.009,1.24939482216765e-90,"RAB4B"
"DDX39B",6.15028920994441e-94,2.58239614142487,0.472,0.099,1.22636766846291e-89,"DDX39B"
"HSP90AA1",1.00454306293006e-93,0.87429482781911,0.902,0.93,2.00305886748254e-89,"HSP90AA1"
"RPL39",1.26910223573502e-93,0.828216583142826,0.939,0.987,2.53058985805562e-89,"RPL39"
"RPL14",6.91794550041441e-93,0.830948293496668,0.937,0.972,1.37943833278263e-88,"RPL14"
"BRI3",7.02972604560095e-93,1.05849377533924,0.853,0.797,1.40172737349283e-88,"BRI3"
"UBA52",1.63985762864214e-92,0.813944449953661,0.921,0.979,3.26987611151242e-88,"UBA52"
"RPS13",1.84974376670096e-92,0.849724163915648,0.937,0.982,3.68838907080171e-88,"RPS13"
"MYL6",2.85365394174057e-92,0.790255039092932,0.935,0.984,5.69018595983069e-88,"MYL6"
"BOLA2",7.7254368362326e-91,6.79689909985597,0.138,0.001,1.54045210514478e-86,"BOLA2"
"CLN3",2.50045598817808e-90,3.01305029270156,0.278,0.03,4.98590924042709e-86,"CLN3"
"SRXN1",2.97542805567502e-90,3.98309231362677,0.178,0.007,5.933003543016e-86,"SRXN1"
"RPL21",1.05821825659595e-89,0.849835492849484,0.93,0.983,2.11008720365232e-85,"RPL21"
"RPL34",3.89482484839922e-89,0.803996024336329,0.937,0.992,7.76628074770804e-85,"RPL34"
"RPS9",7.21299554920165e-88,0.791246891081398,0.916,0.979,1.43827131251081e-83,"RPS9"
"NGRN",1.04953734939533e-87,3.07241651785021,0.301,0.038,2.0927774746943e-83,"NGRN"
"MBOAT1",7.78143795287691e-87,3.05680599253832,0.259,0.026,1.55161872780366e-82,"MBOAT1"
"DUSP1",1.90935893951183e-86,-1.41990446427934,0.423,0.868,3.80726172538659e-82,"DUSP1"
"FAU",4.69866081738806e-85,0.747352546297422,0.925,0.978,9.3691296698718e-81,"FAU"
"RPS7",5.50306155429047e-85,0.808006455265097,0.923,0.973,1.09731047392552e-80,"RPS7"
"EIF4EBP3",1.36549323162551e-84,3.68754280054705,0.189,0.011,2.72279350386127e-80,"EIF4EBP3"
"RPL29",2.02195844517466e-84,0.799282766016026,0.904,0.979,4.03178513967827e-80,"RPL29"
"RPL23",2.69137505672008e-84,0.818291369141348,0.923,0.968,5.36660186309983e-80,"RPL23"
"IRF9",3.32037166038767e-84,2.1627280709554,0.379,0.065,6.62082109081302e-80,"IRF9"
"PFN1",6.13154755538553e-84,0.735977706805612,0.923,0.985,1.22263058254387e-79,"PFN1"
"EIF1",7.98466474371307e-84,0.720728381637572,0.914,0.98,1.59214214989639e-79,"EIF1"
"PSG5",1.02223658332582e-82,3.66628465691782,0.248,0.026,2.03833974715169e-78,"PSG5"
"ERCC5",2.50881765252618e-82,4.04706146435681,0.157,0.006,5.0025823991372e-78,"ERCC5"
"S100A11",7.18053813884645e-82,0.884565490548153,0.951,0.979,1.43179930488598e-77,"S100A11"
"LAIR2",1.51429881601114e-81,3.82612013802538,0.369,0.072,3.01951183912622e-77,"LAIR2"
