"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"XIST",8.71298508961035e-298,-5.92421018411494,0.007,0.282,1.7373692268683e-293,"XIST"
"LINC01605",7.7688661991348e-229,-10.0763569900397,0.001,0.201,1.54911192010748e-224,"LINC01605"
"CSH2",3.31386128634461e-228,-4.00965325975595,0.025,0.283,6.60783940497116e-224,"CSH2"
"KISS1",1.46749299615096e-199,-3.36991943905449,0.021,0.252,2.92618103432501e-195,"KISS1"
"PENK",2.85916733061116e-185,-6.36102520101978,0.001,0.168,5.70117965723864e-181,"PENK"
"CD36",1.2095607236964e-175,-0.867891156408992,0.735,0.894,2.41186408305062e-171,"CD36"
"CYP19A1",1.74206365445038e-160,-4.13703510633569,0.006,0.166,3.47367492697406e-156,"CYP19A1"
"PSG4",2.0892674803681e-158,-4.96353144320813,0.005,0.16,4.16599935585398e-154,"PSG4"
"CGA",1.92633080642645e-157,-2.42647536651161,0.071,0.324,3.84110362801433e-153,"CGA"
"TFPI2",6.84038705342726e-155,-2.63571646526368,0.06,0.298,1.3639731784534e-150,"TFPI2"
"NUPR1",2.82558187119059e-138,2.10665192341546,0.455,0.105,5.63421025115403e-134,"NUPR1"
"PSG1",4.98394357422695e-137,-4.34862642425362,0.005,0.143,9.93798348700853e-133,"PSG1"
"TSIX",6.25391361747572e-137,-6.39851220928438,0.002,0.129,1.24703037532466e-132,"TSIX"
"VNN2",2.09271268493392e-132,-2.83613708736862,0.052,0.262,4.17286909375824e-128,"VNN2"
"EGR1",1.31696373531104e-127,1.01496043598878,0.716,0.377,2.62602568821022e-123,"EGR1"
"PSG3",1.0428749393502e-124,-3.36197510989439,0.01,0.15,2.0794926290643e-120,"PSG3"
"PSG9",1.84117863568963e-123,-4.03804752716984,0.006,0.135,3.67131019956511e-119,"PSG9"
"DLEU2",4.24154838828784e-122,-2.7088505361032,0.093,0.312,8.45764748624596e-118,"DLEU2"
"SOX5",5.9521177251524e-118,-2.6421502488896,0.082,0.295,1.18685227439539e-113,"SOX5"
"ANKUB1",5.67975169762876e-117,-3.1770921979536,0.041,0.219,1.13254248850717e-112,"ANKUB1"
"UNC5C",4.63656411126327e-113,-2.51073890524061,0.11,0.331,9.24530883785895e-109,"UNC5C"
"LINC02306",2.99028777056335e-110,-7.1608935001577,0.001,0.102,5.96263381450333e-106,"LINC02306"
"PSG2",6.69473026491012e-106,-2.14124020389053,0.032,0.194,1.33492921482308e-101,"PSG2"
"MMP1",6.96274700595318e-106,-5.54704657777409,0.001,0.1,1.38837175298706e-101,"MMP1"
"PLAC4",3.02352943351538e-103,-4.41891996304177,0.004,0.11,6.02891769042967e-99,"PLAC4"
"IER2",9.02647832586897e-102,0.783315533116937,0.758,0.48,1.79987977817827e-97,"IER2"
"TGFBR1",3.17148892915117e-101,-1.11590195859777,0.359,0.597,6.32394892472742e-97,"TGFBR1"
"CFD",8.10225442611259e-101,1.1727036826891,0.611,0.323,1.61558953256685e-96,"CFD"
"HLA-A",1.44269676821468e-100,1.00558939382613,0.681,0.444,2.87673735582008e-96,"HLA-A"
"GNG12-AS1",1.44322691494467e-100,-4.69357388929078,0.006,0.112,2.87779446839967e-96,"GNG12-AS1"
"RAD51B",3.10772705373782e-100,-2.27536456047569,0.107,0.311,6.19680774515322e-96,"RAD51B"
"CARMIL1",1.9609148818003e-98,-2.54308743676251,0.075,0.259,3.91006427430979e-94,"CARMIL1"
"SLC9A9",3.95122504522816e-97,-1.20725981235328,0.572,0.7,7.87874274018495e-93,"SLC9A9"
"FOSB",9.11470214225652e-97,0.944240675485834,0.659,0.372,1.81747160716595e-92,"FOSB"
"WWOX",3.37143048998375e-96,-2.30780284955649,0.1,0.295,6.72263239702759e-92,"WWOX"
"CDKN1A",4.37822709764774e-95,1.55378770361423,0.433,0.145,8.73018483270959e-91,"CDKN1A"
"JUN",6.17390794013755e-95,0.721648069399377,0.798,0.495,1.23107724326343e-90,"JUN"
"VTI1A",1.52139215314602e-94,-1.86762522734823,0.144,0.354,3.03365595337317e-90,"VTI1A"
"ITPR2",2.54072540609099e-94,-0.848930677139188,0.634,0.751,5.06620645974544e-90,"ITPR2"
"LRMDA",5.59943676339327e-94,-1.78592944546011,0.287,0.49,1.11652769062062e-89,"LRMDA"
"PRKN",2.48425510350531e-93,-2.43623708320906,0.075,0.255,4.9536046763896e-89,"PRKN"
"MEF2C-AS2",1.60626354014322e-92,-4.82463187345888,0.005,0.104,3.20288949904558e-88,"MEF2C-AS2"
"KLF4",6.88155166713034e-91,1.04503590575937,0.597,0.305,1.37218140242579e-86,"KLF4"
"NNMT",1.49084033445531e-89,1.6319178266175,0.402,0.123,2.97273562690388e-85,"NNMT"
"PPP1R15A",3.31261117461264e-89,0.995489911795044,0.6,0.328,6.6053466821776e-85,"PPP1R15A"
"DENND1A",4.9521392851469e-89,-1.76048382632986,0.217,0.42,9.87456573458293e-85,"DENND1A"
"MIR646HG",7.67630286643918e-89,-2.42434990104625,0.081,0.258,1.53065479156797e-84,"MIR646HG"
"RBPJ",1.5078722159795e-88,-0.708593578736726,0.812,0.86,3.00669719866312e-84,"RBPJ"
"PMAIP1",3.13609176716937e-88,1.4241375632906,0.45,0.167,6.25336698373572e-84,"PMAIP1"
"GMDS-DT",1.03110825567824e-87,-2.51474554838813,0.057,0.217,2.05602986182241e-83,"GMDS-DT"
"AFF3",3.05489996698639e-87,-2.21435863831274,0.089,0.273,6.09147053417086e-83,"AFF3"
"RPS9",9.04243373559892e-87,0.854392694181052,0.726,0.517,1.80306128687842e-82,"RPS9"
"PLXDC2",3.08852022270782e-86,-1.13586547116991,0.362,0.578,6.1585093240794e-82,"PLXDC2"
"HSPB1",1.15529711259043e-85,0.67847205954518,0.751,0.503,2.30366244250531e-81,"HSPB1"
"F13A1",7.25449456432656e-85,-0.401055702352084,0.993,0.997,1.44654621612672e-80,"F13A1"
"PCCA",4.36906688766328e-84,-1.90814013731042,0.097,0.28,8.71191937400058e-80,"PCCA"
"CDKAL1",3.20362744503663e-83,-1.87554903434325,0.122,0.312,6.38803312540305e-79,"CDKAL1"
"SH3RF3",5.77314799491598e-83,-1.80230122554899,0.183,0.379,1.15116571018625e-78,"SH3RF3"
"MEF2C",2.72789018221075e-82,-0.589493872139681,0.727,0.815,5.43941302332824e-78,"MEF2C"
"HDAC9",3.81550572731552e-82,-1.45631905065284,0.362,0.542,7.60811842026715e-78,"HDAC9"
"CCDC85A",4.69597684053368e-82,-2.1203455547852,0.067,0.231,9.36377782002416e-78,"CCDC85A"
"ATP8B4",1.30085639552673e-81,-1.38663646267253,0.345,0.527,2.59390765268029e-77,"ATP8B4"
"SYT1",6.09487030880405e-81,-1.32807786327025,0.292,0.497,1.21531713957553e-76,"SYT1"
"ARL15",6.24491395242495e-81,-1.96823831196676,0.113,0.298,1.24523584211354e-76,"ARL15"
"SLC2A3",8.27176717323979e-81,1.06002602369393,0.512,0.251,1.64939037434401e-76,"SLC2A3"
"VPS13B",9.81320918735947e-81,-1.63934452115794,0.202,0.398,1.95675391195948e-76,"VPS13B"
"FAM172A",3.92249570839509e-80,-1.75274249852212,0.15,0.342,7.82145644253981e-76,"FAM172A"
"LINC01640",4.62211810897477e-80,-4.16675574548706,0.008,0.1,9.21650350929568e-76,"LINC01640"
"EXOC4",6.56260250271074e-80,-1.59269564712815,0.231,0.423,1.30858293904052e-75,"EXOC4"
"LMNA",8.09852008798213e-80,1.36513818958345,0.45,0.198,1.61484490554364e-75,"LMNA"
"HSPA1A",9.89241074160058e-80,0.869619650780148,0.673,0.395,1.97254670187516e-75,"HSPA1A"
"TBC1D5",1.48222908955476e-79,-1.43865157744705,0.275,0.47,2.9555648045722e-75,"TBC1D5"
"UBE2E2",1.59765717957615e-79,-1.56385613004463,0.159,0.358,3.18572841607484e-75,"UBE2E2"
"NBEA",1.93327980120112e-79,-2.66755541526088,0.042,0.183,3.85495992359503e-75,"NBEA"
"CX3CR1",2.21975455366238e-79,-2.99774405359988,0.016,0.124,4.42619058000278e-75,"CX3CR1"
"DNAJB1",3.47516529943639e-79,0.796613947031957,0.689,0.413,6.92947960707616e-75,"DNAJB1"
"DISC1",3.91594596908423e-79,-1.66374104251493,0.268,0.452,7.80839626235396e-75,"DISC1"
"FARS2",7.90712377183038e-79,-2.07121983203948,0.1,0.275,1.57668048010298e-74,"FARS2"
"HLA-E",2.20111615701931e-78,0.862353979512729,0.68,0.472,4.38902561709651e-74,"HLA-E"
"NFKBIA",9.28952004779781e-78,0.672434355611451,0.738,0.479,1.85233029753088e-73,"NFKBIA"
"DUSP1",1.37554472056962e-77,0.652001195764138,0.76,0.505,2.74283617281582e-73,"DUSP1"
"COG5",1.57082853274131e-77,-1.90906952440494,0.098,0.272,3.13223209428617e-73,"COG5"
"LINC01266",2.50079623556798e-77,-3.09032298580784,0.046,0.184,4.98658769372254e-73,"LINC01266"
"FGF13",4.67532042177075e-77,-1.45547655563046,0.381,0.547,9.32258892101087e-73,"FGF13"
"FHIT",9.86703335378362e-77,-1.83417070415472,0.191,0.374,1.96748645074445e-72,"FHIT"
"UBC",1.2350149075663e-76,0.443831530785884,0.937,0.695,2.46261972568719e-72,"UBC"
"NPAS3",1.61705338308481e-76,-2.04461537186749,0.111,0.288,3.22440444587112e-72,"NPAS3"
"EPHX1",7.08048133103051e-76,1.02116811848515,0.544,0.276,1.41184797740748e-71,"EPHX1"
"FTX",1.06172381106551e-75,-1.76279127061832,0.227,0.406,2.11707727926463e-71,"FTX"
"MTSS1",1.34380844770862e-75,-0.656110620318839,0.694,0.778,2.67955404473099e-71,"MTSS1"
"COP1",1.71476413346458e-75,-1.48233156339171,0.201,0.395,3.41923968212837e-71,"COP1"
"ELMO1",3.30182373430295e-75,-1.56468721354902,0.273,0.451,6.58383652620008e-71,"ELMO1"
"BMP2K",5.40957317701804e-75,-0.828158535070469,0.621,0.723,1.0786688914974e-70,"BMP2K"
"STK3",8.12365561711076e-75,-1.5300020154322,0.212,0.401,1.61985693005188e-70,"STK3"
"JUNB",8.30502459429565e-75,0.536986714892832,0.802,0.55,1.65602190410255e-70,"JUNB"
"RHOB",1.01669140295635e-74,0.775899465025345,0.651,0.393,2.02728265749495e-70,"RHOB"
"PTPRJ",3.19791027432528e-74,-1.08359213078125,0.367,0.551,6.37663308700461e-70,"PTPRJ"
"TSPAN4",5.71970872383182e-74,0.928826257099891,0.556,0.281,1.14050991953207e-69,"TSPAN4"
"SEMA4A",8.07589728583077e-74,2.4147168945332,0.268,0.052,1.61033391879466e-69,"SEMA4A"
"SSBP2",9.82441414469045e-74,-1.39288343798956,0.228,0.423,1.95898818045127e-69,"SSBP2"
"DTNB",1.15811485150929e-73,-1.4188446574086,0.303,0.481,2.30928101390952e-69,"DTNB"
"GPNMB",1.19670928937918e-73,1.19904472694508,0.475,0.219,2.38623832302208e-69,"GPNMB"
"FAF1",2.92081028538147e-73,-1.56407836218917,0.161,0.349,5.82409570905066e-69,"FAF1"
"HLA-B",4.2669503738667e-73,0.777812944495245,0.709,0.508,8.5082990454902e-69,"HLA-B"
"FGL1",2.75252449720188e-72,-1.53270196886017,0.285,0.46,5.48853384742054e-68,"FGL1"
"NLK",3.39514801344445e-72,-1.53707841329689,0.173,0.36,6.76992513880824e-68,"NLK"
"MAML2",5.50611569513002e-72,-1.33842884948161,0.361,0.522,1.09791946960893e-67,"MAML2"
"BBS9",9.53275486701045e-72,-2.26357426799915,0.067,0.215,1.90083132048188e-67,"BBS9"
"DIAPH2",1.41700001100098e-71,-1.15721395757655,0.303,0.498,2.82549802193596e-67,"DIAPH2"
"DUSP2",1.61680075476572e-71,1.38896503483548,0.361,0.12,3.22390070500284e-67,"DUSP2"
"CTSD",3.23153888806991e-71,0.498487241407439,0.87,0.608,6.4436885428114e-67,"CTSD"
"DNAJB4",4.19713890760179e-71,1.00758344694225,0.5,0.255,8.36909498175797e-67,"DNAJB4"
"ATF3",9.85107230033484e-71,1.12778027139667,0.46,0.213,1.96430381668677e-66,"ATF3"
"FCHSD2",1.0877111391424e-70,-1.05356926844907,0.514,0.638,2.16889601144994e-66,"FCHSD2"
"DOCK2",1.44109718297462e-70,-0.91881417151342,0.387,0.569,2.8735477828514e-66,"DOCK2"
"MBD5",9.26282862559444e-70,-1.65929492796365,0.185,0.365,1.84700802794353e-65,"MBD5"
"TBCK",1.43536446091834e-69,-1.743652438562,0.114,0.283,2.86211673507118e-65,"TBCK"
"RPS6KA2",1.92945257214906e-69,-2.30618470229681,0.057,0.196,3.84732842886522e-65,"RPS6KA2"
"PTMS",2.09936779305888e-69,0.660085278086033,0.692,0.429,4.1861393793594e-65,"PTMS"
"TMEM117",2.37388754977401e-69,-1.79045766125612,0.14,0.313,4.73353177424938e-65,"TMEM117"
"NR4A2",2.73961384125972e-69,0.987800759096673,0.515,0.26,5.46278999947188e-65,"NR4A2"
"RGS16",2.75159727864244e-69,1.92781933495498,0.297,0.078,5.48668497361303e-65,"RGS16"
