"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PFDN5",0,-3.09677044315397,0.196,0.743,0,"PFDN5"
"HSPA1B",0,2.17670448755402,0.866,0.337,0,"HSPA1B"
"MT-ND4L",0,1.8641718877643,0.896,0.378,0,"MT-ND4L"
"HSPA1A",0,2.05695786017297,0.9,0.395,0,"HSPA1A"
"PPP1R15A",0,2.08051677645968,0.815,0.328,0,"PPP1R15A"
"ZFP36",0,1.93679730502477,0.906,0.449,0,"ZFP36"
"HLA-C",0,1.73008739687155,0.9,0.446,0,"HLA-C"
"DNAJB1",0,1.90611758524145,0.865,0.413,0,"DNAJB1"
"PRG2",0,-3.04858593661726,0.037,0.487,0,"PRG2"
"EEF1G",0,-5.15367440870402,0.023,0.463,0,"EEF1G"
"HLA-B",0,1.76898547416159,0.948,0.508,0,"HLA-B"
"HLA-A",0,1.67602120071043,0.872,0.444,0,"HLA-A"
"JUN",0,1.67404016684772,0.91,0.495,0,"JUN"
"HLA-E",0,1.50222743106957,0.881,0.472,0,"HLA-E"
"CTSB",0,1.3042809539832,0.957,0.686,0,"CTSB"
"C1QC",0,1.07674723444721,0.964,0.753,0,"C1QC"
"FTH1",0,1.00523200847224,0.993,0.852,0,"FTH1"
"FTL",0,1.00339845689905,0.997,0.966,0,"FTL"
"EGR1",1.65747475575857e-307,1.79565038798194,0.844,0.377,3.30500466298259e-303,"EGR1"
"MCL1",7.66716791327105e-307,1.70231681010186,0.841,0.423,1.52883328190625e-302,"MCL1"
"IER2",1.34934042975355e-304,1.51448539284215,0.876,0.48,2.69058481692858e-300,"IER2"
"FOSB",4.75602523914066e-303,1.87911486932798,0.821,0.372,9.48351432684648e-299,"FOSB"
"B2M",5.4873803119586e-299,0.831298124189994,0.977,0.93,1.09418363420454e-294,"B2M"
"HSP90AA1",5.18074517540933e-288,1.03142007171315,0.947,0.738,1.03304058797662e-283,"HSP90AA1"
"FOS",2.56187323433881e-283,1.24199170899072,0.923,0.61,5.10837522927158e-279,"FOS"
"CSH1",2.87888095391971e-281,-4.7291667617527,0.017,0.368,5.7404886221159e-277,"CSH1"
"RPL22",4.98150288739443e-274,-2.43283005880648,0.266,0.695,9.9331167574645e-270,"RPL22"
"MT-ATP8",2.81426924873489e-273,1.89586405185817,0.786,0.263,5.61165288197737e-269,"MT-ATP8"
"NFKBIZ",5.42087023965838e-272,1.9916990001555,0.771,0.356,1.08092152578788e-267,"NFKBIZ"
"HSPA8",1.59945282135017e-261,1.15816539060229,0.899,0.591,3.18930892577224e-257,"HSPA8"
"HSPH1",1.33161714422056e-259,1.73247204259737,0.794,0.419,2.65524458557579e-255,"HSPH1"
"JUNB",2.49228731692737e-258,1.20303273438181,0.894,0.55,4.96962090995318e-254,"JUNB"
"C1QB",1.90950451561983e-254,0.925763107889875,0.961,0.794,3.80755200414594e-250,"C1QB"
"NR4A1",2.95309798001694e-254,2.49049337414595,0.685,0.224,5.88847737215377e-250,"NR4A1"
"RPS18",1.33276399986085e-248,1.09092370203183,0.911,0.62,2.65753141572254e-244,"RPS18"
"NEAT1",3.82609154058426e-248,1.19621481292592,0.91,0.585,7.62922653192501e-244,"NEAT1"
"NAMPT",1.75946029898449e-246,1.808285252929,0.767,0.348,3.50836383617508e-242,"NAMPT"
"NFKBIA",1.22703165556323e-245,1.37258804669545,0.853,0.479,2.44670112119308e-241,"NFKBIA"
"ATF3",2.26420196086053e-245,2.45364671039757,0.672,0.213,4.5148187099559e-241,"ATF3"
"UBC",2.10793497553127e-242,0.935400687321999,0.946,0.695,4.20322234120936e-238,"UBC"
"MT-ND6",9.14316680197538e-242,2.46600764936172,0.662,0.157,1.82314746031389e-237,"MT-ND6"
"PNRC1",1.49421658256001e-240,1.2529764201352,0.861,0.49,2.97946786562466e-236,"PNRC1"
"KLF6",4.97311379930286e-239,1.27331694512711,0.862,0.551,9.91638891580991e-235,"KLF6"
"IFITM3",1.37122106250326e-238,1.093994098956,0.921,0.634,2.73421479863151e-234,"IFITM3"
"HSP90AB1",2.8640389713038e-236,1.03250837467136,0.915,0.646,5.71089370877977e-232,"HSP90AB1"
