celltype,gene,pct,mean,n
HB,LYVE1,76.35020883615394,1.5912881,69193
HB,CD36,86.32376107409709,1.7730289,69193
HB,DAB2,93.83030075296634,2.0748935,69193
HB,CD5L,8.234937060107237,0.9928424,69193
HB,FOLR2,51.16124463457287,1.3114247,69193
HB,HLA-DRA,11.690488922289827,1.0365543,69193
HB,HLA-DRB1,8.217594265315856,1.0130411,69193
HB,HLA-DQB1,2.7892994956137183,1.0030956,69193
FB,LYVE1,55.13379571707945,1.2546207,82327
FB,CD36,85.14096226025484,1.7366986,82327
FB,DAB2,88.37076536251777,1.7622195,82327
FB,CD5L,5.616626380166895,0.89323515,82327
FB,FOLR2,33.52727537745819,1.13312,82327
FB,HLA-DRA,7.439843550718477,1.0632261,82327
FB,HLA-DRB1,4.856244002575097,1.067734,82327
FB,HLA-DQB1,2.344309886185577,1.0335615,82327
fVEC,LYVE1,39.76660836162843,1.2308537,116628
fVEC,CD36,74.41609219055458,1.594758,116628
fVEC,DAB2,79.1550914017217,1.6263027,116628
fVEC,CD5L,3.5986212573310015,0.94153124,116628
fVEC,FOLR2,22.818705628151044,1.1425728,116628
fVEC,HLA-DRA,5.472956751380457,0.99502295,116628
fVEC,HLA-DRB1,3.8404156806255787,1.0482227,116628
fVEC,HLA-DQB1,2.08869225228933,1.0285087,116628
SCT,LYVE1,23.702272850360153,1.3735795,276965
SCT,CD36,49.08093080353113,1.5538942,276965
SCT,DAB2,76.77107215713177,1.9426596,276965
SCT,CD5L,2.254797537595003,1.2054113,276965
SCT,FOLR2,12.152438033686568,1.3165967,276965
SCT,HLA-DRA,5.284061162962829,1.2453965,276965
SCT,HLA-DRB1,3.451699673243912,1.2578094,276965
SCT,HLA-DQB1,1.7431805462784107,1.1729126,276965
VCT,LYVE1,27.707416294554182,1.2834189,251716
VCT,CD36,61.55190770550938,1.5401146,251716
VCT,DAB2,76.4703078072113,1.7576349,251716
VCT,CD5L,2.680401722576237,1.0610049,251716
VCT,FOLR2,14.997457452049135,1.2183203,251716
VCT,HLA-DRA,5.822037534364124,1.1293348,251716
VCT,HLA-DRB1,3.9687584420537427,1.1670921,251716
VCT,HLA-DQB1,2.0833002272402235,1.0893471,251716
DSC,LYVE1,14.668773802430115,0.8870403,77198
DSC,CD36,40.51400295344439,1.0393381,77198
DSC,DAB2,63.24127568071711,1.3000896,77198
DSC,CD5L,2.594626803803207,0.80626035,77198
DSC,FOLR2,17.92015337184901,0.9982188,77198
DSC,HLA-DRA,35.51257804606337,1.1619954,77198
DSC,HLA-DRB1,31.04743646208451,1.1535559,77198
DSC,HLA-DQB1,16.383844141039923,1.0009882,77198
Immune,LYVE1,21.06550111562796,0.88203025,32717
Immune,CD36,44.04438059724302,0.99012595,32717
