"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"KISS1",6.17372541020231e-110,-5.29952198613887,0.002,0.131,1.23104084679434e-105,"KISS1"
"ANKUB1",6.66930640734358e-92,-5.24355518997211,0.003,0.116,1.32985969762431e-87,"ANKUB1"
"C9",7.09073640159856e-104,-5.00216362648705,0.005,0.134,1.41389283847875e-99,"C9"
"EEF1G",5.36776576776273e-174,-4.22870010149644,0.023,0.247,1.07033249409189e-169,"EEF1G"
"NPAS3",2.49810357755944e-112,-3.85301302765375,0.015,0.166,4.98121853365352e-108,"NPAS3"
"CSH1",6.78064987727679e-140,-3.82453333548553,0.017,0.201,1.35206158552899e-135,"CSH1"
"CHMP4A",2.25147619651864e-65,-3.52460102394722,0.013,0.109,4.48944353585816e-61,"CHMP4A"
"LINC01266",4.38788701056471e-62,-3.48640376402331,0.017,0.112,8.74944669906604e-58,"LINC01266"
"PSMA2",1.78731433718837e-66,-3.41866154231142,0.011,0.105,3.56390478835361e-62,"PSMA2"
"CCDC144A",4.12114130403417e-69,-3.41284083088644,0.008,0.102,8.21755576024413e-65,"CCDC144A"
"DKK2",2.45799063171226e-70,-3.34832911766644,0.015,0.119,4.90123331963425e-66,"DKK2"
"NAALADL2",2.40496027171661e-67,-3.3277319079371,0.012,0.11,4.79549078180291e-63,"NAALADL2"
"CARMIL1",4.33048365544725e-89,-3.27675983661687,0.016,0.142,8.63498440896181e-85,"CARMIL1"
"SOX5",2.07906036564851e-87,-3.01779704726455,0.027,0.164,4.14564636910312e-83,"SOX5"
"ESRRG",2.21410098709459e-68,-3.01080114819613,0.022,0.13,4.41491736826661e-64,"ESRRG"
"BCAP29",2.27949196199379e-63,-2.73764114142684,0.02,0.122,4.54530697221562e-59,"BCAP29"
"TFPI2",3.34748354568033e-81,-2.71561018172148,0.029,0.158,6.67488219008659e-77,"TFPI2"
"CGA",2.07110858601505e-106,-2.71020717589241,0.022,0.177,4.12979052051401e-102,"CGA"
"RAD51B",1.23916850562046e-79,-2.64981648630994,0.041,0.178,2.47090200020719e-75,"RAD51B"
"ATRNL1",2.22929769962487e-104,-2.64922337839328,0.075,0.257,4.44521961305199e-100,"ATRNL1"
"CHSY3",8.18271268410102e-57,-2.57503405480289,0.041,0.149,1.63163290920974e-52,"CHSY3"
"PDE4D",1.34037358111467e-59,-2.56163278046018,0.031,0.136,2.67270492074264e-55,"PDE4D"
"WDR83OS",2.35234787636049e-53,-2.5159091280832,0.04,0.143,4.69058166546283e-49,"WDR83OS"
"CENPP",1.63866169845732e-67,-2.39705942432939,0.044,0.169,3.2674914267239e-63,"CENPP"
"PSG2",1.65885552364722e-67,-2.36592103034532,0.009,0.104,3.30775791415256e-63,"PSG2"
"HBG2",1.13385364919253e-56,-2.3613641072654,0.016,0.107,2.26090417648991e-52,"HBG2"
"NDUFV2",5.12631761860724e-97,-2.34687438661392,0.074,0.253,1.02218773315028e-92,"NDUFV2"
"ADAMTS17",1.17837894209582e-47,-2.32739690588164,0.031,0.121,2.34968761053906e-43,"ADAMTS17"
"WWOX",6.4222392996863e-75,-2.31896800132245,0.044,0.178,1.28059451635745e-70,"WWOX"
"RBM27",4.29221134285888e-57,-2.29375570189933,0.038,0.146,8.55866941766061e-53,"RBM27"
"PFDN5",5.61163999810777e-161,-2.29348807076019,0.196,0.46,1.11896101562269e-156,"PFDN5"
"ANKHD1",1.43696978287965e-98,-2.28805287530191,0.053,0.223,2.86531774706202e-94,"ANKHD1"
"COMMD3",1.09281606681337e-45,-2.28226550599126,0.036,0.127,2.17907523722586e-41,"COMMD3"
"JTB",1.41380794892086e-73,-2.27977828274964,0.057,0.2,2.81913305014819e-69,"JTB"
"PRG2",1.1387198513628e-168,-2.26532528567179,0.037,0.278,2.27060738361742e-164,"PRG2"
"CALML4",3.94484359471975e-52,-2.26247543801055,0.036,0.136,7.86601812787118e-48,"CALML4"
"FHIT",2.67275610059918e-71,-2.24808767513871,0.078,0.223,5.32947566459477e-67,"FHIT"
"MMP19",1.58892050348868e-58,2.24648857865895,0.154,0.037,3.16830748395643e-54,"MMP19"
"NLK",1.41289242380626e-85,-2.24566286200849,0.063,0.222,2.81730749306969e-81,"NLK"
"DDT",2.49116966758405e-41,-2.23117820285256,0.024,0.101,4.96739231716259e-37,"DDT"
"SMYD3",1.67031541772349e-58,-2.22883090620322,0.046,0.16,3.33060894294064e-54,"SMYD3"
"PTPRG",3.415342495955e-58,-2.20007274603935,0.067,0.19,6.81019293693428e-54,"PTPRG"
"ARL15",3.71044804409261e-68,-2.19661638442939,0.049,0.179,7.39863339992067e-64,"ARL15"
"PRKN",3.60085535645458e-59,-2.16921791409107,0.037,0.147,7.18010558077044e-55,"PRKN"
"MIR646HG",1.85797499633251e-52,-2.16366911560979,0.044,0.148,3.70480214268703e-48,"MIR646HG"
"HERC3",2.27662174952541e-57,-2.15727477364909,0.027,0.127,4.53958376855367e-53,"HERC3"
"UBE2V1",3.40668645432911e-60,-2.12151774350392,0.039,0.153,6.79293278993225e-56,"UBE2V1"
"ROR1",5.48508550337589e-64,-2.11386354402175,0.083,0.219,1.09372604937315e-59,"ROR1"
"CAMKMT",5.61395682600029e-43,-2.10505445681133,0.029,0.111,1.11942299110446e-38,"CAMKMT"
"FARS2",3.72603288868196e-61,-2.09114810646247,0.049,0.168,7.42970958003183e-57,"FARS2"
"SARNP",2.31973002367752e-44,-2.08662769122678,0.03,0.115,4.62554166721298e-40,"SARNP"
"CCDC85A",1.79493462527751e-44,-2.06783984199359,0.041,0.133,3.57909964280336e-40,"CCDC85A"
"AUTS2",8.95335584082243e-57,-2.05073284244758,0.036,0.142,1.78529915465999e-52,"AUTS2"
"BBS9",1.46175087031295e-40,-2.03817367673115,0.04,0.126,2.91473123540402e-36,"BBS9"
"TNFSF15",7.25712278443973e-59,2.03520976384316,0.175,0.049,1.44707028321728e-54,"TNFSF15"
"PRH1",3.39577468335471e-42,-2.03042458001386,0.029,0.111,6.77117471860929e-38,"PRH1"
"LDHB",5.35005464521842e-41,-2.02923779828692,0.061,0.159,1.06680089625655e-36,"LDHB"
"CSH2",5.02179844443793e-81,-2.02674230332795,0.033,0.168,1.00134660982092e-76,"CSH2"
"NDUFB8",4.30515459859435e-54,-2.01594606109912,0.066,0.185,8.58447826959713e-50,"NDUFB8"
"RPS17",2.07641389535277e-89,-2.00302552526989,0.107,0.287,4.14036930733342e-85,"RPS17"
"RASAL2",1.75969409034489e-71,-1.99190261913332,0.068,0.212,3.5088300161477e-67,"RASAL2"
"NAV2",3.34503220598712e-79,-1.98593404647343,0.14,0.31,6.66999421873831e-75,"NAV2"
