"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PFDN5",0,-3.43080508812241,0.183,0.915,0
"RPL22",0,-2.72524501756624,0.256,0.873,0
"RPS10",0,-3.43032236792314,0.116,0.715,0
"EEF1G",0,-6.1030909915969,0.02,0.618,0
"PRG2",0,-3.50177348609301,0.041,0.633,0
"RPL17",0,-2.75234441035642,0.223,0.783,0
"RPL23A",0,-2.13042084899688,0.389,0.919,0
"EIF4A1",0,-2.3920418920168,0.189,0.695,0
"RPS17",0,-3.29157631089598,0.102,0.578,0
"RPL36A",0,-2.01933854072729,0.319,0.776,0
"RPL26",0,-1.60607678760667,0.523,0.953,0
"RPS20",0,-1.61695631795162,0.48,0.907,0
"NEAT1",0,1.87271306978118,0.887,0.468,0
"TMBIM4",0,-2.35005697485597,0.184,0.602,0
"CD68",0,-1.6545647725968,0.431,0.847,0
"ARPC1B",0,-1.78845572882576,0.357,0.769,0
"RNASEK",0,-2.11793141231908,0.238,0.649,0
"NDUFA13",0,-2.70433032883945,0.126,0.536,0
"NDUFV2",0,-3.30342765867836,0.069,0.475,0
"CD59",0,-1.67811325997577,0.378,0.769,0
"RPS4Y1",0,-1.93141272109611,0.218,0.603,0
"JTB",0,-3.33143732757922,0.06,0.428,0
"RPS29",0,-1.30998493952684,0.563,0.93,0
"RPL7",0,-1.44749798136317,0.497,0.864,0
"RPL27A",0,-1.28399993375905,0.613,0.959,0
"TRAPPC5",0,-3.21310448825621,0.07,0.414,0
"NDUFC2",0,-2.85412566919347,0.09,0.431,0
"NDUFB8",0,-3.09494050721482,0.066,0.407,0
"ALDOA",0,2.96930617892714,0.405,0.069,0
"CSH1",0,-4.20212398529299,0.018,0.353,0
"ZYX",0,1.56465359487796,0.591,0.262,0
"CCPG1",0,-2.75163145139117,0.076,0.395,0
"HSPA1B",0,1.48190264790909,0.87,0.552,0
"IL1B",0,3.44008184935972,0.385,0.069,0
"RPL21",0,-1.02721986827824,0.655,0.953,0
"HLA-DRB5",0,3.85375844931945,0.35,0.054,0
"RPL23",0,-1.08908226677117,0.623,0.916,0
"WDR83OS",0,-3.8835589929506,0.038,0.323,0
"RPL38",0,-0.969529209896136,0.625,0.903,0
"MALAT1",0,1.63020426554741,0.932,0.66,0
"HSPA1A",0,1.31115526852767,0.906,0.649,0
"RPL9",0,-0.903902223858977,0.693,0.95,0
"ATF3",0,1.56330073368822,0.68,0.424,0
"PSMA2",0,-5.15130213744733,0.01,0.265,0
"HLA-C",0,1.09411945128466,0.873,0.618,0
"ZFP36",0,1.39212426819374,0.901,0.651,0
"HLA-B",0,1.04675247691591,0.931,0.682,0
"NR4A1",0,1.60532709100521,0.681,0.436,0
"PPP1R15A",0,1.31447888438943,0.813,0.572,0
"IER3",0,1.14699656646779,0.74,0.501,0
"NFKBIZ",0,1.37099068972263,0.757,0.518,0
"HLA-DQA1",0,4.36919868050238,0.254,0.019,0
"MCL1",0,1.08033869916719,0.815,0.582,0
"SRRM2",0,0.971357578321788,0.821,0.603,0
"HSPD1",0,1.20378581888911,0.792,0.58,0
"HLA-E",0,0.717194503196949,0.861,0.649,0
"HSPH1",0,1.16086543507376,0.783,0.578,0
"HLA-A",0,0.760614963566716,0.852,0.648,0
"DNAJB1",0,1.26365868764499,0.867,0.664,0
"SQSTM1",0,1.01205930255298,0.791,0.589,0
"FOSB",0,1.14029209545019,0.828,0.631,0
"CCL4",0,1.42653596352391,0.701,0.516,0
"CCL3",0,1.25955196827924,0.693,0.508,0
"KLF6",0,1.03532835091953,0.864,0.68,0
"CD83",0,1.16553072795253,0.705,0.527,0
"GADD45B",0,0.973456326785726,0.835,0.66,0
"EGR1",0,0.947581226790469,0.839,0.677,0
"IER2",0,0.966485046529646,0.885,0.727,0
"BTG2",0,0.950305109204487,0.809,0.656,0
"HNRNPA2B1",0,0.702430731515381,0.892,0.743,0
"JUN",0,1.13336414690085,0.921,0.776,0
"PNRC1",0,0.78793572014663,0.843,0.7,0
"NFKBIA",0,0.899631642872729,0.857,0.716,0
"DUSP1",0,0.845773397275547,0.87,0.738,0
"CD74",0,1.14915790331576,0.818,0.695,0
"JUNB",0,0.818585096437395,0.9,0.782,0
"CTSB",0,0.844851069640691,0.938,0.825,0
"HSPA8",0,0.832104531095544,0.895,0.785,0
"STAB1",0,0.675416596922858,0.889,0.788,0
