"Subtype","Disease","Proportion"
"Homeostatic","Infection",0.0422609614368727
"MHCII+ Antigen-presenting","Infection",0.000528262017960909
"MKI67+ Proliferating","Infection",0.0221870047543582
"PRKN+ Autophagy","Infection",0.933438985736926
"Pro-inflammatory","Infection",0
"Vascular remodeling","Infection",0.00158478605388273
"Homeostatic","Miscarriage / Normal",0.439252336448598
"MHCII+ Antigen-presenting","Miscarriage / Normal",0.0677570093457944
"MKI67+ Proliferating","Miscarriage / Normal",0.0794392523364486
"PRKN+ Autophagy","Miscarriage / Normal",0
"Pro-inflammatory","Miscarriage / Normal",0.0327102803738318
"Vascular remodeling","Miscarriage / Normal",0.380841121495327
"Homeostatic","Normal 1st trimester",0.507702182284981
"MHCII+ Antigen-presenting","Normal 1st trimester",0.214377406931964
"MKI67+ Proliferating","Normal 1st trimester",0.171801454856654
"PRKN+ Autophagy","Normal 1st trimester",0
"Pro-inflammatory","Normal 1st trimester",0.00791613179289688
"Vascular remodeling","Normal 1st trimester",0.0982028241335045
"Homeostatic","Normal 1st/2nd/Term",0
"MHCII+ Antigen-presenting","Normal 1st/2nd/Term",0.00867678958785249
"MKI67+ Proliferating","Normal 1st/2nd/Term",0
"PRKN+ Autophagy","Normal 1st/2nd/Term",0.926247288503254
"Pro-inflammatory","Normal 1st/2nd/Term",0
"Vascular remodeling","Normal 1st/2nd/Term",0.0650759219088937
"Homeostatic","Normal 3rd trimester / Preeclampsia",0.213146762121705
"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia",0.0722421086885779
"MKI67+ Proliferating","Normal 3rd trimester / Preeclampsia",0.0110641067360885
"PRKN+ Autophagy","Normal 3rd trimester / Preeclampsia",0.0953465668727628
"Pro-inflammatory","Normal 3rd trimester / Preeclampsia",0.401399284087211
"Vascular remodeling","Normal 3rd trimester / Preeclampsia",0.206801171493654
"Homeostatic","Preeclampsia",0.285714285714286
"MHCII+ Antigen-presenting","Preeclampsia",0.0526315789473684
"MKI67+ Proliferating","Preeclampsia",0.0275689223057644
"PRKN+ Autophagy","Preeclampsia",0.541353383458647
"Pro-inflammatory","Preeclampsia",0.050125313283208
"Vascular remodeling","Preeclampsia",0.0426065162907268
"Homeostatic","Preeclampsia / Control",0.103944315545244
"MHCII+ Antigen-presenting","Preeclampsia / Control",0.636194895591647
"MKI67+ Proliferating","Preeclampsia / Control",0.0111368909512761
"PRKN+ Autophagy","Preeclampsia / Control",0.0468677494199536
"Pro-inflammatory","Preeclampsia / Control",0.125754060324826
"Vascular remodeling","Preeclampsia / Control",0.0761020881670534
"Homeostatic","Preterm Labor / Term Labor",0.0641865844255975
"MHCII+ Antigen-presenting","Preterm Labor / Term Labor",0.328643022359291
"MKI67+ Proliferating","Preterm Labor / Term Labor",0.0146491904394757
"PRKN+ Autophagy","Preterm Labor / Term Labor",0
"Pro-inflammatory","Preterm Labor / Term Labor",0.559753276792598
"Vascular remodeling","Preterm Labor / Term Labor",0.0327679259830378
"Homeostatic","Severe Preeclampsia",0.00890207715133531
"MHCII+ Antigen-presenting","Severe Preeclampsia",0
"MKI67+ Proliferating","Severe Preeclampsia",0.00593471810089021
"PRKN+ Autophagy","Severe Preeclampsia",0.178041543026706
"Pro-inflammatory","Severe Preeclampsia",0.106824925816024
"Vascular remodeling","Severe Preeclampsia",0.700296735905044
