"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC00486",0,14.1432015390725,1,0,0,"LINC00486"
"RPS10",0,-13.176720067301,0,0.881,0,"RPS10"
"HNRNPA1",0,-13.157092697948,0,0.877,0,"HNRNPA1"
"HIGD2A",0,-12.7793867613526,0,0.758,0,"HIGD2A"
"PRDX2",0,-12.5946655505105,0,0.695,0,"PRDX2"
"ATP5MF",0,-12.5837995096643,0.001,0.907,0,"ATP5MF"
"MS4A7",0,-12.5027823493077,0,0.625,0,"MS4A7"
"KDELR2",0,-12.3245982223017,0,0.603,0,"KDELR2"
"LEPROT",8.03231566376431e-285,-11.9065251555315,0,0.496,1.6016437433546e-280,"LEPROT"
"LINC01605",0,11.8698926099741,0.59,0,0,"LINC01605"
"TNFAIP8L2",3.33784270163066e-227,-11.7284477495155,0,0.417,6.65565834705154e-223,"TNFAIP8L2"
"LIMD2",3.1986242519647e-202,-11.5684383353066,0,0.38,6.3780567584176e-198,"LIMD2"
"TAF9",8.02149536748153e-214,-11.5522258900075,0,0.397,1.59948617627582e-209,"TAF9"
"CHMP1B",5.80741464010783e-178,-11.4425229459279,0,0.342,1.1579984792375e-173,"CHMP1B"
"TMEM205",1.25704285432679e-188,-11.3681200891533,0,0.359,2.50654345152762e-184,"TMEM205"
"PSMA3-AS1",8.22498149049598e-173,-11.2807583357506,0,0.334,1.6400613092049e-168,"PSMA3-AS1"
"COX14",0,-11.2751052733944,0.001,0.614,0,"COX14"
"SPTSSA",8.85641667847101e-152,-11.0785816404111,0,0.3,1.76596948568712e-147,"SPTSSA"
"SLC35F6",1.09217095915561e-141,-10.9694321270271,0,0.283,2.17778889255628e-137,"SLC35F6"
"SNRPD3",0,-10.9102281648503,0.001,0.634,0,"SNRPD3"
"PIGBOS1",2.63814549451954e-127,-10.8658615291929,0,0.258,5.26046211607197e-123,"PIGBOS1"
"PTPMT1",1.74195371351446e-119,-10.8068082885766,0,0.244,3.47345570474782e-115,"PTPMT1"
"THSD4-AS1",0,10.7998005369567,0.423,0,0,"THSD4-AS1"
"LINC02306",3.04560997312861e-193,10.6915980238702,0.252,0,6.07294628641845e-189,"LINC02306"
"TRAPPC2B",1.71339392604289e-112,-10.667241169183,0,0.231,3.41650748852952e-108,"TRAPPC2B"
"LINC01500",0,10.639553195413,0.418,0,0,"LINC01500"
"PRKCA-AS1",6.51268117363197e-265,10.5502642536372,0.335,0,1.29862862602222e-260,"PRKCA-AS1"
"PIGS",8.8557517516935e-106,-10.5145905309044,0,0.219,1.76583689928768e-101,"PIGS"
"REPIN1",2.50803985264823e-98,-10.5013915614298,0,0.205,5.00103146618057e-94,"REPIN1"
"ALDOA",8.14090933507467e-96,-10.4442368956063,0,0.201,1.62329732141389e-91,"ALDOA"
"TIA1",8.14090933507467e-96,-10.3746657746347,0,0.201,1.62329732141389e-91,"TIA1"
"NUP62",5.69234709054294e-144,-10.3121423375269,0.001,0.288,1.13505400985426e-139,"NUP62"
"RHNO1",7.91292677647961e-92,-10.3010816687165,0,0.193,1.57783759923003e-87,"RHNO1"
"LINC02245",2.61174757827904e-212,10.2914246512479,0.275,0,5.2078246710884e-208,"LINC02245"
"CHD1L",1.88494010211409e-84,-10.2483130736625,0,0.179,3.75857056361549e-80,"CHD1L"
"NAA10",1.48202704961263e-246,-10.2389883994832,0.001,0.445,2.95516193692758e-242,"NAA10"
"AKT1S1",5.78773741061952e-84,-10.23231186801,0,0.178,1.15407483967753e-79,"AKT1S1"
"UNC119",4.71902341545431e-81,-10.2264273981371,0,0.172,9.40973269041589e-77,"UNC119"
"RBM12",5.07774280315468e-82,-10.1925737541325,0,0.174,1.01250191494904e-77,"RBM12"
"PTP4A1",1.34116130344475e-248,-10.1828481478373,0.001,0.448,2.67427563906884e-244,"PTP4A1"
"FMC1",3.34236141853201e-77,-10.1356123150895,0,0.165,6.66466866855282e-73,"FMC1"
"ZNF581",1.10851432576343e-77,-10.1260773401547,0,0.166,2.21037756557228e-73,"ZNF581"
"CXCL5",4.61135098127773e-174,10.0709578716088,0.229,0,9.19503385666779e-170,"CXCL5"
"MOB3C",1.0446777810284e-70,-9.99427531298864,0,0.152,2.08308749537063e-66,"MOB3C"
