"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC02245",1.0347587000299e-78,9.84443319868227,0.11,0,2.06330884785963e-74,"LINC02245"
"TMEM35B",5.9747321682652e-271,8.8363746445732,0.379,0.001,1.19136159435208e-266,"TMEM35B"
"PTP4A1",4.57561971789711e-65,-8.63840682647632,0.002,0.448,9.12378571748683e-61,"PTP4A1"
"ZGPAT",1.33573297883709e-127,7.25267924318346,0.189,0.001,2.66345155980117e-123,"ZGPAT"
"ATP6V0C",0,7.09372722924565,0.757,0.014,0,"ATP6V0C"
"ST6GALNAC6",3.51840021905518e-76,6.88993976891911,0.114,0.001,7.01569003679602e-72,"ST6GALNAC6"
"BOLA2",7.7254368362326e-91,6.79689909985597,0.138,0.001,1.54045210514478e-86,"BOLA2"
"TRIM34",1.21996773834336e-130,6.41474803759643,0.196,0.002,2.43261567025666e-126,"TRIM34"
"TNFSF13",3.07243591461437e-102,6.2374259841096,0.161,0.002,6.12643721374106e-98,"TNFSF13"
"THTPA",3.96858194881074e-13,-6.21623666436617,0.002,0.115,7.91335240592862e-09,"THTPA"
"MRPS24",1.04483320983057e-305,6.2139873988268,0.491,0.01,2.08339742040216e-301,"MRPS24"
"ATG9A",3.67181378964654e-79,6.15707810415313,0.124,0.002,7.32159669655521e-75,"ATG9A"
"ARHGEF18",3.18186212069088e-102,6.06816147099562,0.159,0.002,6.34463306865762e-98,"ARHGEF18"
"PSG9",1.72515472865422e-202,6.06439172002899,0.336,0.007,3.43995852893651e-198,"PSG9"
"CHTF8",1.20395338533303e-31,-5.98572948027734,0.012,0.269,2.40068305035406e-27,"CHTF8"
"PRG2",0,5.97443888419205,0.757,0.037,0,"PRG2"
"GTF2H4",1.07510834581287e-67,5.94648027538796,0.107,0.002,2.14376604155087e-63,"GTF2H4"
"EDC4",7.1853837081113e-76,5.85194017001373,0.119,0.002,1.43276551139739e-71,"EDC4"
"PSG1",1.37798156055335e-156,5.71687340484181,0.269,0.007,2.74769523174338e-152,"PSG1"
"EEF1G",0,5.5658096887652,0.897,0.047,0,"EEF1G"
"LINC00278",1.87766474322127e-95,5.34336618138649,0.152,0.002,3.74406349798321e-91,"LINC00278"
"CSH2",0,5.31075900574196,0.769,0.036,0,"CSH2"
"PSG3",8.33556578150177e-229,5.10215433036121,0.46,0.023,1.66211181683145e-224,"PSG3"
"KISS1",0,4.75402713502199,0.729,0.055,0,"KISS1"
"CXCL2",1.40749266095056e-12,-4.73982733431561,0.012,0.126,2.80654036593541e-08,"CXCL2"
"INHBA",7.89786487593141e-48,4.71487798796536,0.117,0.009,1.57483425626072e-43,"INHBA"
"NME2",0,4.60418188813523,0.794,0.079,0,"NME2"
"PLSCR3",3.62646643610501e-110,4.53171876686064,0.178,0.003,7.23117407359338e-106,"PLSCR3"
"RAB4B",6.2657714251136e-95,4.47260114046624,0.192,0.009,1.24939482216765e-90,"RAB4B"
"TXNDC5",2.26861867983912e-145,4.37893785153635,0.283,0.011,4.52362564759921e-141,"TXNDC5"
"TRAPPC5",1.75729385804004e-291,4.35817204670677,0.652,0.052,3.50404395293184e-287,"TRAPPC5"
"PSG4",2.55721471741118e-113,4.30545385045481,0.231,0.011,5.09908614651788e-109,"PSG4"
"BCKDHA",1.40808507302141e-119,4.22072606510615,0.236,0.01,2.8077216356047e-115,"BCKDHA"
"PSG6",8.08464271058373e-51,4.12201818626713,0.11,0.006,1.6120777564904e-46,"PSG6"
"DLK1",2.94110542600476e-21,-4.10200180592547,0.021,0.211,5.86456421945348e-17,"DLK1"
"ERCC5",2.50881765252618e-82,4.04706146435681,0.157,0.006,5.0025823991372e-78,"ERCC5"
"CALML4",1.07033230494178e-172,4.02397800071548,0.362,0.019,2.13424261605391e-168,"CALML4"
"PSG2",8.53335422898512e-128,4.00968039010629,0.353,0.033,1.70155083325963e-123,"PSG2"
"GNG10",8.8494335009941e-243,3.98713871205361,0.591,0.052,1.76457704009822e-238,"GNG10"
"SRXN1",2.97542805567502e-90,3.98309231362677,0.178,0.007,5.933003543016e-86,"SRXN1"
"PAM16",7.66682085540681e-80,3.9818722459347,0.175,0.01,1.52876407856812e-75,"PAM16"
