"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC01605",7.7688661991348e-229,-10.0763569900397,0.001,0.201,1.54911192010748e-224,"LINC01605"
"LINC02306",2.99028777056335e-110,-7.1608935001577,0.001,0.102,5.96263381450333e-106,"LINC02306"
"TSIX",6.25391361747572e-137,-6.39851220928438,0.002,0.129,1.24703037532466e-132,"TSIX"
"PENK",2.85916733061116e-185,-6.36102520101978,0.001,0.168,5.70117965723864e-181,"PENK"
"XIST",8.71298508961035e-298,-5.92421018411494,0.007,0.282,1.7373692268683e-293,"XIST"
"MMP1",6.96274700595318e-106,-5.54704657777409,0.001,0.1,1.38837175298706e-101,"MMP1"
"PSG4",2.0892674803681e-158,-4.96353144320813,0.005,0.16,4.16599935585398e-154,"PSG4"
"MEF2C-AS2",1.60626354014322e-92,-4.82463187345888,0.005,0.104,3.20288949904558e-88,"MEF2C-AS2"
"GNG12-AS1",1.44322691494467e-100,-4.69357388929078,0.006,0.112,2.87779446839967e-96,"GNG12-AS1"
"PLAC4",3.02352943351538e-103,-4.41891996304177,0.004,0.11,6.02891769042967e-99,"PLAC4"
"PSG1",4.98394357422695e-137,-4.34862642425362,0.005,0.143,9.93798348700853e-133,"PSG1"
"LINC01640",4.62211810897477e-80,-4.16675574548706,0.008,0.1,9.21650350929568e-76,"LINC01640"
"CYP19A1",1.74206365445038e-160,-4.13703510633569,0.006,0.166,3.47367492697406e-156,"CYP19A1"
"PSG9",1.84117863568963e-123,-4.03804752716984,0.006,0.135,3.67131019956511e-119,"PSG9"
"CSH2",3.31386128634461e-228,-4.00965325975595,0.025,0.283,6.60783940497116e-224,"CSH2"
"KISS1",1.46749299615096e-199,-3.36991943905449,0.021,0.252,2.92618103432501e-195,"KISS1"
"PSG3",1.0428749393502e-124,-3.36197510989439,0.01,0.15,2.0794926290643e-120,"PSG3"
"ANKUB1",5.67975169762876e-117,-3.1770921979536,0.041,0.219,1.13254248850717e-112,"ANKUB1"
"AEBP1",6.43086464074148e-69,3.14530127932958,0.213,0.025,1.28231440936385e-64,"AEBP1"
"LINC01266",2.50079623556798e-77,-3.09032298580784,0.046,0.184,4.98658769372254e-73,"LINC01266"
"CX3CR1",2.21975455366238e-79,-2.99774405359988,0.016,0.124,4.42619058000278e-75,"CX3CR1"
"THBS1",3.39956030208046e-69,-2.90090615913048,0.011,0.102,6.77872324234844e-65,"THBS1"
"VNN2",2.09271268493392e-132,-2.83613708736862,0.052,0.262,4.17286909375824e-128,"VNN2"
"TOX",1.17778516591642e-52,-2.76166474227435,0.023,0.112,2.34850362083735e-48,"TOX"
"DLEU2",4.24154838828784e-122,-2.7088505361032,0.093,0.312,8.45764748624596e-118,"DLEU2"
"CFI",1.85710235622218e-33,2.69264649096048,0.132,0.026,3.70306209830702e-29,"CFI"
"NBEA",1.93327980120112e-79,-2.66755541526088,0.042,0.183,3.85495992359503e-75,"NBEA"
"MIR34AHG",4.67257367133833e-52,-2.65621771658468,0.022,0.11,9.31711190064862e-48,"MIR34AHG"
"SOX5",5.9521177251524e-118,-2.6421502488896,0.082,0.295,1.18685227439539e-113,"SOX5"
"TFPI2",6.84038705342726e-155,-2.63571646526368,0.06,0.298,1.3639731784534e-150,"TFPI2"
"HLA-G",6.38397175606476e-21,2.62943622561798,0.125,0.045,1.27296396815931e-16,"HLA-G"
"CARMIL1",1.9609148818003e-98,-2.54308743676251,0.075,0.259,3.91006427430979e-94,"CARMIL1"
"GPR68",1.01620780261437e-31,2.52372449684405,0.127,0.025,2.02631835841306e-27,"GPR68"
"GMDS-DT",1.03110825567824e-87,-2.51474554838813,0.057,0.217,2.05602986182241e-83,"GMDS-DT"
"UNC5C",4.63656411126327e-113,-2.51073890524061,0.11,0.331,9.24530883785895e-109,"UNC5C"
"PRKN",2.48425510350531e-93,-2.43623708320906,0.075,0.255,4.9536046763896e-89,"PRKN"
