"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PYURF",1.84701761334728e-120,-11.2744145002801,0,0.14,3.68295312101449e-116,"PYURF"
"PENK",7.74234037900564e-144,-10.9202253310078,0,0.168,1.54382267157372e-139,"PENK"
"LINC01640",2.46464226439306e-85,-10.4872824354652,0,0.1,4.91449667519976e-81,"LINC01640"
"CYB561D2",6.26969187381048e-99,-10.2780558929435,0,0.117,1.25017655963781e-94,"CYB561D2"
"LINC02306",5.31556722574664e-86,-8.49498187700361,0,0.102,1.05992410481388e-81,"LINC02306"
"PSG4",4.32069806663548e-132,-7.05739096546147,0.002,0.16,8.61547194487114e-128,"PSG4"
"ARMH4",1.80961042908136e-118,-6.66431354934679,0.001,0.142,3.60836319558823e-114,"ARMH4"
"KISS1",3.73294918059882e-215,-6.23675634245478,0.002,0.252,7.44350066611405e-211,"KISS1"
"ANKUB1",8.85046116211719e-180,-6.17143356134852,0.003,0.219,1.76478195572617e-175,"ANKUB1"
"GNG12-AS1",2.01154841982668e-88,-5.99540809777686,0.002,0.112,4.01102754913441e-84,"GNG12-AS1"
"LINC01001",4.932876339706e-128,-5.98772645007335,0.002,0.157,9.83615542137375e-124,"LINC01001"
"C9",4.68256544325536e-201,-5.91128996700412,0.005,0.248,9.33703549385118e-197,"C9"
"PSG1",9.22449254707301e-120,-5.74060510334311,0.001,0.143,1.83936381388636e-115,"PSG1"
"PSG9",1.4339853844811e-112,-5.61252339987139,0.001,0.135,2.85936685665532e-108,"PSG9"
"MMP1",9.37563700539916e-81,-5.55075948983667,0.001,0.1,1.86950201887659e-76,"MMP1"
"LINC01500",6.62093328715311e-88,-5.19523231035632,0.006,0.123,1.32021409745833e-83,"LINC01500"
"EEF1G",0,-5.15367440870402,0.023,0.463,0,"EEF1G"
"MEF2C-AS2",1.196132813637e-78,-4.90458835327825,0.003,0.104,2.38508883039218e-74,"MEF2C-AS2"
"CSH1",2.87888095391971e-281,-4.7291667617527,0.017,0.368,5.7404886221159e-277,"CSH1"
