"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"MKI67+ Proliferating","GSE290578","Normal 3rd trimester / Preeclampsia",3.95858574875419,-5.460063424025,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.13957320681985,6.08299163350063,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.59635614386971,0.269970621850071,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-1.39243089190896,-2.4425983094315,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.871418108858421,-2.04988357058567,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.693753609738992,-6.49041935435337,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.19296859733041,7.80990842350918,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.234065850891425,-0.0840900801758191,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-4.13156723014291,5.68287662037807,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-0.818469693579032,-2.34847947588963,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.619002590261147,-6.29235693446201,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.719345112957313,-0.373479392443123,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.85464118949349,7.94627765187222,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.419305255331351,-1.50974294177097,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.12108384601052,8.13613608845669,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.934900572218253,-2.64738008013767,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.89859687320168,6.73645404347378,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.472417195953681,-1.89308473101658,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.462009081922219,-5.01704880229038,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0609797441142341,-2.16757198802036,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.452794025026009,0.531599763717232,"Late"
