"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042773","ATP synthesis coupled electron transport",77,-0.550645298546812,-2.38309972902738,3.53934837861542e-09,8.35817119610031e-06,8.01941829996809e-06,2963,"tags=71%, list=32%, signal=49%","COX6B1/COX5B/NDUFAF1/NDUFV1/UQCRH/COA6/NDUFA8/NDUFS7/GHITM/NDUFS1/NDUFB3/NDUFA3/NDUFB1/NDUFA5/COX7C/NDUFA4/NDUFS6/DGUOK/CHCHD2/NDUFB7/NDUFB10/NDUFA9/NDUFB2/UQCR10/NDUFS3/NDUFV2/NDUFC2/COX7A2L/COX7A2/CYC1/NDUFB9/SDHB/COX5A/SDHC/NDUFC1/COX6A1/UQCRB/COX4I1/UQCRFS1/DNAJC15/UQCRC1/UQCRC2/NDUFS5/COX7B/SDHD/COX6C/BID/ISCU/SDHA/NDUFB6/NDUFB5/NDUFA7/CYCS/COX7A1/SNCA"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",77,-0.550645298546812,-2.38309972902738,3.53934837861542e-09,8.35817119610031e-06,8.01941829996809e-06,2963,"tags=71%, list=32%, signal=49%","COX6B1/COX5B/NDUFAF1/NDUFV1/UQCRH/COA6/NDUFA8/NDUFS7/GHITM/NDUFS1/NDUFB3/NDUFA3/NDUFB1/NDUFA5/COX7C/NDUFA4/NDUFS6/DGUOK/CHCHD2/NDUFB7/NDUFB10/NDUFA9/NDUFB2/UQCR10/NDUFS3/NDUFV2/NDUFC2/COX7A2L/COX7A2/CYC1/NDUFB9/SDHB/COX5A/SDHC/NDUFC1/COX6A1/UQCRB/COX4I1/UQCRFS1/DNAJC15/UQCRC1/UQCRC2/NDUFS5/COX7B/SDHD/COX6C/BID/ISCU/SDHA/NDUFB6/NDUFB5/NDUFA7/CYCS/COX7A1/SNCA"
"GO:0019646","aerobic electron transport chain",72,-0.518598651615807,-2.20981011870462,2.71694799060208e-07,0.000427738178653788,0.000410402143843578,2963,"tags=69%, list=32%, signal=48%","COX6B1/COX5B/NDUFAF1/NDUFV1/UQCRH/NDUFA8/NDUFS7/NDUFS1/NDUFB3/NDUFA3/NDUFB1/NDUFA5/COX7C/NDUFA4/NDUFS6/NDUFB7/NDUFB10/NDUFA9/NDUFB2/UQCR10/NDUFS3/NDUFV2/NDUFC2/COX7A2L/COX7A2/CYC1/NDUFB9/SDHB/COX5A/SDHC/NDUFC1/COX6A1/UQCRB/COX4I1/UQCRFS1/DNAJC15/UQCRC1/UQCRC2/NDUFS5/COX7B/SDHD/COX6C/ISCU/SDHA/NDUFB6/NDUFB5/NDUFA7/CYCS/COX7A1/SNCA"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",17,-0.81315180460363,-2.51859266702363,4.77940564591632e-07,0.000564328321641569,0.000541456350149204,31,"tags=35%, list=0%, signal=35%","ROMO1/CXCL8/CXCL1/CXCL14/CXCL3/CXCL2"
"GO:0019730","antimicrobial humoral response",24,-0.735522501513447,-2.49446078840376,1.30866420179841e-06,0.00107679955150624,0.00103315735298358,74,"tags=42%, list=1%, signal=41%","CCL13/LYZ/BCL3/ROMO1/SPON2/CXCL8/CXCL1/CXCL14/CXCL3/CXCL2"
"GO:0051056","regulation of small GTPase mediated signal transduction",192,0.498431454354826,1.74670618209909,1.3679435335671e-06,0.00107679955150624,0.00103315735298358,2626,"tags=46%, list=28%, signal=34%","AUTS2/RAP1GAP2/ARHGAP23/SIPA1L1/TIAM1/KANK1/ARHGAP8/TAGAP/ADGRG1/GARNL3/ARHGAP19/MET/RACGAP1/NET1/RASA4/SRGAP3/BCL6/TRIO/STK19/SPATA13/ARHGAP32/ARHGAP31/CYTH3/DENND1A/CBL/EPHB2/TIAM2/F2RL1/OPHN1/SCAI/ARHGAP25/ABR/DENND4C/LPAR2/SIPA1L3/ARHGAP22/RABGEF1/ITPKB/ABCA1/GIT1/RALGAPA2/FLCN/EPS8L1/ARHGAP27/ARHGEF1/RALGPS1/ARHGAP26/ARHGAP35/STARD13/NOTCH1/ITGAV/VAV3/ARFGAP1/VAV2/AMOT/ARHGAP6/CYTH1/SRGAP2/ARHGAP21/SIPA1L2/RASA3/ABL2/DNMBP/DENND3/FGD2/FGD5/SWAP70/MYO9A/MYO9B/DENND4A/DOCK2/CCDC125/SOS2/SOS1/ARRB1/FGD3/ITSN1/DOCK8/OGT/PLEKHG3/PSD3/ARHGEF2/NOTCH2/MAPKAP1/IQSEC1/SYDE1/DENND4B/NF1/ABL1"
"GO:0030593","neutrophil chemotaxis",53,-0.517476931358756,-2.12538480050888,7.66017980619405e-06,0.00516843274637921,0.00495895850611509,293,"tags=21%, list=3%, signal=20%","RAC2/C5AR1/LGALS3/MDK/CXCL8/CXCL1/IL1B/ITGA1/CXCL3/CXCL2/CCL21"
"GO:0006119","oxidative phosphorylation",99,-0.422174595275299,-1.91868677720734,9.80122598392788e-06,0.00578639879026142,0.00555187866589599,2963,"tags=69%, list=32%, signal=47%","COX6B1/COX5B/NDUFAF1/NDUFV1/UQCRH/COA6/NDUFA8/NDUFS7/GHITM/ATP7A/NDUFS1/STOML2/NDUFB3/NDUFA3/NDUFB1/NDUFA5/SHMT2/VCP/COX7C/NDUFA4/TEFM/NDUFS6/DGUOK/CHCHD2/NDUFB7/NDUFB10/NDUFA9/NDUFB2/UQCR10/NDUFS3/NDUFA13/NDUFV2/NDUFC2/NDUFA11/COX7A2L/COX7A2/CYC1/NDUFB9/SDHB/CHCHD10/COX5A/C2orf69/SDHC/NDUFC1/COX6A1/UQCRB/COX4I1/UQCRFS1/DNAJC15/UQCRC1/UQCRC2/UQCC2/NDUFS5/COX7B/SDHD/COX6C/NDUFB11/BID/ISCU/NUPR1/SDHA/NDUFB6/NDUFB5/NDUFA7/CYCS/PPIF/COX7A1/SNCA"
"GO:0015986","proton motive force-driven ATP synthesis",46,-0.545967423997935,-2.13519370975075,1.2144499362806e-05,0.00637316338783695,0.00611486195986897,2747,"tags=67%, list=30%, signal=48%","NDUFA8/NDUFS7/NDUFS1/STOML2/NDUFB3/NDUFA3/NDUFB1/NDUFA5/ATP6V0C/NDUFS6/NDUFB7/NDUFB10/NDUFA9/NDUFB2/NDUFS3/NDUFA13/NDUFV2/NDUFC2/ATP6V1A/NDUFA11/NDUFB9/SDHB/SDHC/NDUFC1/NDUFS5/SDHD/NDUFB11/SDHA/NDUFB6/NDUFB5/NDUFA7"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",43,-0.573865589279462,-2.22088756946112,1.4548969732482e-05,0.00687147840465123,0.00659298049456156,2747,"tags=67%, list=30%, signal=48%","NDUFA8/NDUFS7/NDUFS1/STOML2/NDUFB3/NDUFA3/NDUFB1/NDUFA5/NDUFS6/NDUFB7/NDUFB10/NDUFA9/NDUFB2/NDUFS3/NDUFA13/NDUFV2/NDUFC2/NDUFA11/NDUFB9/SDHB/SDHC/NDUFC1/NDUFS5/SDHD/NDUFB11/SDHA/NDUFB6/NDUFB5/NDUFA7"
