"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0009620","response to fungus",22,-0.75638028916511,-2.51570342149796,3.21778878158512e-06,0.00852829962360775,0.0074839495056361,481,"tags=27%, list=8%, signal=25%","CLEC4A/BCL10/IL17RA/SCIMP/S100A8/CX3CR1","Early_PE",6
"GO:0050832","defense response to fungus",14,-0.835222987922548,-2.45858168103065,4.2535160217495e-06,0.00852829962360775,0.0074839495056361,481,"tags=36%, list=8%, signal=33%","CLEC4A/BCL10/IL17RA/S100A8/CX3CR1","Early_PE",5
"GO:0016525","negative regulation of angiogenesis",41,0.712304834076259,2.0955903214353,2.03575925345897e-05,0.00907043845152273,0.00795969963077582,442,"tags=29%, list=7%, signal=27%","HLA-G/SEMA4A/FOXC1/SERPINE1/PLK2/COL4A2/TNF/ATP2B4/SPARC/PIK3CB/KLF4/PDE3B","Early_PE",12
"GO:1901343","negative regulation of vasculature development",41,0.712304834076259,2.0955903214353,2.03575925345897e-05,0.00907043845152273,0.00795969963077582,442,"tags=29%, list=7%, signal=27%","HLA-G/SEMA4A/FOXC1/SERPINE1/PLK2/COL4A2/TNF/ATP2B4/SPARC/PIK3CB/KLF4/PDE3B","Early_PE",12
"GO:2000181","negative regulation of blood vessel morphogenesis",41,0.712304834076259,2.0955903214353,2.03575925345897e-05,0.00907043845152273,0.00795969963077582,442,"tags=29%, list=7%, signal=27%","HLA-G/SEMA4A/FOXC1/SERPINE1/PLK2/COL4A2/TNF/ATP2B4/SPARC/PIK3CB/KLF4/PDE3B","Early_PE",12
"GO:0010721","negative regulation of cell development",106,0.56998258939765,1.89574611079409,1.59265206387671e-05,0.00907043845152273,0.00795969963077582,570,"tags=21%, list=9%, signal=19%","HLA-G/GPR68/BCL11A/SEMA4A/FSTL3/ASCL2/LILRB3/TNF/VEGFA/GSK3A/IRF1/DUSP10/TSC22D1/ZC3H12A/PROX1/TOB2/ZNF675/IFRD1/NOTCH1/PSEN1/CCL3/SEMA4B","Early_PE",22
"GO:0001568","blood vessel development",265,0.468538649695528,1.63495264508595,1.18708309507857e-05,0.00907043845152273,0.00795969963077582,780,"tags=26%, list=13%, signal=24%","HLA-G/SEMA4A/FLT1/ANTXR1/FOXC1/SERPINE1/PLK2/GPNMB/COL4A2/ADM/EGR2/EGR3/HPGD/CYP1B1/TNF/COL4A1/VEGFA/ATP2B4/COL1A2/ITGA5/PTK2/TIPARP/PTGS2/SPARC/ZC3H12A/IL18/PROX1/DAG1/PLPP3/EPHB3/GGNBP2/PIK3CB/JMJD6/TGFBR3/FN1/KLF4/PIK3R3/EGR1/NR4A1/TYMP/DDIT3/EPAS1/ZMIZ1/PDE3B/VAV2/PTK2B/FOXO1/NOTCH1/C5AR1/PSEN1/SOCS3/MYO1E/STARD13/HS6ST1/GAB1/SASH1/MMP14/MMP2/PKNOX1/HDAC5/VEZF1/ALOX5/RNH1/VAV3/CLIC4/ERAP1/ANXA1/ADIPOR2/GADD45A","Early_PE",69
"GO:0051093","negative regulation of developmental process",322,0.459761649257917,1.61519937798954,1.12407789127794e-05,0.00907043845152273,0.00795969963077582,780,"tags=20%, list=13%, signal=19%","HLA-G/GPR68/BCL11A/SEMA4A/LBH/FOXC1/SERPINE1/TRPM4/CTSK/PLK2/ID3/APP/COL4A2/FSTL3/CRIM1/CDKN1A/ASCL2/LILRB3/TNF/VEGFA/ATP2B4/GSK3A/IRF1/DUSP10/TSC22D1/SPARC/ZC3H12A/IL18/PROX1/PIK3CB/INSIG1/TOB1/NFATC1/KLF4/DDIT3/TOB2/ITPKB/PDE3B/PTK2B/ZNF675/IFRD1/PINK1/FOXO1/NOTCH1/TFRC/PSEN1/CCL3/NPHP3/LDB1/SEMA4B/VGLL4/ING1/CARM1/PPARD/BNIP3/HDAC5/ALOX5/VAT1/LIMD1/SLC4A2/FLCN/ANXA1/SAV1/RGS2/GADD45A","Early_PE",65
"GO:0072359","circulatory system development",396,0.443189083274556,1.5662819760495,8.57910164472805e-06,0.00907043845152273,0.00795969963077582,780,"tags=23%, list=13%, signal=21%","HLA-G/HTR2B/SEMA4A/FLT1/ANTXR1/FOXC1/SERPINE1/PLK2/ID3/ALPK3/GPNMB/COL4A2/LMNA/ADM/CASP7/CDKN1A/EGR2/EGR3/HPGD/CYP1B1/TNF/COL4A1/KDM6B/VEGFA/ATP2B4/COL1A2/ITGA5/GSK3A/PTK2/HEXIM1/TIPARP/PTGS2/SPARC/ZC3H12A/MAP2K3/IL18/PROX1/DAG1/PLPP3/EPHB3/GGNBP2/PIK3CB/JMJD6/TGFBR3/FN1/NFATC1/INSR/KLF4/PIK3R3/EGR1/NR4A1/TYMP/DDIT3/EPOR/EPAS1/ZMIZ1/PDE3B/VAV2/PTK2B/FOXO1/NOTCH1/C5AR1/PSEN1/NPHP3/SOCS3/MYO1E/STARD13/VGLL4/HS6ST1/GAB1/SASH1/MMP14/WDPCP/MMP2/PKNOX1/HDAC5/VEZF1/ALOX5/RNH1/DHX36/VAV3/MNAT1/SYNE1/CLIC4/ERAP1/ANXA1/ADIPOR2/SAV1/RGS2/GADD45A","Early_PE",90
"GO:0001944","vasculature development",279,0.460507816308274,1.61058473765533,3.25326762788179e-05,0.0120416356612419,0.0105670528981577,780,"tags=25%, list=13%, signal=23%","HLA-G/SEMA4A/FLT1/ANTXR1/FOXC1/SERPINE1/PLK2/GPNMB/COL4A2/ADM/EGR2/EGR3/HPGD/CYP1B1/TNF/COL4A1/VEGFA/ATP2B4/COL1A2/ITGA5/PTK2/TIPARP/PTGS2/SPARC/ZC3H12A/IL18/PROX1/DAG1/PLPP3/EPHB3/GGNBP2/PIK3CB/JMJD6/TGFBR3/FN1/NFATC1/KLF4/PIK3R3/EGR1/NR4A1/TYMP/DDIT3/EPAS1/ZMIZ1/PDE3B/VAV2/PTK2B/FOXO1/NOTCH1/C5AR1/PSEN1/SOCS3/MYO1E/STARD13/HS6ST1/GAB1/SASH1/MMP14/MMP2/PKNOX1/HDAC5/VEZF1/ALOX5/RNH1/VAV3/CLIC4/ERAP1/ANXA1/ADIPOR2/GADD45A","Early_PE",70
