"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.46943095736382,0.841,0.259,0,"0","EGFL7"
0,1.45120816893009,0.818,0.276,0,"0","FSCN1"
0,1.15368096193766,0.785,0.295,0,"0","C2"
0,0.955945025081417,0.964,0.499,0,"0","LYVE1"
0,0.916905585040976,0.919,0.458,0,"0","CD36"
0,0.910477403684862,0.799,0.339,0,"0","HCST"
0,0.747437201235323,0.901,0.441,0,"0","S100A9"
0,0.660458978952994,0.945,0.493,0,"0","AIF1"
0,0.929233833959306,0.805,0.36,0,"0","HSPE1"
0,1.01448615467044,0.828,0.384,0,"0","ATP1B1"
0,1.37825483965742,0.668,0.228,0,"0","TM2D2"
0,0.762061801006068,0.905,0.47,0,"0","NINJ1"
0,0.855677286070045,0.775,0.343,0,"0","UCP2"
0,0.947274178319877,0.727,0.301,0,"0","TMEM14C"
0,0.992482643111133,0.832,0.407,0,"0","CCL3"
0,0.783435446974414,0.784,0.36,0,"0","FKBP1A"
0,0.890726129608941,0.75,0.326,0,"0","RAB5C"
0,1.23850634876226,0.673,0.25,0,"0","NEU1"
0,1.26086082544135,0.656,0.235,0,"0","FABP5"
0,0.997909564961151,0.721,0.301,0,"0","SCN9A"
0,0.85141835907457,0.807,0.392,0,"0","HPGDS"
0,0.881966301300678,0.778,0.366,0,"0","NCF4"
0,0.998132789820724,0.686,0.277,0,"0","PPP1R18"
0,0.785135395396679,0.844,0.436,0,"0","NCOA4"
0,0.844658279519556,0.811,0.404,0,"0","XBP1"
0,0.761596835335088,0.869,0.467,0,"0","HSPA1A"
0,0.521658457132299,0.819,0.418,0,"0","RNASET2"
0,0.7163732664704,0.821,0.422,0,"0","TPP1"
0,0.657325206670899,0.826,0.428,0,"0","CYBB"
0,0.781275244553989,0.79,0.394,0,"0","HMOX1"
0,0.875324559232594,0.781,0.386,0,"0","PYGL"
0,0.634119883235209,0.874,0.48,0,"0","KCTD12"
0,0.626859036291058,0.804,0.411,0,"0","CALM3"
0,0.72255079476277,0.724,0.331,0,"0","PYCARD"
0,1.01782291004552,0.651,0.259,0,"0","DDAH2"
0,0.649386072293429,0.901,0.51,0,"0","BLVRB"
0,1.04032073327419,0.623,0.234,0,"0","ADI1"
0,0.991844170133385,0.656,0.267,0,"0","MRPL14"
0,0.712234961346478,0.75,0.361,0,"0","GMFG"
0,0.999930139737267,0.672,0.284,0,"0","CCR1"
0,0.566573930546197,0.796,0.41,0,"0","UQCR11"
0,1.43101479885948,0.561,0.175,0,"0","BHLHE41"
0,0.548727478378894,0.85,0.464,0,"0","GYPC"
0,0.637942123529595,0.789,0.405,0,"0","ATP6V1F"
0,0.676850167040026,0.802,0.419,0,"0","GPR34"
0,1.18836132630794,0.595,0.213,0,"0","CHCHD7"
0,0.659317567984046,0.889,0.509,0,"0","PMP22"
0,0.939712680583876,0.626,0.247,0,"0","GPSM3"
0,0.93220818450454,0.639,0.262,0,"0","BIN1"
0,0.892998967685187,0.744,0.367,0,"0","SOD2"
0,1.17759516370405,0.609,0.233,0,"0","FPR1"
0,1.09997617244679,0.624,0.248,0,"0","TLR4"
0,0.687679964364753,0.743,0.367,0,"0","NOP10"
0,2.02991626758908,0.468,0.093,0,"0","FEZ1"
0,0.557203754348355,0.774,0.399,0,"0","COX8A"
0,1.1304884756451,0.587,0.212,0,"0","TMIGD3"
0,0.752387060125859,0.698,0.324,0,"0","FCGR1A"
0,0.635152581485966,0.795,0.422,0,"0","AP2M1"
0,0.756544632978608,0.679,0.306,0,"0","IGSF6"
0,0.756040093400322,0.677,0.305,0,"0","NEDD8"
0,0.921125277367054,0.76,0.389,0,"0","CCL4"
0,0.836083685450152,0.664,0.294,0,"0","PGLS"
0,1.24889848459948,0.604,0.234,0,"0","CXCL8"
0,0.618367142028549,0.744,0.375,0,"0","CD59"
0,0.700255665508275,0.715,0.346,0,"0","TUBA1A"
0,0.554643891101934,0.745,0.376,0,"0","SLC25A5"
0,0.550473012460852,0.898,0.531,0,"0","HSPA8"
0,0.777641542976613,0.775,0.409,0,"0","KLF2"
0,0.795646781033152,0.663,0.297,0,"0","LST1"
0,0.860999224456184,0.674,0.308,0,"0","METRNL"
0,0.610137389415782,0.73,0.364,0,"0","EIF3K"
0,1.10521743353592,0.667,0.302,0,"0","ICAM1"
0,0.810910362841104,0.635,0.271,0,"0","BLOC1S1"
0,0.545686925496967,0.845,0.481,0,"0","MAFB"
0,0.515977831799607,0.848,0.484,0,"0","ATP6V0B"
0,0.576297243637523,0.787,0.424,0,"0","AP2S1"
0,0.846217365532401,0.63,0.267,0,"0","TMBIM4"
0,0.872912257196965,0.764,0.401,0,"0","HSPD1"
0,0.656006093088366,0.801,0.439,0,"0","ATP6AP2"
0,0.669427615277309,0.977,0.615,0,"0","PLTP"
0,1.35815742343165,0.542,0.181,0,"0","PCDH12"
0,0.676966521478048,0.733,0.372,0,"0","ATOX1"
0,0.759537662233824,0.713,0.353,0,"0","LAIR1"
0,0.780317322534604,0.658,0.299,0,"0","LAMTOR2"
0,0.527290823562597,0.891,0.532,0,"0","SNX3"
0,0.600913120306837,0.824,0.465,0,"0","LAP3"
0,1.17004188207568,0.56,0.202,0,"0","RAB3IL1"
0,0.843290737718117,0.67,0.312,0,"0","PEPD"
0,0.688718433314939,0.799,0.441,0,"0","DNAJA1"
0,0.623024730920335,0.799,0.442,0,"0","LY96"
0,0.66678197144944,0.68,0.324,0,"0","CHCHD10"
0,0.542967273123848,0.755,0.399,0,"0","LAMTOR4"
0,0.534557229143142,0.889,0.533,0,"0","MS4A4A"
0,0.627349507897983,0.803,0.448,0,"0","PLEK"
0,0.960235180620932,0.594,0.239,0,"0","DNPH1"
0,0.526795458518282,0.852,0.497,0,"0","CREG1"
0,0.981942358383568,0.594,0.239,0,"0","RAB32"
0,0.509522154834827,0.747,0.393,0,"0","IGFBP4"
0,0.514762430040975,0.816,0.462,0,"0","CD68"
0,0.745962807006368,0.645,0.292,0,"0","ARL6IP1"
0,0.576362843251002,0.824,0.471,0,"0","GADD45B"
0,0.688696281970857,0.686,0.334,0,"0","FUCA1"
0,0.566618683366431,0.717,0.365,0,"0","COX6A1"
0,0.70071504108523,0.683,0.332,0,"0","LAMTOR1"
0,0.911614870314127,0.61,0.26,0,"0","CORO1B"
0,0.807984525318582,0.603,0.253,0,"0","ARPC4"
0,0.686813910439434,0.629,0.279,0,"0","NDUFA3"
0,0.555061811546803,0.709,0.36,0,"0","AKR1B1"
0,0.99264612163387,0.592,0.243,0,"0","GLMP"
0,0.943075525496087,0.611,0.262,0,"0","RGS2"
0,0.764649615385649,0.734,0.386,0,"0","HSPA1B"
0,1.02192425389812,0.537,0.191,0,"0","CSNK2B"
0,0.732344656467431,0.755,0.409,0,"0","IER3"
0,0.891763455643723,0.596,0.25,0,"0","GTF3C6"
0,0.741549207611842,0.667,0.322,0,"0","GLIPR1"
0,1.16254037983027,0.535,0.19,0,"0","SCIN"
0,0.697458952028967,0.697,0.353,0,"0","C3AR1"
0,1.27211371699461,0.492,0.149,0,"0","ITM2C"
0,0.61657704614507,0.722,0.381,0,"0","CITED2"
0,0.632151616936798,0.654,0.314,0,"0","CORO1A"
0,0.706854754763489,0.666,0.326,0,"0","ATP6V0D1"
0,1.00344808248367,0.681,0.341,0,"0","HSPH1"
0,0.883020911314231,0.631,0.291,0,"0","PLA2G15"
0,0.623071367684109,0.616,0.276,0,"0","NDUFA13"
0,0.518799659263122,0.765,0.426,0,"0","PTMS"
0,0.757893299134954,0.655,0.316,0,"0","BLVRA"
0,0.824246430571212,0.564,0.225,0,"0","NDUFC2"
0,0.567007158104374,0.773,0.435,0,"0","LCP1"
0,0.925407544741994,0.62,0.282,0,"0","CCL2"
0,0.59595804410025,0.733,0.396,0,"0","RAP2B"
0,0.571087887843229,0.708,0.372,0,"0","EFHD2"
0,0.605326916840369,0.735,0.399,0,"0","TNFRSF1A"
0,0.843636308606291,0.587,0.251,0,"0","GATM"
0,0.680829795865041,0.668,0.333,0,"0","EIF3D"
0,0.784810254296592,0.653,0.318,0,"0","MCOLN1"
0,0.628887212179674,0.739,0.404,0,"0","CDV3"
0,0.548598397178609,0.856,0.522,0,"0","NFKBIA"
0,0.707764568455704,0.68,0.347,0,"0","M6PR"
0,0.652750312182379,0.678,0.345,0,"0","CNDP2"
0,0.643268792765386,0.631,0.298,0,"0","C4orf48"
0,1.18001655009285,0.504,0.171,0,"0","LYL1"
0,0.849168889849592,0.542,0.212,0,"0","NDUFB8"
0,0.842216496733651,0.608,0.279,0,"0","NCF2"
0,0.763238202224158,0.71,0.381,0,"0","DNAJB1"
0,0.775558738780564,0.538,0.21,0,"0","WDR83OS"
0,0.582449368195483,0.654,0.326,0,"0","GRINA"
0,0.678644526728685,0.744,0.416,0,"0","BTG2"
0,0.618654634325846,0.823,0.495,0,"0","HSPA5"
0,0.776802345941003,0.592,0.265,0,"0","STMN1"
0,0.95822150336119,0.549,0.223,0,"0","CCND1"
0,0.901658924009633,0.568,0.242,0,"0","ABRACL"
0,0.550854268899141,0.724,0.399,0,"0","AKR1A1"
0,0.545244924397094,0.692,0.367,0,"0","DPP7"
0,0.674856706182906,0.674,0.35,0,"0","MGST2"
0,0.798357155319863,0.616,0.292,0,"0","GCA"
0,0.708386406708555,0.634,0.31,0,"0","MDH1"
0,0.573529539842463,0.637,0.314,0,"0","FIS1"
0,0.568082377684473,0.642,0.319,0,"0","VPS28"
0,2.1988395047606,0.393,0.07,0,"0","GAPLINC"
0,0.567152674338594,0.641,0.318,0,"0","PSMB3"
0,0.615889539464262,0.595,0.272,0,"0","NDUFA11"
0,1.29222642834904,0.472,0.149,0,"0","TMEM256"
0,0.867092610606671,0.576,0.254,0,"0","WAS"
0,0.538835951681025,0.919,0.598,0,"0","CSF1R"
0,0.52969903585822,0.716,0.395,0,"0","ARRB2"
0,0.570678678785754,0.643,0.323,0,"0","HEXA"
0,0.518799153991999,0.665,0.346,0,"0","RNH1"
0,0.514519006801889,0.67,0.351,0,"0","BRK1"
0,1.52054997449765,0.457,0.138,0,"0","BCL2A1"
0,1.40043293431518,0.49,0.171,0,"0","HBEGF"
0,0.656934005221727,0.604,0.286,0,"0","PTPN6"
0,0.700185536003915,0.62,0.302,0,"0","CAT"
0,0.533451926963584,0.71,0.392,0,"0","TRAM1"
0,0.547274111443076,0.659,0.342,0,"0","HSBP1"
0,0.600934538765156,0.658,0.341,0,"0","EIF4A1"
0,2.14623509640727,0.394,0.078,0,"0","METTL7B"
0,0.594245772088923,0.625,0.309,0,"0","NDUFB1"
