"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.60162742906337e-138,2.43878041195186,0.98,0.318,8.50932944182397e-134,"0","FGF13"
2.17239655435465e-137,2.57548414105487,0.961,0.216,4.01719570831261e-133,"0","DENND1A"
3.68651969514292e-135,2.65302195909599,0.963,0.209,6.81711222025829e-131,"0","DOCK4"
9.19576714251835e-128,3.94943267820759,0.859,0.059,1.70048125999449e-123,"0","RAD51B"
6.39602876459813e-126,2.55554435018831,0.949,0.209,1.18275363914949e-121,"0","PSD3"
1.65666696830108e-124,3.03994267684407,0.863,0.124,3.06350855778236e-120,"0","FHIT"
2.94153506296301e-122,1.97818283224648,0.985,0.303,5.43948663843119e-118,"0","ZFAND3"
1.19075584557103e-120,2.98661659356278,0.895,0.13,2.20194570962994e-116,"0","MAGI1"
4.14251765564615e-119,2.42998920424905,0.917,0.214,7.66034364882085e-115,"0","PRKCA"
5.25532238706097e-116,1.74080314895064,0.992,0.391,9.71814215815315e-112,"0","TCF12"
8.2635147526871e-116,1.58619226681398,0.999,0.554,1.5280891480669e-111,"0","SLC9A9"
1.95599537228533e-114,1.87746875948173,0.987,0.356,3.61702664243003e-110,"0","RABGAP1L"
2.53385362241821e-113,1.79880339365645,0.989,0.362,4.68560211857575e-109,"0","ZSWIM6"
6.0001683003782e-111,2.00663781648663,0.978,0.311,1.10955112210594e-106,"0","MAML2"
1.13096635418922e-109,1.76538321353527,0.975,0.358,2.0913829821667e-105,"0","ARHGAP26"
1.01366449662749e-108,2.3256845887259,0.915,0.207,1.87446838716355e-104,"0","SYT1"
3.70418399896775e-105,2.01185963431003,0.972,0.313,6.84977705089116e-101,"0","ATP8B4"
3.82965272794304e-99,1.52792215374084,0.986,0.421,7.08179382451227e-95,"0","WDFY3"
1.33233116063451e-97,1.50307938640863,0.997,0.479,2.46374678224533e-93,"0","FCHSD2"
5.20910744213074e-97,2.12496235075352,0.922,0.222,9.63268148198816e-93,"0","DISP1"
2.81556734437677e-92,1.30311687329496,0.984,0.507,5.20654713322151e-88,"0","SPRED1"
4.85423100241809e-92,2.72520277475848,0.737,0.109,8.97644396967153e-88,"0","RNF150"
1.95282537863204e-87,1.87404393164541,0.884,0.255,3.61116469016636e-83,"0","SLC8A1"
1.19857566107326e-85,3.82907239264065,0.577,0.037,2.21640611245667e-81,"0","NPAS3"
1.87738546507962e-85,3.40780851050072,0.615,0.052,3.47166120202523e-81,"0","SIPA1L1"
2.59472713561767e-85,1.60660247850476,0.964,0.351,4.79816941918419e-81,"0","CD163L1"
3.00193084575044e-85,2.58159154329153,0.742,0.116,5.55117051996172e-81,"0","NCKAP5"
6.85598796713351e-85,1.78941743823814,0.919,0.263,1.26780929488233e-80,"0","PDE4B"
5.69322423212734e-83,2.1971118330236,0.802,0.211,1.05279102500499e-78,"0","NAV2"
8.54250980304445e-79,4.12170655471957,0.563,0.028,1.57968091277898e-74,"0","TEX14"
8.12938704544528e-73,0.879731975973802,1,0.808,1.50328625244374e-68,"0","RBPJ"
1.04048057819405e-70,2.23272419964648,0.697,0.15,1.92405668519644e-66,"0","SLC16A10"
3.7100257152488e-69,0.923202737047624,0.997,0.598,6.86057955263808e-65,"0","ITPR2"
5.00153055237813e-68,4.36003789592342,0.535,0.026,9.24883029745764e-64,"0","FBXL7"
8.16519308931079e-68,2.02544855211109,0.705,0.163,1.50990750607535e-63,"0","DPYD"
1.15680620170365e-64,3.07919241267072,0.549,0.068,2.13916602819038e-60,"0","UNC5C"
3.7418955728769e-64,2.27082851104692,0.672,0.134,6.91951329336396e-60,"0","ATRNL1"
