"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VNN2",8.37343296220916e-199,-3.29006026060042,0.052,0.353,1.54841522337172e-194
"FCGR3A",3.69520915185366e-135,-1.3369120029891,0.345,0.706,6.83318076360779e-131
"PRG2",1.11399828797563e-110,1.28897910005266,0.707,0.307,2.06000563412454e-106
"CX3CR1",2.32269297791298e-109,-3.42790873781141,0.016,0.163,4.29512385475669e-105
"NUPR1",4.02168251319914e-98,1.83736251627271,0.455,0.106,7.43689530340784e-94
"CD36",8.3933082542368e-87,-0.708960175858361,0.735,0.86,1.55209056237347e-82
"CSH1",4.16051403544868e-73,1.84256700660853,0.407,0.122,7.69362255435169e-69
"FLT1",1.845351359972e-68,1.83852392986472,0.375,0.102,3.41242373486021e-64
"GPNMB",7.34885537293999e-68,1.31210873752464,0.475,0.187,1.35895033556406e-63
"CPVL",6.41351865166355e-65,-0.748022751521932,0.622,0.768,1.18598786906562e-60
"SERPINE2",1.41888478557582e-64,1.20515659781112,0.507,0.216,2.6238017454868e-60
"IFI27",9.53364717669229e-63,2.35552340596714,0.321,0.078,1.76296203591394e-58
"AOC1",3.5683930048519e-62,1.57740629661938,0.385,0.123,6.59867234457213e-58
"LMNA",2.13505383361635e-60,1.27604649003447,0.45,0.186,3.94814154912335e-56
"NNMT",5.78026873343748e-58,1.32230951717167,0.402,0.138,1.06888729418726e-53
"CASK",9.03412115755543e-57,1.65454361460561,0.357,0.113,1.67058968445515e-52
"NOTUM",3.39634841605963e-56,1.8865980638405,0.318,0.083,6.28052749097747e-52
"PALLD",6.83203415990449e-55,1.91718947674209,0.314,0.088,1.26337975684954e-50
"SLC2A3",1.94388260140022e-54,0.901573434701897,0.512,0.266,3.59462770650928e-50
"TIMP3",4.36673172520846e-54,0.97415587324566,0.538,0.27,8.07496030625548e-50
"DKK2",7.32553937367115e-54,1.83625151219319,0.332,0.104,1.35463874097927e-49
"SH2D4A",1.53685134980741e-51,2.34839772323088,0.259,0.052,2.84194551606387e-47
"CDKN1A",1.60461837317545e-51,1.13389905502855,0.433,0.189,2.96726029567604e-47
"AEBP1",3.48381792511088e-51,3.01933210413273,0.213,0.024,6.44227610711504e-47
"PAPPA",8.2795225900468e-51,2.44135562074181,0.254,0.051,1.53104931735145e-46
"MS4A7",2.21807542824418e-50,-0.591398137405743,0.673,0.795,4.10166508190913e-46
"PAPPA2",1.03224516427256e-48,2.31694792012938,0.254,0.056,1.90882775777281e-44
"FN1",3.72826618772845e-48,0.599557738537555,0.743,0.464,6.89430983434745e-44
"SEMA4A",2.64872814300298e-46,1.9988370172468,0.268,0.069,4.8980280820411e-42
"EGR1",4.57021230093337e-46,0.561732167663833,0.716,0.506,8.45123658688598e-42
"FXYD6",1.32464776980972e-44,1.25625206699796,0.329,0.114,2.44953865593214e-40
