"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGFBP1",0,-3.24132563845583,0.068,0.626,0
"XIST",0,-6.18305731696232,0.007,0.438,0
"FTL",2.35352564794446e-291,-0.904317858711179,1,0.998,4.3521396281789e-287
"EGR1",1.62275028679094e-262,1.99984822937386,0.716,0.296,3.00078983033381e-258
"JUN",3.39625871851869e-226,1.28191439976831,0.798,0.505,6.28036162228476e-222
"B2M",3.5741315209427e-221,-0.713088829414847,0.978,0.987,6.60928400852724e-217
"TMSB4X",9.68953881034557e-216,-0.756584933715385,0.999,0.99,1.7917895168091e-211
"RPS4Y1",5.81148117850709e-209,2.21129063166301,0.619,0.155,1.07465909952953e-204
"FOSB",9.22072771668552e-209,1.8758790314208,0.659,0.314,1.70509696936949e-204
"MALAT1",8.082252812551e-203,-0.909958778840341,0.68,0.808,1.49457019009693e-198
"LINC00486",4.47390090277568e-202,-11.4726679937684,0,0.177,8.27313754941279e-198
"DNAJB1",2.65700456175023e-199,1.57595222580774,0.689,0.4,4.91333283558852e-195
"CXCL8",6.26747661456559e-193,2.30570820490328,0.561,0.159,1.15898177556547e-188
"F13A1",6.98587334997746e-180,-0.584145786736145,0.993,0.965,1.29182769987783e-175
"CX3CR1",9.89305031553219e-177,-3.49237819092948,0.016,0.214,1.82942286434821e-172
"CD83",3.34783976746662e-173,2.10400137607902,0.551,0.187,6.19082529799928e-169
"RNASE1",1.62449199137709e-165,-0.626330338118323,0.986,0.974,3.00401059045452e-161
"IER2",2.34621373643772e-164,1.1095139703292,0.758,0.533,4.33861844142062e-160
"TPT1",1.12769950398996e-160,-0.640008068346622,0.999,0.995,2.08534192277823e-156
"DUSP2",3.03656446604168e-150,4.18356352805436,0.361,0.031,5.61521501060428e-146
"KLF4",1.06971940301977e-147,1.56503167178705,0.597,0.309,1.97812512006416e-143
"CRYAB",3.13967475086729e-147,-2.51698181183066,0.038,0.25,5.80588654930378e-143
"RPS20",2.2478764424669e-145,0.766819386198372,0.906,0.713,4.15677311740979e-141
"NEAT1",2.11448537871705e-144,-0.904235284830521,0.479,0.716,3.91010636232358e-140
"NFKBIA",2.96021558240019e-143,0.993532695365121,0.738,0.536,5.47403065497443e-139
"ATF3",1.19900073238658e-141,2.21713669593997,0.46,0.128,2.21719215432926e-137
"PMAIP1",3.53846569651385e-139,2.21174519452505,0.45,0.116,6.54333076599342e-135
"PPP1R15A",8.21686970518844e-137,1.46115059492557,0.6,0.337,1.51946354588345e-132
"DAB2",4.52516082376026e-136,-0.473831974025739,0.99,0.975,8.36792739529746e-132
"KLF2",9.94397436876997e-134,1.0855712704839,0.715,0.527,1.83883974027294e-129
"MSR1",3.88795925091354e-133,-1.3557096096613,0.139,0.431,7.18961424678932e-129
"LINC01605",1.33863145265977e-129,-8.78118936678938,0.001,0.117,2.47539728225844e-125
"NFKBIZ",1.79197302994413e-129,1.7375199624716,0.545,0.267,3.31371652697268e-125
"C3",1.20936341992494e-128,-3.12789924064116,0.022,0.188,2.2363548361252e-124
"JUNB",1.72718321607557e-128,0.790767086449922,0.802,0.609,3.19390720316695e-124
"NR4A2",9.22680703095325e-127,1.77229177615647,0.515,0.208,1.70622115616387e-122
"C1QA",2.32351168902685e-126,-0.538655921224741,0.991,0.972,4.29663781534845e-122
"BAG3",2.39703711147681e-126,2.6069017742214,0.422,0.125,4.43260102654292e-122
"FCGR3A",3.20785624717157e-123,-1.04506634700571,0.345,0.656,5.93196777226967e-119
"FTH1",2.75960151235228e-122,-0.554011745687584,0.998,0.993,5.10305511664184e-118
"CDKN1A",3.45861991624653e-121,2.2998890093296,0.433,0.136,6.39567994912308e-117
"PEG10",7.26746520126552e-119,-2.3168563978763,0.072,0.289,1.34389966501802e-114
"DNAJA1",4.9076770278251e-118,0.809333276524665,0.714,0.544,9.07527635985417e-114
"ACTB",7.85613639705787e-117,-0.476437370238529,0.991,0.977,1.45275674254394e-112
"ZFAND2A",1.21696610919333e-116,2.5773834449759,0.381,0.095,2.2504137291203e-112
"FN1",1.83034702203543e-115,1.0335014146996,0.743,0.494,3.38467771314792e-111
"SERTAD1",2.28368344452485e-114,2.11698705009096,0.405,0.117,4.22298742561535e-110
"NR4A1",2.58120454824966e-114,1.86289648938964,0.465,0.178,4.77316345062327e-110
"LENG8",3.8561272669801e-114,-1.4745227071961,0.132,0.393,7.13075054209959e-110
"SERPINE2",5.28145927966657e-113,1.92779902027988,0.507,0.214,9.76647449995942e-109
"TNFSF9",6.29039610232592e-112,2.99892366654544,0.339,0.064,1.16322004724211e-107
"CSRNP1",2.94661345299023e-111,2.38325850250124,0.405,0.126,5.44887759726954e-107
"DNAJA4",3.10784853113765e-110,2.28983803313895,0.404,0.132,5.74703350377974e-106
"SEMA4A",1.11210605544312e-108,4.9650068555346,0.268,0.016,2.05650651772542e-104
"IGFBP7",2.17880395951147e-106,-2.64614420467327,0.03,0.189,4.02904428192861e-102
"C1QB",9.74983933107667e-106,-0.527774413531115,0.955,0.954,1.8029402891027e-101
"RPS18",8.291869296122e-105,-0.693790589711473,0.755,0.944,1.53333247023888e-100
"GPR141",5.75353196979661e-100,-4.0929659556218,0.007,0.116,1.06394313185479e-95
"RBP1",1.28422604553973e-99,-2.36213153878279,0.035,0.193,2.37479080341207e-95
"HLA-DRA",6.83429417509272e-99,-1.17591051736372,0.269,0.538,1.26379767885815e-94
"C11orf96",3.74897485234015e-98,-2.93420063458349,0.013,0.134,6.9326042969474e-94
"HSPH1",1.06004502960991e-97,1.14147418891006,0.597,0.427,1.96023526875465e-93
