"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",6.09711124801442e-139,5.52219928034585,0.54,0.011,1.12747781198283e-134
"RPS4Y1",1.2974355020508e-124,-2.3110460763712,0.127,0.656,2.39921773039234e-120
"RPL13A",4.43126433435618e-47,-0.338985617369236,0.913,0.956,8.19429400709145e-43
"HSD11B1",1.10445430487207e-39,-2.21528634420288,0.095,0.326,2.04235690056944e-35
"USP9Y",2.36806408603389e-39,-2.33457692063791,0.057,0.269,4.37902410789387e-35
"LAIR2",1.39319833478712e-38,6.62892959596177,0.184,0.006,2.57630236068834e-34
"DCN",4.28558943297061e-38,-0.845558430476855,0.532,0.763,7.92491197944925e-34
"PARP14",3.58011903360923e-36,0.893469974387766,0.692,0.474,6.62035611695019e-32
"RPL7",3.6904670099514e-35,-0.491227859217866,0.783,0.881,6.82441159480213e-31
"RPS20",7.23496216472481e-35,-0.601505886993636,0.745,0.844,1.33788920350091e-30
"LUM",7.97009283781263e-33,-0.992327863389299,0.43,0.644,1.47382956756831e-28
"IFI44L",1.7779521620085e-31,1.44778544927512,0.397,0.156,3.28778913798612e-27
"RNF145",4.11349364869894e-31,0.863563111758496,0.63,0.418,7.60667245517408e-27
"HLA-C",1.46372657332057e-30,-0.427136719295883,0.793,0.832,2.7067231793844e-26
"LGALS1",2.87118710151519e-30,-0.981411302256046,0.361,0.602,5.30939918812189e-26
"LGMN",1.21310785153869e-29,-0.272141409129205,0.863,0.912,2.24327903906534e-25
"NPC2",6.97207828989507e-29,-0.227289198977311,0.922,0.969,1.2892767173674e-24
"DKK1",1.70958372706546e-28,-1.31783902088781,0.158,0.371,3.16136222808945e-24
"RPS11",3.7955311259409e-28,-0.315801297552022,0.889,0.933,7.01869615808992e-24
"RPL37A",2.39790935056317e-27,-0.185085847194966,0.952,0.968,4.43421397106141e-23
"UBA52",7.21983270806332e-27,-0.24438887064989,0.909,0.955,1.33509146437507e-22
"NINJ1",1.08045202233358e-26,-0.304835227999229,0.85,0.887,1.99797187969926e-22
"CRIP1",2.23369637245872e-26,-1.58963156046583,0.101,0.283,4.13055133195067e-22
"RPL23A",6.38083179642146e-26,-0.25510615991628,0.905,0.951,1.17994341579426e-21
"ACTB",1.5689485272696e-25,-0.143476902657609,0.977,0.991,2.90129961662694e-21
"S100A6",3.48949331716555e-25,-0.753699814425572,0.541,0.716,6.45277104210254e-21
"PRG2",7.24195970093447e-25,-0.655028739726228,0.571,0.738,1.3391831878968e-20
"PLTP",7.79042405534053e-25,-0.208695734740487,0.942,0.98,1.44060521631357e-20
"EEF1A1",1.96418723416699e-24,-0.11866638215022,0.991,0.998,3.63217503342159e-20
"RNF213",3.46726478389693e-24,0.555817004898798,0.732,0.594,6.41166603838221e-20
"RPL9",7.77074779901796e-24,-0.213438038776512,0.935,0.959,1.4369666829944e-19
"PRL",8.20306763365242e-24,-1.53688185652216,0.101,0.271,1.51691126681501e-19
"CST3",9.81425054334539e-24,-0.195285873224462,0.933,0.973,1.81485121047543e-19
"RPS13",1.00657167719848e-23,-0.249119596172555,0.923,0.954,1.86135234547543e-19
"RPL34",1.40469004332213e-23,-0.164326344071711,0.951,0.981,2.59755282811128e-19
"RPS16",1.90995004914662e-23,-0.234903628700431,0.908,0.936,3.53187963088193e-19
"RPS3A",2.10758557084127e-23,-0.192536611049208,0.947,0.965,3.89734723759969e-19
"RPL28",2.97534844034289e-23,-0.175887783590571,0.953,0.979,5.50201433588208e-19
"RPL21",1.132758299043e-22,-0.194402801928188,0.944,0.968,2.09469664659031e-18
"TMEM163",1.47064959124254e-22,1.56423446697897,0.268,0.101,2.71952522412571e-18
"BHLHE41",2.80673350274625e-22,0.735945472155251,0.604,0.414,5.19021159327836e-18
"RPLP0",4.10997865968406e-22,-0.34073831448633,0.818,0.895,7.60017253748776e-18
"CREM",1.58003272404037e-21,-0.897055322577366,0.459,0.6,2.92179651329546e-17
"XAF1",3.89749200441962e-21,1.03103297846734,0.397,0.207,7.20724221457276e-17
"MX1",4.54969487462798e-21,1.26966837706669,0.377,0.193,8.41329576216207e-17
"COL1A2",6.06632145989233e-21,0.978758692183712,0.289,0.118,1.12178416436329e-16
"KDM5D",6.5403581109126e-21,-1.85590382462329,0.041,0.169,1.20944302186996e-16
"EPSTI1",1.08372556031742e-20,1.08821578833532,0.375,0.187,2.00402530613897e-16
"RPS27A",1.46116652920465e-20,-0.143498077783716,0.955,0.976,2.70198914580523e-16
"AUTS2",8.06966633138477e-20,2.39116159169605,0.178,0.048,1.49224269799967e-15
"THBD",9.03346846379501e-20,-1.46688377039754,0.134,0.288,1.67046898832497e-15
"RPLP2",1.03704252129177e-19,-0.174031459248062,0.923,0.955,1.91769903037274e-15
"FOLR2",1.11485793246434e-19,-0.214861287472802,0.878,0.91,2.06159528871307e-15
"RPS2",1.18407201663539e-19,-0.182871998811469,0.929,0.959,2.18958597316216e-15
"RBP1",1.22775646189709e-19,-1.08106223341881,0.205,0.377,2.2703672493401e-15
"B2M",2.53748956566698e-19,-0.130409846715636,0.985,0.999,4.69232570483138e-15
"MYL12A",2.97888645885742e-19,-0.349373332820124,0.741,0.824,5.50855683971914e-15
"TIMP3",4.62522682365058e-19,-0.542772264093971,0.65,0.769,8.55296944229465e-15
"UCP2",6.20106121269233e-19,-0.429261184818497,0.632,0.72,1.14670023945106e-14
"PFDN5",7.33008913242895e-19,-0.189735697448495,0.902,0.932,1.35548008236876e-14
"RPL41",9.41924651561367e-19,-0.118948870953898,0.985,0.999,1.74180706566728e-14
"IGFBP3",1.23243006086188e-18,-0.923807476229808,0.338,0.507,2.27900966854579e-14
"RPS6",2.11916422735548e-18,-0.154017924698088,0.951,0.965,3.91875848922575e-14
"RPL35",2.67462695803084e-18,-0.148428442030985,0.931,0.959,4.94592017079062e-14
"IGKC",3.27087665756225e-18,8.31044101974518,0.081,0,6.04850511516411e-14
"TXNIP",3.88178987653756e-18,-0.356653000927313,0.808,0.86,7.17820583969325e-14
"OAS2",4.20497259753758e-18,1.23212045612937,0.27,0.114,7.77583532736649e-14
"OAZ1",8.34237417758285e-18,-0.107250508975882,0.933,0.943,1.54267183291862e-13
"EIF1",8.96080607211266e-18,-0.101805137931774,0.941,0.957,1.65703225885507e-13
"MX2",9.45591346664483e-18,1.35500577025344,0.289,0.132,1.74858751825196e-13
"AAK1",1.53658960799626e-17,0.595650775472534,0.632,0.496,2.84146150310669e-13
"BAZ2B",1.99497345331833e-17,0.696707333832075,0.514,0.342,3.68910490987626e-13
"CD63",2.21286267070987e-17,-0.142488825042293,0.937,0.961,4.09202565067669e-13
"RPL32",2.6293882857527e-17,-0.139703275392748,0.963,0.988,4.8622648180139e-13
"CX3CR1",2.64289082379021e-17,1.23889270239606,0.271,0.12,4.88723371135285e-13
"LAP3",2.78938869956539e-17,-0.32898467557794,0.8,0.85,5.15813758323631e-13
"RSAD2",3.73002613120197e-17,1.2358801226238,0.311,0.156,6.89756432181868e-13
"CXCL8",3.78038581837684e-17,-1.53279922628847,0.166,0.312,6.99068945534246e-13
"COX6C",5.42915178119579e-17,-0.310701416336956,0.782,0.844,1.00395874737873e-12
"FTH1",6.09954927174848e-17,-0.0867066567323542,0.995,1,1.12792865133173e-12
"TMEM70",1.07753200996426e-16,-0.959504073238391,0.348,0.479,1.9925721928259e-12
"PEG10",1.13936506383653e-16,1.50868240347453,0.302,0.15,2.10691387604651e-12
"RPS23",1.1438476020018e-16,-0.0836670001737265,0.969,0.982,2.11520298562172e-12
"LGALS3",1.32806793097893e-16,-0.825023042820915,0.33,0.499,2.45586321796624e-12
"RPL27A",1.33647440574619e-16,-0.121929308793951,0.952,0.962,2.47140847110585e-12
"IGFBP1",1.45321805087533e-16,-0.36311151861393,0.715,0.838,2.68729081967865e-12
"AGR2",1.76982223448695e-16,3.37965005851112,0.099,0.011,3.27275527601328e-12
"LINC01605",1.77600527474279e-16,7.36388920212362,0.073,0,3.28418895405436e-12
"EEF1G",1.82399613223701e-16,-0.194482086212193,0.868,0.891,3.37293364773268e-12
"ACTG1",2.3408888786807e-16,-0.178298629827963,0.893,0.917,4.32877171445635e-12
"CALM2",2.34904975073901e-16,-0.130037089588651,0.91,0.92,4.34386279906658e-12
"CDC42",2.39127894788693e-16,-0.289193374196984,0.786,0.825,4.4219530304325e-12
"RPL26",2.4273726357169e-16,-0.135479614116759,0.951,0.973,4.48869747796768e-12
"RPS24",2.77582177572082e-16,-0.0963998796325551,0.972,0.976,5.13304962766293e-12
"UNC5C",3.00666081178118e-16,1.64825462713481,0.191,0.067,5.55991717314575e-12
"RPS9",3.35057542006268e-16,-0.158102249632318,0.924,0.945,6.19588406677991e-12
"TMSB4X",3.87784207850527e-16,-0.0902939791582602,0.989,1,7.17090557157195e-12
"ABCA1",4.77977583656454e-16,0.556851862671325,0.668,0.501,8.83876147697515e-12
"NPC1",5.3020601061519e-16,0.811136552231581,0.422,0.262,9.80456954829609e-12
"RPL17",5.31841579133977e-16,-0.148251652532879,0.928,0.956,9.8348144813455e-12
"HBEGF",5.76169559633047e-16,-1.18596604634619,0.304,0.429,1.06545274967343e-11
"MANF",6.69497989144147e-16,-0.964265356284046,0.304,0.448,1.23803568152536e-11
"LYVE1",7.03261126973493e-16,-0.178177885800358,0.894,0.928,1.30047047599938e-11
"TMEM131",7.70732935257828e-16,0.722062877291138,0.488,0.335,1.42523934387877e-11
"COX4I1",8.16993657560357e-16,-0.238054065069012,0.804,0.839,1.51078467156061e-11
"RPL38",1.06300403304732e-15,-0.160665133258356,0.914,0.95,1.9657070579111e-11
"FCGRT",1.1180720046948e-15,-0.146851587919572,0.923,0.954,2.06753875108163e-11
"MYL6",1.15802931205436e-15,-0.146204295633499,0.923,0.95,2.14142780385092e-11
"RPL23",1.2228218464422e-15,-0.246983704299809,0.844,0.875,2.26124215844091e-11
"RPL10",1.41879120942131e-15,-0.0985899151062766,0.979,0.99,2.62362870446189e-11
"RPS25",1.49226836440174e-15,-0.14511623611007,0.929,0.943,2.7595026594517e-11
"ITM2B",1.70407659079233e-15,-0.12313548925069,0.952,0.978,3.15117843169317e-11
"NIN",1.74457030944594e-15,0.853039309494724,0.432,0.272,3.22605941622743e-11
"RPL3",2.40876671652591e-15,-0.0963913388149829,0.934,0.951,4.45429141219971e-11
"ARL17B",2.46584318629759e-15,1.73667677112148,0.144,0.038,4.5598372201015e-11
"CD36",2.64853068200198e-15,0.334627513918946,0.846,0.784,4.89766293715805e-11
"RPS12",3.1163739684148e-15,-0.0856334907307055,0.981,0.987,5.76279874239264e-11
