"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC00486",0,2.52885952483968,1,0.172,0
"ATP6V0C",0,2.55235470360986,0.996,0.182,0
"RPS10",0,-11.9655422032882,0,0.759,0
"HNRNPA1",0,-11.9477809221859,0,0.756,0
"EEF1G",0,2.12393623543532,0.963,0.228,0
"RNASEK",0,2.08465834012001,0.993,0.262,0
"TRAPPC5",0,2.11260254724263,0.951,0.223,0
"VPS13B",0,2.02805455488876,0.947,0.228,0
"PDE4B",0,2.05312657234111,0.956,0.239,0
"DOCK4",0,2.14750169248926,0.988,0.273,0
"TMEM117",0,2.1416563216989,0.913,0.212,0
"NME2",0,2.00850064214815,0.939,0.247,0
"SLC16A10",0,2.18156795478268,0.908,0.228,0
"DISP1",0,2.06259287706244,0.908,0.233,0
"PSD3",0,1.93684664587137,0.96,0.286,0
"RAD51B",0,2.12811212088803,0.883,0.21,0
"UBE2V1",0,2.02982532449984,0.866,0.195,0
"FMN1",0,1.84701607612934,0.963,0.293,0
"AMBRA1",0,2.28631685030961,0.844,0.175,0
"ME1",0,2.33686524091717,0.837,0.168,0
"SIK3",0,1.97835605197377,0.873,0.209,0
"SLC8A1",0,1.89962510387809,0.944,0.28,0
"ANKHD1",0,1.79044816486424,0.904,0.241,0
"MAGI1",0,2.1015721217873,0.871,0.209,0
"FTX",0,1.75502318983538,0.933,0.274,0
"PTPRM",0,1.8042619508171,0.93,0.274,0
"GAB2",0,1.7435020645099,0.946,0.29,0
"CD163L1",0,1.8913569728079,0.966,0.31,0
"SBF2",0,1.76006307236714,0.976,0.32,0
"IFI30",0,1.87661924142805,0.918,0.263,0
"ETV6",0,1.81066675327288,0.928,0.273,0
"CDKAL1",0,2.00509202864992,0.863,0.21,0
"EEPD1",0,1.92113257764543,0.855,0.203,0
"COG5",0,1.84301077169602,0.887,0.246,0
"TEC",0,1.91061690828023,0.845,0.206,0
"MGAT5",0,1.76498070796178,0.974,0.335,0
"DENND1A",0,1.79111377621976,0.987,0.35,0
"SYT1",0,1.77447176589009,0.949,0.314,0
"DLEU2",0,1.95491832239363,0.853,0.218,0
"DHFR",0,1.81038321880718,0.971,0.336,0
"GTDC1",0,1.97651118785072,0.857,0.223,0
"MAML2",0,1.76431359744507,0.986,0.353,0
"EXOC4",0,1.74068486826022,0.945,0.313,0
"TBC1D5",0,1.67888270538784,0.969,0.342,0
"MAN2B1",0,1.95561969828655,0.793,0.175,0
"MIR646HG",0,2.31529446350631,0.768,0.15,0
"SIPA1L1",0,2.41406579925026,0.769,0.158,0
"UTY",0,2.36179212018134,0.752,0.141,0
"ATP8B4",0,1.65346905718344,0.974,0.367,0
"ZFAND3",0,1.64712128420324,0.992,0.396,0
"FCHSD2",0,1.71270582570543,0.991,0.41,0
"NCKAP5",0,2.30761592010103,0.728,0.148,0
"TCF12",0,1.59223149131692,0.987,0.414,0
"ARHGAP26",0,1.58155979117575,0.985,0.413,0
"USP9Y",0,2.34772357896006,0.696,0.124,0
"LINC00278",0,2.49287236154579,0.667,0.114,0
"TNFSF13",0,2.71056544844028,0.648,0.105,0
"RNF150",0,2.49944086806443,0.652,0.117,0
"FGF13",0,1.62790740449656,0.975,0.459,0
"FTL",0,0.884112829991483,1,1,0
"ITGA9",5.03374807126302e-308,1.98851434975479,0.798,0.184,9.30840693337958e-304
"SLC9A9",5.26369191538614e-308,1.36790372498818,0.996,0.61,9.73361908993205e-304
"WDFY3",5.0109599997948e-307,1.58056954153485,0.977,0.408,9.26626723162055e-303
"VAV3",5.14925554450104e-306,1.6766038502778,0.966,0.331,9.52200335289133e-302
"EYA2",3.4679346341761e-305,1.92311699884927,0.833,0.215,6.41290472551844e-301
"RPL39",5.68150361677688e-304,-1.46618005150399,0.874,0.96,1.05062364881438e-299
"AFF1",4.612718967834e-302,1.65766467588245,0.956,0.308,8.52983991531862e-298
"TRPS1",5.84164204520362e-302,1.66295120022711,0.959,0.325,1.08023644699905e-297
"RBPJ",1.96791786166372e-301,0.973463031469413,0.998,0.893,3.63907370978855e-297
"ZNF609",6.3456423972112e-301,1.77353685540375,0.908,0.259,1.17343619209229e-296
"LINC01605",8.53664073289926e-301,2.57218072967177,0.599,0.1,1.57859560432773e-296
"PDGFC",4.21037084123437e-300,1.65733301774771,0.964,0.339,7.78581775961059e-296
"TRAPPC9",1.44278697259443e-299,1.90566430340312,0.83,0.209,2.66800166972161e-295
"ZSWIM6",1.63820031943367e-299,1.53630637483256,0.979,0.407,3.02936003069675e-295
"PRKCA",1.65650142399205e-296,1.58217486937613,0.975,0.379,3.0632024332461e-292
"DISC1",5.14227054677226e-296,1.72691156340338,0.926,0.288,9.50908669509127e-292
"SPRED1",1.77749985075053e-295,1.31895497521719,0.997,0.556,3.28695272400788e-291
"P3H2",2.07844035856334e-293,1.78570849825134,0.893,0.263,3.84345191105533e-289
"FAF1",2.76137265947028e-293,1.79462028639393,0.874,0.249,5.10633032189245e-289
