"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MALAT1",8.97545536666825e-141,1.17137714547371,0.808,0.574,1.65974120640429e-136
"XIST",1.90000221864584e-139,5.90727589707351,0.438,0.008,3.51348410271989e-135
"IGFBP1",1.72156925265163e-124,1.93950040751661,0.626,0.14,3.18352586200339e-120
"RPS18",1.34005565070327e-113,1.10825731503709,0.944,0.595,2.47803090928048e-109
"RPS20",1.15552584426303e-111,-1.02166291881967,0.713,0.911,2.13679839121119e-107
"RPS4Y1",8.79904210476033e-105,-2.06349892777773,0.155,0.537,1.62711886601228e-100
"FTL",2.54275717294e-100,0.72880288198254,0.998,1,4.70206656420065e-96
"NEAT1",2.4038260961699e-93,1.11144363781605,0.716,0.419,4.44515521703738e-89
"B2M",1.3453924543583e-89,0.643913621846696,0.987,0.943,2.48789972659937e-85
"RPL7A",2.73538984752592e-88,1.03984649738515,0.912,0.571,5.05828290604493e-84
"AIF1",1.22116967952237e-82,0.936886915354405,0.915,0.594,2.25818697137278e-78
"RPS9",1.73373569197908e-77,1.00865395348926,0.873,0.551,3.20602404160771e-73
"CXCL8",7.83572187393977e-74,-2.02847511770357,0.159,0.444,1.44898168892894e-69
"TIMP3",4.85538098988988e-71,1.02836640650065,0.661,0.27,8.97857052650437e-67
"LY6E",7.02998422156454e-71,3.10743697628422,0.318,0.041,1.29998468225171e-66
"RPS25",1.86445150982736e-63,0.891677788418045,0.884,0.568,3.44774373197275e-59
"JUN",3.13292004433179e-61,-1.03482758707564,0.505,0.683,5.79339574597835e-57
"TMSB4X",3.08989275137204e-60,0.540975076758757,0.99,1,5.71382967583717e-56
"CTSB",3.39016573850366e-59,0.61837376336126,0.869,0.702,6.26909448364097e-55
"PHLDA2",2.15024756504461e-54,2.46189609759065,0.34,0.085,3.97623779728048e-50
"CD83",5.88869972058524e-54,-1.77374575747796,0.187,0.418,1.08893835233062e-49
"PEG10",1.034894216452e-52,2.72542467390707,0.289,0.057,1.91372638506303e-48
"FTX",1.47384674049398e-52,1.57120671662706,0.452,0.176,2.72543739252147e-48
"HLA-B",1.15481131041867e-51,0.714673147782591,0.84,0.564,2.1354770752262e-47
"HLA-E",3.86469972892822e-51,0.729257783741493,0.796,0.515,7.14660273873407e-47
"LINC00486",4.56083665989467e-51,10.8727059967808,0.177,0,8.43389915147723e-47
"IGFBP2",1.4155603611183e-50,2.21086842366141,0.262,0.043,2.61765421977995e-46
"CRYAB",6.26052127333587e-50,2.45546046657899,0.25,0.037,1.15769559386527e-45
"KANSL1",3.45433182529871e-49,1.24028179476797,0.474,0.196,6.38775041134238e-45
"EGR1",6.14815846580998e-49,-1.43811606171003,0.296,0.506,1.13691746349758e-44
"FOSB",4.60659337584482e-48,-1.40155411115373,0.314,0.508,8.51851247061225e-44
"DNAJB1",6.16898848923754e-48,-1.23910454812325,0.4,0.557,1.14076935142981e-43
"PRG2",6.93018230822054e-46,0.877205548661846,0.636,0.307,1.28152931243614e-41
"APP",3.4682331756831e-45,1.49692451358645,0.321,0.09,6.41345678847319e-41
"CLIC1",1.44821894956778e-44,0.871200022856852,0.713,0.424,2.67804648154074e-40
"RPS10",1.77076380330995e-44,0.713005644205769,0.822,0.608,3.27449642508076e-40
"SPP1",2.89556919831292e-44,0.518933582775799,0.942,0.949,5.35448656152025e-40
"TPT1",1.37101680181632e-43,0.460464728519838,0.995,0.997,2.53528426991874e-39
"INPP5D",2.41924274494746e-43,0.933902136677953,0.518,0.237,4.47366368395684e-39
"IFI27",7.67075505771809e-43,2.2212780296569,0.291,0.078,1.41847602527323e-38
"F13A1",1.87940727366171e-42,0.361687173543622,0.965,0.996,3.47539993045524e-38
"PLCL2",2.48709642522399e-42,1.61010084046539,0.325,0.1,4.59913870952421e-38
"C2",4.43933109122119e-42,0.682921811292595,0.743,0.473,8.20921105388623e-38
"IFI44L",5.7056597512769e-42,1.34591921263634,0.391,0.151,1.05509060120612e-37
"APOE",8.64704874452529e-42,-1.62981276140204,0.19,0.409,1.59901225383762e-37
"DLEU2",1.36510722906774e-41,1.8510316245162,0.297,0.085,2.52435628799206e-37
"PARP14",1.4426666564577e-41,0.705910181358438,0.635,0.369,2.66777918112157e-37
"PAGE4",1.21077108893308e-40,1.68486960473311,0.384,0.148,2.23895789765506e-36
"RPL31",1.25969440559396e-40,-0.663966580527062,0.685,0.805,2.32942689482435e-36
"RNASE1",1.71670553838152e-39,0.391768254693392,0.974,0.99,3.1745318815751e-35
"KLF2",3.73457410766548e-39,-0.977451195650525,0.527,0.629,6.905974439895e-35
"CCDC152",1.34254466893324e-38,-2.19673868677798,0.089,0.262,2.48263360179135e-34
"IFI6",3.96953933419484e-38,0.919374608436056,0.58,0.31,7.34047213679309e-34
"DUSP2",6.81232276718271e-38,-3.27903781553627,0.031,0.167,1.25973472610743e-33
"RPL7",1.88713861723548e-37,-0.604773214733909,0.748,0.845,3.48969673099185e-33
"ATP6V0C",2.4834859957627e-37,0.662265401739556,0.769,0.511,4.59246230336439e-33
"LENG8",3.51878678780095e-37,1.05738691086277,0.393,0.15,6.50694052800152e-33
"LAIR2",2.0290466826401e-36,5.88602946743671,0.132,0.002,3.75211312553807e-32
"JPX",3.3764348119038e-36,1.1992088614512,0.346,0.122,6.24370325417251e-32
"ABR",5.17054949713303e-36,1.40625472538896,0.311,0.105,9.5613801300984e-32
"CANX",7.24414409491454e-36,0.675764580664366,0.697,0.441,1.3395871260316e-31
"MX1",5.59646480283653e-35,0.990344618028007,0.356,0.137,1.03489827134053e-30
"HLA-DRA",5.80989230900974e-35,0.958280565505748,0.538,0.297,1.07436528578208e-30
"PRPF8",7.40929505818192e-35,0.972411620339095,0.433,0.19,1.370126842159e-30
"COG5",7.99119730728147e-35,1.59243717547164,0.275,0.084,1.47773220606249e-30
"PPP3R1",1.06942207632306e-34,0.796792867908499,0.502,0.253,1.9775753035366e-30
"NAIP",1.32225130750591e-34,0.682215952027374,0.624,0.389,2.44510711783993e-30
"DIP2B",1.58302742356979e-34,0.724008166595915,0.59,0.349,2.92733431166525e-30
"CEP170",2.13906722681302e-34,0.843590375924812,0.508,0.261,3.95556311582265e-30
"TNFSF9",2.91166746921424e-34,-2.41552306771238,0.064,0.21,5.38425548407097e-30
"MIF",3.65447495750492e-34,0.818134461151418,0.682,0.416,6.7578550914181e-30
"CD44",4.46422550127367e-34,0.784017290692493,0.35,0.132,8.25524579695527e-30
"SLC1A3",5.08229343522955e-34,1.07824582955063,0.297,0.098,9.39817702042648e-30
"IGFBP7",8.22388388829131e-34,1.63926660221676,0.189,0.032,1.52076060862283e-29
"TIMP1",9.93295122657665e-34,1.01824319045498,0.406,0.177,1.83680134081855e-29
"SURF4",1.57689643182017e-33,1.14804272315993,0.372,0.146,2.91599688172186e-29
"RBP1",1.84987452951381e-33,1.89720587355423,0.193,0.036,3.42078797997694e-29
"RPL17",3.05205538583963e-33,0.592913870026617,0.849,0.644,5.64386081949465e-29
"HLA-A",4.77529181432321e-33,0.639433110643904,0.765,0.507,8.83046962304649e-29
"RHOU",8.3340783957395e-33,1.0666862959411,0.358,0.141,1.54113777694015e-28
"SLC27A4",1.05610956544285e-32,1.62214950052335,0.235,0.063,1.95295780841693e-28
"YWHAE",1.13152956276802e-32,0.812498171682114,0.624,0.355,2.09242446747062e-28
"CTNND1",1.36038979881045e-32,0.744015264663391,0.539,0.293,2.51563281596029e-28
"LINC01605",1.57169240346859e-32,7.20661494116367,0.117,0.001,2.90637359249412e-28
"CDKN1C",4.98947962034387e-32,1.27740317573015,0.399,0.176,9.22654571393989e-28
"ANKFY1",5.42412512574546e-32,0.667135937872741,0.464,0.224,1.00302921825285e-27
"PRKACA",8.68731288597381e-32,0.951112973891777,0.409,0.178,1.60645789887428e-27
"ABCC1",4.6593180885355e-31,1.44218643243086,0.281,0.098,8.61601100931985e-27
"ZFAND2A",8.65933932911089e-31,-1.92907279500478,0.095,0.242,1.60128502873919e-26
"S100A6",8.69732469608083e-31,0.549984742674012,0.527,0.267,1.60830928279927e-26
"ITCH",8.78696455637471e-31,0.905397251366195,0.377,0.161,1.62488548576481e-26
"FTH1",1.02541118639879e-30,0.377528805229213,0.993,0.997,1.89619036588865e-26
"NFKBIA",1.15475544889065e-30,-0.76153020996784,0.536,0.622,2.1353737760886e-26
"SDC3",1.5003764676126e-30,0.662622957176011,0.382,0.163,2.77449616390923e-26
"FAM120B",5.37492982746967e-30,1.69925141345979,0.213,0.054,9.93932023695691e-26
"LAIR1",6.12459064155118e-30,0.629398621104763,0.697,0.455,1.13255930143564e-25
"MAFF",7.55655631197673e-30,-1.80713718571455,0.072,0.21,1.39735839321074e-25
"PPDPF",1.09642168663231e-29,0.832621889333323,0.264,0.084,2.02750298292047e-25
"CFD",1.25925848660954e-29,0.736627507960848,0.654,0.412,2.32862079343836e-25
"JUNB",1.40389712452538e-29,-0.676906779366625,0.609,0.698,2.59608656267233e-25
"RNF213",1.8265242034586e-29,0.394590435247088,0.694,0.501,3.37760855703564e-25
"SHMT1",3.29653954925995e-29,0.863187604843625,0.387,0.171,6.09596093449151e-25
"MIR99AHG",4.7659857394163e-29,1.93112928388399,0.214,0.061,8.81326082932862e-25
"DCN",4.89867303143124e-29,0.749389074881283,0.498,0.265,9.05862616972265e-25
