"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CSH2",0,5.45523237640801,0.769,0.045,0
"EEF1G",0,3.59057409950615,0.897,0.228,0
"KISS1",0,4.78771353452537,0.729,0.073,0
"PRG2",0,5.29491255441762,0.757,0.117,0
"PSG9",4.19427680159616e-297,5.88020406217893,0.336,0.009,7.75605666151161e-293
"PSG3",1.0566907861583e-279,4.77584787444295,0.46,0.031,1.95403260176393e-275
"CSH1",5.55447970765484e-228,3.54614505482378,0.857,0.241,1.02713438753953e-223
"ATP6V0C",1.27470314384009e-226,2.81214108658428,0.757,0.182,2.3571810535891e-222
"EEF1A1",1.67717569625306e-221,1.33313634361348,0.995,0.998,3.10143329751117e-217
"PSG1",7.7153570763684e-217,5.44272988200493,0.269,0.01,1.42672383056204e-212
"NME2",1.51199779681873e-211,2.97913526737213,0.794,0.247,2.7959863258772e-207
"RPLP1",6.96121166802689e-209,1.1929830008208,0.995,0.999,1.28726726165153e-204
"TPT1",2.72376867982409e-207,1.25971105666941,0.984,0.997,5.03679304273071e-203
"RPL17",1.87541746515373e-203,1.8293820181179,0.956,0.759,3.46802197656228e-199
"RPL10",1.09254706279262e-201,1.17623432293194,0.988,0.998,2.0203380285161e-197
"RPL13",1.77323364689936e-194,1.14086883552012,0.984,0.999,3.2790636598463e-190
"RPS2",6.87437160165948e-194,1.13147318687677,0.981,0.996,1.27120879657887e-189
"FTL",8.81233631345205e-194,1.294959614842,0.979,1,1.62957723108355e-189
"ACTB",1.69287543723748e-188,1.06286489651428,0.974,1,3.13046525853955e-184
"RPL13A",2.02856344023255e-184,1.08319836861304,0.979,0.997,3.75121951367803e-180
"TFPI2",2.18306119251063e-178,3.59601231787077,0.671,0.158,4.03691675719066e-174
"RNASEK",2.62034797151903e-176,2.47940195958918,0.773,0.262,4.84554746893299e-172
"RPS12",6.00591430946976e-176,1.11475549200471,0.97,0.997,1.11061367410715e-171
"RPS18",7.07346639691868e-176,1.07250819769584,0.979,0.998,1.3080254061182e-171
"B2M",1.00877190381872e-175,1.02166780880145,0.974,0.999,1.86542100454158e-171
"MALAT1",1.1741353934981e-173,1.16968105009085,0.974,0.982,2.17121116965669e-169
"RPL28",2.4319691703678e-170,1.03093842508995,0.96,0.996,4.49719738984414e-166
"RPS14",4.73298505356567e-169,1.07331666831182,0.97,0.996,8.75223596105364e-165
"RPL41",1.08505738273968e-166,1.01018323198398,0.963,0.999,2.00648811216221e-162
"RPS23",7.63619917889886e-163,1.0230422218076,0.963,0.998,1.41208595216198e-158
"RPL11",3.07400224810443e-162,1.00403099311984,0.963,0.995,5.68444495719471e-158
"RPS24",1.10654297129144e-158,1.00353383360781,0.963,0.994,2.04621926251212e-154
"RPL7A",1.42183701444279e-158,1.01802450858085,0.951,0.988,2.62926100710761e-154
"RPL37",4.23520838512211e-158,1.00142545112255,0.953,0.992,7.8317473457678e-154
"RPS3A",2.84154297719886e-156,1.03465518375158,0.956,0.992,5.25458127343612e-152
"PSG2",1.49053858447057e-154,3.96802559034332,0.353,0.038,2.75630395040299e-150
"RPS28",1.24772828042618e-153,0.99018226176477,0.942,0.997,2.30729913616409e-149
"RPL3",2.60275291195098e-152,1.01991682318715,0.956,0.994,4.81301068477974e-148
"RPL19",3.1384980753902e-151,0.973085077292065,0.942,0.996,5.80371064101155e-147
"RPS8",5.45112957113774e-150,1.01344629850227,0.956,0.994,1.00802288029479e-145
"GABARAP",6.91140855277329e-147,2.00614573370895,0.829,0.482,1.27805766957884e-142
"TMSB10",2.42814126013973e-146,1.01263879926368,0.97,0.999,4.49011881825039e-142
"RPS6",8.20626592164194e-146,0.973533064632119,0.951,0.996,1.51750269423003e-141
"RPL9",1.54417593188814e-142,0.976077126901101,0.953,0.99,2.85549013324756e-138
