"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"EEF1G",0,5.32728742941799,0.897,0.076,0,"EEF1G"
"ATP6V0C",0,7.24310472129986,0.757,0.014,0,"ATP6V0C"
"CSH2",0,5.29002213293527,0.769,0.042,0,"CSH2"
"PRG2",0,5.85051202181647,0.757,0.048,0,"PRG2"
"NME2",0,4.4683324234836,0.794,0.102,0,"NME2"
"RNASEK",0,4.02276185509567,0.773,0.111,0,"RNASEK"
"KISS1",0,4.66491242559719,0.729,0.067,0,"KISS1"
"MRPS24",0,6.06176559686779,0.491,0.012,0,"MRPS24"
"TRAPPC5",1.79190066994686e-306,4.18510305292307,0.652,0.07,3.31358271886573e-302,"TRAPPC5"
"GNG10",2.73430232963584e-270,3.95109145436811,0.591,0.061,5.05627186796259e-266,"GNG10"
"PSG9",4.97542281180684e-265,5.7398456853071,0.336,0.009,9.2005518635932e-261,"PSG9"
"PSG3",1.35352933641208e-256,4.60898367900625,0.46,0.03,2.50294644889322e-252,"PSG3"
"UBE2V1",5.03786217617627e-247,3.81310988860162,0.544,0.053,9.31601473618517e-243,"UBE2V1"
"CSH1",9.18947997945643e-241,3.50449529952813,0.857,0.201,1.69931863780108e-236,"CSH1"
"FTL",9.3507292636042e-220,1.56615099896567,0.979,1,1.72913685542569e-215,"FTL"
"EEF1A1",5.08930150837584e-212,1.31814293159954,0.995,0.998,9.4111363492886e-208,"EEF1A1"
"TPT1",8.96326638810375e-210,1.36704260776338,0.984,0.997,1.65748722048814e-205,"TPT1"
"TFPI2",1.83184805630436e-206,3.61581868120009,0.671,0.119,3.38745342571802e-202,"TFPI2"
"RPL17",2.83857817376967e-206,2.04138413617426,0.956,0.71,5.24909875893487e-202,"RPL17"
"RPLP1",5.11014890061685e-205,1.25208033657424,0.995,0.999,9.44968734702068e-201,"RPLP1"
"MALAT1",2.83696664694986e-203,1.41381869649125,0.974,0.978,5.24611872353968e-199,"MALAT1"
"RPL10",2.99838706779456e-195,1.20353682799898,0.988,0.997,5.54461736576569e-191,"RPL10"
"PSG1",7.00812769621516e-193,5.27290455449306,0.269,0.009,1.29594297358411e-188,"PSG1"
"FTH1",1.42149379780395e-191,1.21679202403264,0.979,1,2.62862633089907e-187,"FTH1"
"ACTB",4.18001976821436e-191,1.15592330878712,0.974,1,7.72969255538199e-187,"ACTB"
"TRIM34",8.69141975287946e-189,6.85349184072836,0.196,0.001,1.60721734070247e-184,"TRIM34"
"RPL13",6.74691315923087e-188,1.1713034857342,0.984,0.999,1.24763918140497e-183,"RPL13"
"MAN2B1",2.78452374900622e-185,3.26299125780912,0.472,0.054,5.14914131666229e-181,"MAN2B1"
"B2M",2.6140245485283e-184,1.12615073382079,0.974,0.998,4.83385419513853e-180,"B2M"
"RPS2",6.34006671813495e-184,1.1113413945022,0.981,0.996,1.17240513751751e-179,"RPS2"
"ZGPAT",1.16906506455375e-181,7.42108946154771,0.189,0.001,2.16183511737279e-177,"ZGPAT"
"TXNDC5",1.44425872234006e-179,4.32608840234702,0.283,0.013,2.67072322935125e-175,"TXNDC5"
