"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VNN2",1.87890325688188e-166,-2.18593264605485,0.095,0.341,3.47446790262597e-162
"IGFBP1",5.99141130287788e-112,-1.31426747878005,0.207,0.445,1.10793177812818e-107
"MS4A7",1.99402517441615e-102,-0.589496380943308,0.706,0.843,3.68735135253035e-98
"HSD11B1",1.8519264948892e-98,-2.71068055304727,0.027,0.149,3.4245824743491e-94
"FCGR3A",1.18472310403597e-93,-0.792110365069353,0.422,0.674,2.19078996398332e-89
"CSH1",9.20533201497049e-93,1.80330473975182,0.341,0.11,1.70224999620834e-88
"EGR1",3.23733142034113e-90,0.842103149141536,0.611,0.377,5.98647326249481e-86
"DKK2",1.79737050521116e-89,2.27989865667578,0.276,0.064,3.32369753823648e-85
"LUM",3.45227270974736e-78,-1.27377194321986,0.227,0.419,6.38394269486482e-74
"FLT1",5.09385782349778e-78,1.71082736647605,0.321,0.113,9.41956188721209e-74
"SERPINE2",9.24759263061621e-74,1.16285775747469,0.434,0.213,1.71006482925355e-69
"DKK1",1.0107179486406e-73,-1.88446828540453,0.053,0.18,1.8690196306262e-69
"AOC1",1.49712746577957e-73,1.57638809336228,0.321,0.12,2.76848810971958e-69
"NOTUM",2.78325157227267e-70,1.95166719042492,0.266,0.081,5.14678880744661e-66
"FN1",2.42721809969864e-68,0.685584297425087,0.681,0.467,4.48841170996273e-64
"PRL",1.37220604240747e-67,-2.30177693890338,0.028,0.124,2.53748341361989e-63
"PMAIP1",1.90186859233603e-67,1.27760022222024,0.367,0.168,3.51693540094779e-63
"SEMA4A",3.64371689403566e-67,2.37657916844129,0.205,0.041,6.73796128045075e-63
"DCN",2.33079259930931e-66,-1.06884279113083,0.302,0.483,4.31010167464277e-62
"C1QB",1.20241831722892e-65,-0.29486355544193,0.955,0.973,2.22351195221973e-61
"PAPPA",8.9136180302784e-64,2.35561076932221,0.214,0.053,1.64830624615908e-59
"AKAP12",5.61238798224474e-63,1.41950214869445,0.317,0.131,1.0378427856767e-58
"EGR2",5.86375637069016e-63,1.47718088771504,0.282,0.103,1.08432582806802e-58
"FOSB",1.36422290817753e-62,0.733046462520069,0.573,0.389,2.5227210018019e-58
"CPVL",2.38165955557259e-62,-0.507713046958617,0.656,0.768,4.40416485016483e-58
"PAPPA2",2.38572163135447e-62,2.34329944004732,0.206,0.049,4.41167644070069e-58
"NUPR1",5.5509585687966e-62,0.951321964661606,0.405,0.202,1.02648325854187e-57
"COL1A2",1.68564495221277e-61,1.04213191054168,0.352,0.157,3.11709464563185e-57
"TMSB4X",5.3115182212347e-61,-0.277554231892808,0.997,1,9.82205949470722e-57
"LMNA",8.25741770725036e-60,1.04686836682247,0.39,0.206,1.52696168242474e-55
"C1QC",2.67932964910364e-59,-0.282912686503449,0.935,0.956,4.95461638712245e-55
"RNASE1",7.40153858501961e-59,-0.267406914921825,0.983,0.99,1.36869251514183e-54
"GPNMB",1.8092973216898e-58,0.959720175104616,0.425,0.229,3.34575260726877e-54
"PRG2",3.9451171411247e-57,0.636715278512262,0.69,0.495,7.2953106173678e-53
"AEBP1",4.42736441555012e-57,2.42202848129236,0.174,0.034,8.18708227723528e-53
"IER2",2.11389066957984e-56,0.509499223651309,0.702,0.539,3.90900662618705e-52
"CRIP1",4.47027599167601e-56,-1.8534120881044,0.056,0.165,8.26643436380727e-52
"MX1",5.5307536743844e-56,1.17708989124686,0.34,0.161,1.02274696946716e-51
"DUSP2",3.05111258552617e-55,1.2149172079464,0.279,0.109,5.64211739315499e-51
"ACTB",2.30708659603661e-54,-0.251285450969849,0.988,0.992,4.26626453339089e-50
"IFI44L",3.9692331872038e-54,1.13153821154366,0.334,0.153,7.33990600977726e-50
"MX2",9.86032700047821e-54,1.43098834707826,0.289,0.122,1.82337166892843e-49
"FTL",1.03014414283457e-53,-0.252855640363985,0.999,1,1.90494254892968e-49
"PALLD",2.35257179519616e-53,1.59629535879295,0.265,0.108,4.35037576367674e-49
"CD83",2.48475812322845e-53,0.757607256785091,0.46,0.267,4.59481472147405e-49
"CST3",2.16293688500218e-52,-0.275085962995647,0.939,0.959,3.99970288774602e-48
"NR4A2",5.2638679049138e-52,0.839306713418986,0.439,0.258,9.7339445297666e-48
"ATF3",1.63179143991281e-51,0.942461194267891,0.377,0.202,3.01750873068678e-47
"RPS29",3.05720839883583e-50,-0.266570044579682,0.929,0.952,5.65338977112721e-46
"PLTP",5.36832338076431e-50,-0.258875035474709,0.965,0.967,9.92710359570935e-46
"RBP1",1.46801235116241e-49,-1.55991489091048,0.074,0.185,2.71464843976953e-45
"SH2D4A",2.00885996173991e-49,1.75160333553419,0.22,0.077,3.71478384124944e-45
"C1QA",3.2301343551523e-49,-0.231587090057451,0.986,0.987,5.97316444954763e-45
"RPL41",3.32016600829143e-48,-0.246497989083412,0.983,0.992,6.13965098253251e-44
"XIST",7.03837845766576e-48,3.63305761919437,0.114,0.009,1.30153694439155e-43
"CASK",1.0443127767279e-47,1.19910993661161,0.306,0.146,1.93114318672522e-43
"NFKBIZ",1.57256553640158e-47,0.754853287485533,0.476,0.31,2.90798818991381e-43
"TPT1",2.04592842314342e-47,-0.23027171529332,0.998,0.998,3.78333084007681e-43
"NFKBID",1.95096216494702e-46,1.06775456348823,0.342,0.185,3.60771923542002e-42
"CSRNP1",4.57673471677042e-46,1.02004227315023,0.335,0.173,8.46329783825186e-42
"F13A1",5.65051700502546e-46,-0.236424725069305,0.986,0.99,1.04489360456931e-41
"SLC2A3",7.30126339850546e-46,0.645431831211352,0.484,0.313,1.35014962765163e-41
"KDM6B",2.65247441058475e-45,1.06764887622551,0.323,0.168,4.90495568005332e-41
"CDKN1A",2.81678868895014e-45,0.882731177930699,0.359,0.199,5.20880564360659e-41
"KLF4",5.82067455696976e-45,0.680623469938496,0.525,0.376,1.07635913907485e-40
"RPS27",6.14879221730609e-45,-0.247402892388065,0.957,0.967,1.13703465682424e-40
"ICAM4",8.1221729576022e-45,1.74180977934543,0.178,0.051,1.5019522233198e-40
"FTH1",9.00981648747738e-45,-0.228943538841178,0.996,0.998,1.66609526486432e-40
"DAB2",5.45654032220856e-44,-0.215643788464267,0.986,0.989,1.00902343638281e-39
"RSAD2",6.92959978028439e-44,0.996876117149726,0.325,0.167,1.28142159137019e-39
"SERTAD1",9.98736433161066e-44,0.968203054916275,0.333,0.178,1.84686341220144e-39
"RPL21",1.88734919156792e-43,-0.254144849944389,0.94,0.957,3.49008612504739e-39
"RPL37A",2.11588842633081e-43,-0.255008529589284,0.942,0.953,3.91270087797093e-39
"RPL37",5.26512655874249e-43,-0.23614396050439,0.952,0.959,9.73627203242662e-39
"EEF1A1",5.57645209484222e-43,-0.217842472900143,0.995,0.994,1.03119752137822e-38
"RPL34",1.29536137864596e-42,-0.240722681668723,0.946,0.96,2.39538226139211e-38
"MAF",3.09674925902717e-42,-0.253464969684188,0.91,0.918,5.72650872979305e-38
