"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"HLA-DQA1",1.40525668085833e-226,-4.56969130717188,0.02,0.21,2.59860065424322e-222,"HLA-DQA1"
"HLA-DQB1",7.86143724085874e-224,-3.8512037313462,0.036,0.246,1.4537369745796e-219,"HLA-DQB1"
"C1QC",2.14205055961258e-163,-0.497114491376108,0.935,0.954,3.96107989483559e-159,"C1QC"
"HLA-DRB5",1.80320640315354e-161,-2.89418907231328,0.068,0.261,3.33448928071153e-157,"HLA-DRB5"
"C1QB",5.86632728611143e-155,-0.459911186862286,0.955,0.969,1.08480124174773e-150,"C1QB"
"VNN2",1.32163425766565e-148,-1.98182652422524,0.095,0.304,2.44396606927531e-144,"VNN2"
"PRG2",6.60414937948562e-148,0.941994094285906,0.69,0.385,1.22123930325448e-143,"PRG2"
"CSH1",4.11729952889677e-145,2.11222416657933,0.341,0.086,7.61371028883591e-141,"CSH1"
"HLA-DPA1",5.05628686180158e-142,-2.28228206608432,0.128,0.333,9.35008566484349e-138,"HLA-DPA1"
"FTL",6.73932111533204e-142,-0.398033530835684,0.999,0.999,1.2462352606472e-137,"FTL"
"CD74",7.72244702989455e-142,-0.930169520439732,0.7,0.811,1.4280349047681e-137,"CD74"
"MS4A7",1.27014340556124e-127,-0.589711507456522,0.706,0.834,2.34874918556384e-123,"MS4A7"
"DKK2",1.71531622806011e-127,2.47689068118514,0.276,0.055,3.17196276892875e-123,"DKK2"
"FCGR3A",9.94448649728931e-126,-0.836520127309209,0.422,0.674,1.83893444307874e-121,"FCGR3A"
"B2M",8.13118143526386e-121,-0.379524466568584,0.98,0.97,1.50361807100899e-116,"B2M"
"FTH1",4.92398985136199e-120,-0.366677843177677,0.996,0.996,9.1054420331386e-116,"FTH1"
"CST3",5.48806872322672e-120,-0.411600301010744,0.939,0.947,1.01485366829909e-115,"CST3"
"SERPINE2",2.16456302844603e-118,1.3005069639697,0.434,0.182,4.00270995220239e-114,"SERPINE2"
"VIM",3.47553433859879e-116,-1.19947801890024,0.294,0.514,6.42695809893688e-112,"VIM"
"C1QA",2.34669372814177e-115,-0.343431666522322,0.986,0.976,4.33950604207977e-111,"C1QA"
"ACTB",2.33439571327e-108,-0.338545242864822,0.988,0.987,4.31676455297889e-104,"ACTB"
"HLA-DPB1",3.71120383032608e-106,-2.22792063555517,0.11,0.276,6.86275812303898e-102,"HLA-DPB1"
"RNASE1",5.61463313155314e-106,-0.333580852241967,0.983,0.968,1.03825795868681e-101,"RNASE1"
"COL1A2",2.08115109151469e-105,1.31265821067889,0.352,0.127,3.84846459842897e-101,"COL1A2"
