"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PFDN5",0,-3.52713625446762,0.197,0.908,0
"EEF1G",0,-6.05673661717898,0.023,0.677,0
"RPL22",0,-2.90704179116457,0.267,0.875,0
"RPS10",0,-3.51846494527088,0.129,0.73,0
"RPL17",0,-2.91727201603866,0.238,0.78,0
"RPS17",0,-3.45368387816508,0.107,0.644,0
"EIF4A1",0,-2.46485398160354,0.185,0.692,0
"RPL23A",0,-2.23387428361869,0.419,0.917,0
"EGR1",0,1.92458698009909,0.846,0.377,0
"NFKBIZ",0,2.30186118800102,0.774,0.31,0
"TMBIM4",0,-2.5430300940307,0.194,0.657,0
"PRG2",0,-3.324598782763,0.032,0.495,0
"RNASEK",0,-2.33758812994097,0.244,0.7,0
"FOSB",0,1.96195733143882,0.823,0.389,0
"CD59",0,-1.99512488005978,0.374,0.807,0
"RPL36A",0,-2.12772203173205,0.343,0.767,0
"PPP1R15A",0,1.9286316598928,0.817,0.395,0
"ARPC1B",0,-1.91304568623807,0.362,0.773,0
"NEAT1",0,1.60797072268236,0.914,0.513,0
"HSPA1B",0,1.87972239841225,0.869,0.468,0
"RPL26",0,-1.75952111128402,0.555,0.946,0
"DNAJB1",0,1.91232591177934,0.867,0.477,0
"RPS20",0,-1.63532372775039,0.495,0.882,0
"CD68",0,-1.70045114826447,0.464,0.841,0
"RPS29",0,-1.57316246861054,0.6,0.952,0
"IER2",0,1.45025949581294,0.878,0.539,0
"RPL27A",0,-1.50695972605592,0.64,0.963,0
"ZFP36",0,1.50725201487414,0.909,0.598,0
"JUN",0,1.54472291719063,0.913,0.604,0
"MALAT1",0,1.32470833868883,0.954,0.662,0
"HSPA1A",0,1.48562178243483,0.905,0.627,0
"RPL21",0,-1.26017935899076,0.679,0.957,0
"HLA-B",0,1.03364940911729,0.951,0.697,0
"CD83",5.62603494863253e-308,2.13205175835876,0.717,0.267,1.04036638270113e-303
"ATF3",4.83322467276743e-303,2.58877483259613,0.674,0.202,8.93759906488153e-299
"NDUFA13",5.88264380481337e-301,-2.79208420239829,0.134,0.572,1.08781849238609e-296
"NDUFC2",1.05437586104048e-300,-3.10654616212884,0.095,0.521,1.94975184223605e-296
"TRAPPC5",7.13714304908248e-300,-3.44648499448417,0.073,0.483,1.31980049263633e-295
"NDUFV2",6.62404859585019e-298,-3.29962597999102,0.074,0.492,1.22491906634462e-293
"NR4A1",4.15759618626824e-297,2.47256871335446,0.688,0.247,7.68822686764723e-293
"RPL7",5.99789112976596e-297,-1.54187421815923,0.509,0.861,1.10913002771632e-292
"RASGEF1B",3.28004206462567e-295,2.22565719802919,0.709,0.28,6.06545378590579e-291
"MCL1",6.97969854170704e-292,1.34163405807977,0.844,0.544,1.29068585433247e-287
"FOS",3.10153645091427e-290,1.00066693513927,0.923,0.752,5.73536120503067e-286
"JTB",5.99211914069569e-285,-3.38823696823988,0.058,0.453,1.10806267149745e-280
"RPL9",3.06936727149207e-282,-1.09593389916178,0.719,0.95,5.67587395844315e-278
"WDR83OS",2.54501415395282e-281,-4.02207891530777,0.04,0.407,4.70624017348956e-277
"HSPH1",1.00491645547799e-280,1.59527818307297,0.798,0.489,1.8582915094699e-276
"PSMA2",2.32974025461794e-279,-5.11703197574149,0.011,0.341,4.30815567883949e-275
"JUNB",1.23621714298093e-276,1.01655503642836,0.897,0.675,2.28601274080034e-272
"HLA-C",6.23128452632482e-270,0.930014198595801,0.901,0.659,1.15228913460799e-265
"RPL38",2.70455452128557e-258,-1.17731723831153,0.657,0.918,5.00126222076128e-254
"BTG2",8.89182632014049e-252,1.31776675615188,0.815,0.54,1.64427652312038e-247
"KLF6",1.23122087876928e-250,1.11654282920223,0.864,0.631,2.27677364902015e-246
"CCNL1",8.7596080996643e-248,1.54915406456379,0.769,0.428,1.61982672978992e-243
"CCL4",2.0387310256217e-247,1.96128263448263,0.7,0.387,3.77002141257966e-243
"NDUFB8",5.71355200402062e-247,-3.16286024328372,0.066,0.428,1.05655003658349e-242
"KDM6B",7.57142862429578e-246,2.89019544960533,0.584,0.168,1.40010858120478e-241
"HSP90AA1",2.24896292935698e-245,0.669043400322383,0.948,0.88,4.15878224896693e-241
"C1QC",3.81136931548e-245,0.534774868057564,0.967,0.956,7.04798413818561e-241
"RPS3A",1.77882987674124e-242,-0.995064254989361,0.744,0.95,3.28941220806991e-238
"HSPD1",1.09815600076798e-237,1.359721601318,0.799,0.52,2.03071007662014e-233
"CHMP4A",9.12157551167695e-232,-4.91285241103885,0.013,0.299,1.6867617436193e-227
"NAMPT",9.54396093104075e-232,1.47653384589333,0.77,0.452,1.76486925536806e-227
"NFKBIA",1.81825244313754e-231,1.0884338974843,0.855,0.63,3.36231241784994e-227
"PNRC1",3.58662243124414e-225,0.956111579537755,0.864,0.662,6.63238219985666e-221
"BAG3",1.59521610746387e-224,2.51095171075078,0.6,0.219,2.94987362592219e-220
"GADD45B",3.53362294936765e-224,1.09437893443812,0.836,0.569,6.53437555797066e-220
"CTSB",3.53269512389894e-223,0.685552590802669,0.958,0.802,6.53265982311393e-219
"DDT",4.50458592857613e-222,-3.84119933472619,0.024,0.317,8.32988029912299e-218
"CCL3",2.21212197612148e-220,1.68826290196181,0.704,0.406,4.09065595824383e-216
"GNG10",2.93167575539193e-220,-1.66127899313454,0.384,0.695,5.42125480687076e-216
"NR4A2",3.17660635304679e-219,2.03571112107142,0.636,0.258,5.87418046805412e-215
"UBE2V1",1.7237303343147e-217,-3.27157673854933,0.039,0.348,3.18752213421474e-213
"RPS11",6.88158464511026e-217,-1.00206099437767,0.717,0.932,1.27254263257379e-212
"PYURF",3.18316919658191e-213,-11.8887329703129,0,0.241,5.88631647831927e-209
"RPL37A",1.66774320977553e-210,-0.936089994615892,0.756,0.953,3.08399074351691e-206
"IER3",1.3976175592584e-203,1.51133371442566,0.729,0.419,2.58447439058063e-199
"SRRM2",7.90071874216399e-203,1.01887373028395,0.836,0.581,1.46100090980096e-198
"HSPA8",1.60254029314602e-202,0.700805051856469,0.899,0.779,2.96341751008561e-198
"UBC",6.44282477458635e-202,0.563314467566343,0.946,0.877,1.19140715731651e-197
"NR4A3",1.90570085542279e-201,3.08202880001139,0.487,0.108,3.52402202184783e-197
"HLA-A",2.33550791661771e-201,0.922265182100777,0.875,0.64,4.31882123940947e-197
"HLA-E",8.61744765955917e-200,0.804777069192316,0.882,0.651,1.59353842120568e-195
"RPL23",1.48643830291465e-199,-1.08201006331922,0.645,0.877,2.74872170974976e-195
"ICAM1",5.17351679506599e-198,1.44170267046517,0.717,0.432,9.56686725743603e-194
"DUSP1",4.38276548392862e-195,0.893506102137654,0.854,0.661,8.1046099328808e-191
"HSP90AB1",1.58264485505659e-191,0.658881429268049,0.916,0.829,2.92662686597065e-187
"HNRNPA2B1",4.14970459571808e-191,0.692651795866823,0.914,0.741,7.67363373840187e-187
"NME2",5.55772537535827e-190,-1.86574837493538,0.281,0.606,1.02773457641125e-185
"RPS27",1.14019529923621e-188,-0.829821387929452,0.79,0.967,2.1084491473476e-184
"LMNA",1.08109682434958e-185,2.12061173508903,0.571,0.206,1.99916424758724e-181
"MAF",2.32079033834842e-184,-0.769152932887645,0.795,0.918,4.2916054936739e-180
"LDHB",2.62096111435473e-184,-3.21498171245298,0.061,0.354,4.84668129266476e-180
"RPS4Y1",1.84895202003535e-182,-1.87099786294544,0.233,0.589,3.41908207544937e-178
"SLC39A1",1.03676281614461e-180,-3.27775854884661,0.036,0.301,1.91718179961461e-176
"CSRNP1",1.12040077193642e-179,2.26157306264153,0.53,0.173,2.07184510746483e-175
"SGK1",5.85557726788055e-179,1.69808861821198,0.638,0.312,1.08281334837647e-174
"SQSTM1",2.26589300973182e-176,1.07622156744606,0.792,0.549,4.19008935359608e-172
"ALDOA",5.90689315190299e-176,2.74830169493185,0.437,0.083,1.0923026816499e-171
"LCP2",1.2469795490167e-175,1.33674026631326,0.725,0.444,2.30591458204168e-171
"PLAUR",2.28772630411132e-175,1.96614992860262,0.596,0.268,4.23046348156266e-171
"IFITM3",2.56071794047682e-175,0.652355454836852,0.923,0.815,4.73527961552973e-171
"EGR2",2.81608291634142e-172,2.72415192251699,0.455,0.103,5.20750052889856e-168
"AHNAK",5.30742646722264e-172,2.02240197552821,0.564,0.218,9.81449302318811e-168
"CDKN1A",3.0297158059553e-171,2.01220248773845,0.55,0.199,5.60255046837254e-167
"CCL4L2",1.80682740003771e-170,2.03329891483986,0.581,0.281,3.34118522814974e-166
"HNRNPU",7.36395206507662e-169,0.897131537865579,0.831,0.632,1.36174201587397e-164
"IL1B",7.37093128313031e-169,3.05173342025715,0.447,0.111,1.36303261287646e-164
"TRIB1",4.94536904702165e-167,1.75065826397149,0.6,0.282,9.14497644175244e-163
"EGR3",3.14058715328848e-166,3.36361988912892,0.401,0.068,5.80757376386105e-162
"CALML4",3.64336926246698e-164,-3.33239158141223,0.036,0.284,6.73731844015394e-160
"BCAP29",7.40740751630559e-164,-3.68925611625149,0.021,0.247,1.36977779791523e-159
"BLOC1S1",4.95981321126273e-162,-1.76859843558335,0.223,0.556,9.17168659026705e-158
"ZYX",9.60912162119439e-161,1.59408756674347,0.616,0.299,1.77691877019127e-156
"FTH1",2.43627614557687e-159,0.392564531764492,0.993,0.998,4.50516184840076e-155
"RAB5C",1.39448823912252e-156,-1.378254662752,0.418,0.707,2.57868765178537e-152
"PDCD6",3.25913938877718e-156,-2.89322559987816,0.042,0.288,6.02680055772675e-152
"CYB561D2",9.00983798250389e-156,-10.6757417752018,0,0.18,1.66609923972462e-151
"CCPG1",2.62369413177913e-155,-2.50272278264154,0.079,0.354,4.85173518848596e-151
"COMMD3",9.52827747212826e-154,-3.34164522170365,0.036,0.271,1.76196907014596e-149
"ANKHD1",6.22608763723155e-153,-2.53262767685392,0.053,0.308,1.15132812587686e-148
"CNPY2",7.38301071408201e-153,-2.68185002956246,0.059,0.318,1.36526634124805e-148
"YBX3",2.50051855266283e-150,1.77197694526714,0.553,0.229,4.62395890758411e-146
"CTSA",2.92904458427106e-149,1.65387815112743,0.553,0.223,5.41638924523404e-145
"ARPC4",3.94092113179816e-149,-1.79341677506979,0.214,0.528,7.28755135692115e-145
"DDX5",9.87346448241528e-149,0.563863782562155,0.896,0.763,1.82580105208823e-144
"TLN1",1.19433071779839e-145,0.780109460057425,0.783,0.568,2.20855636335279e-141
"DNAJA4",3.94148565284173e-145,2.09083283468039,0.517,0.212,7.28859526923493e-141
"LUM",5.44645593206451e-145,-1.79891014665407,0.121,0.419,1.00715863095737e-140
"RPL13A",8.92306130518805e-145,-0.714445943356998,0.793,0.957,1.65005249655537e-140
"KLF4",2.08740736199148e-143,1.380694991798,0.654,0.376,3.86003369379464e-139
"DYNC1H1",1.31388638105742e-140,1.29591077559715,0.668,0.388,2.42963869585138e-136
"SOD2",3.88561497652065e-140,0.761432023637947,0.819,0.688,7.18527921458198e-136
"TNFAIP3",1.39954527856267e-139,1.79587913003685,0.537,0.238,2.58803912911809e-135
"PSAP",1.80438111982288e-138,0.481019773580827,0.933,0.853,3.33666156677647e-134
"DYNLRB1",4.75150785818342e-138,-2.40349991477971,0.089,0.349,8.78648833135278e-134
"DNAJA1",5.35124861941352e-138,0.773341116329876,0.807,0.63,9.89552894701948e-134
"JUND",1.32816456601979e-137,0.786763020318931,0.824,0.648,2.45604191548379e-133
"MAFB",2.05730144664325e-136,0.732979814854864,0.853,0.677,3.8043618351327e-132
"RNF213",4.04748365840837e-135,0.933614795088043,0.758,0.541,7.48460678112876e-131
"CD163",1.14643024837781e-134,0.465699921181437,0.935,0.841,2.11997881530024e-130
"LINC01001",7.35819384586475e-134,-5.82432479644714,0.002,0.163,1.36067720597731e-129
"NDUFA11",2.59459996661882e-133,-1.77742771724599,0.191,0.483,4.79793425827152e-129
"SNRPD3",5.73545503805685e-131,-2.80639285877416,0.045,0.266,1.06060034563747e-126
"NDUFA7",5.84360535812028e-131,-4.83168630252754,0.009,0.179,1.0805995028236e-126
"DCN",1.18820534602682e-130,-1.57660845779389,0.18,0.483,2.19722932587279e-126
"CHURC1",3.91095922790946e-130,-2.14686095772341,0.13,0.403,7.23214580425018e-126
"PRR13",2.39993572845703e-127,-1.82088917482704,0.192,0.48,4.43796114906274e-123
"VKORC1",3.50892056882269e-127,-2.42067856701514,0.084,0.331,6.48869591586692e-123
"TFRC",5.83677472550674e-127,1.94660950122671,0.495,0.209,1.07933638224071e-122
"UQCRB",1.68466467748116e-126,-1.09005380250541,0.542,0.77,3.11528192159816e-122
"CKLF",4.40321236257096e-126,-1.98030188674475,0.146,0.421,8.14242030086623e-122
"FTL",8.98758830424702e-126,0.35644702146099,0.997,1,1.66198482922136e-121
"NFKB1",3.2800513228373e-125,1.53153937637658,0.58,0.31,6.06547090619073e-121
"BHLHE40",9.26385742731106e-125,2.47925037169372,0.375,0.095,1.71307251545836e-120
"KLF10",7.82260687525016e-124,1.64166309645083,0.526,0.242,1.44655646337126e-119
"CSNK2B",4.83366623766542e-123,-2.00254268833775,0.109,0.366,8.9384156066909e-119
"EGLN2",1.26041003463705e-122,-2.99984256031911,0.022,0.207,2.33075023605084e-118
"IL10RB",1.28415481181529e-122,-2.23528637201791,0.066,0.294,2.37465907800884e-118
"CHORDC1",2.48962546621869e-121,1.78415610749221,0.524,0.252,4.6038154121316e-117
"EIF4A3",1.09202077329078e-120,1.26732114750866,0.629,0.384,2.01936481396931e-116
"SARNP",1.68217833280676e-120,-3.00085091862972,0.03,0.222,3.11068417302625e-116
"KLF2",6.06978010099717e-120,0.882693641164675,0.758,0.596,1.1224237362764e-115
"CCDC144A",1.8855396976095e-119,-3.86098022290286,0.008,0.165,3.4867400088195e-115
"TAGLN2",2.22246492373571e-118,1.32261108846524,0.525,0.227,4.10978213697208e-114
"LY6E",4.21927329012122e-117,2.19399536947982,0.397,0.119,7.80228016809216e-113
"RPL27",3.92677927289778e-116,-0.81487143896751,0.69,0.863,7.26140023144257e-112
"HPGDS",3.96481980126571e-116,-1.16574848392527,0.461,0.719,7.33174477650055e-112
"SFPQ",7.17540348972294e-116,0.925976287123645,0.721,0.498,1.32687561331957e-111
"IGF2R",1.53976895989358e-115,2.3772298386342,0.39,0.121,2.84734076063522e-111
"HLA-DRB5",7.69384962954266e-115,3.2724793558102,0.347,0.094,1.42274667349503e-110
"DUSP2",1.00072818013281e-114,2.2615393881773,0.383,0.109,1.85054655070158e-110
"NEU1",6.25809946534203e-114,1.22041446572127,0.639,0.39,1.15724775313105e-109
"PTGDS",2.10695053655236e-113,-4.42978715090976,0.006,0.153,3.89617293219262e-109
"IGFBP1",2.70515367530214e-110,-1.30191322461336,0.172,0.445,5.00237017636872e-106
"C4BPB",6.97698038556104e-110,-1.62637651723369,0.174,0.437,1.29018321289795e-105
"HCLS1",5.0054799624594e-109,0.827246164357631,0.707,0.487,9.25613354657992e-105
"TSNAX",7.18656542654458e-109,-2.50286357175752,0.066,0.277,1.32893967867662e-104
"XIST",1.03704915977473e-108,5.05466216144814,0.228,0.009,1.91771130625543e-104
"REL",1.29252086136261e-108,1.30009328501434,0.593,0.344,2.39012957683174e-104
"MX1",4.59505345081576e-107,1.98850377411772,0.42,0.161,8.49717284124851e-103
"HLA-DQA1",5.5176091933648e-105,3.87544978022429,0.252,0.027,1.02031629203702e-100
"COMMD7",1.02871750017807e-104,-2.57709761992932,0.048,0.24,1.90230440132928e-100
"PSMA1",5.5502383629402e-104,-1.84880548258828,0.14,0.385,1.0263500780749e-99
"POLR2J",5.18148602852609e-103,-2.13083643128953,0.098,0.322,9.58160396395045e-99
"C1QB",2.73716735042067e-102,0.327619743979809,0.963,0.973,5.06156986439791e-98
"GIMAP5",2.63724778530136e-101,-1.6051400555781,0.119,0.355,4.87679860457927e-97
"TMIGD3",1.30729535072742e-99,-1.32548282411649,0.307,0.58,2.41745056256515e-95
"ARPC1A",5.64944116381674e-99,-2.34427740146952,0.057,0.251,1.04469466001299e-94
"CHMP3",7.14851346249061e-99,-1.81410495333131,0.154,0.394,1.32190310948376e-94
"CHD4",2.03273887086221e-98,-1.55053933264724,0.135,0.376,3.75894071999839e-94
"CANX",9.88814816798699e-98,0.685671819623747,0.768,0.573,1.82851635922415e-93
"C18orf32",2.09039526259125e-97,-1.7708644711084,0.143,0.376,3.86555891958373e-93
"HSD11B1",2.63842819154298e-97,-3.37784993107807,0.011,0.149,4.87898141180128e-93
