"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PFDN5",0,-2.98099997325623,0.215,0.699,0,"PFDN5"
"EEF1G",0,-5.85755799935546,0.021,0.505,0,"EEF1G"
"BAG3",0,2.496204133996,0.681,0.235,0,"BAG3"
"RASGEF1B",0,1.93167707610756,0.768,0.333,0,"RASGEF1B"
"CD83",0,1.78204832392035,0.768,0.334,0,"CD83"
"RPL22",0,-2.45125884153755,0.278,0.701,0,"RPL22"
"PPP1R15A",0,1.42408658927677,0.852,0.471,0,"PPP1R15A"
"CCL3",0,1.68804731370198,0.774,0.411,0,"CCL3"
"CCL4",0,1.76753027704424,0.762,0.406,0,"CCL4"
"DNAJB1",0,1.37793375069635,0.892,0.555,0,"DNAJB1"
"HSPA1B",0,1.36341708031822,0.887,0.556,0,"HSPA1B"
"HSPH1",0,1.39239239216829,0.835,0.532,0,"HSPH1"
"JUN",0,1.05281542459354,0.932,0.666,0,"JUN"
"ZFP36",0,1.04208208175412,0.924,0.665,0,"ZFP36"
"MALAT1",0,0.867763659692601,0.967,0.726,0,"MALAT1"
"HSPA1A",0,1.16681864404265,0.923,0.682,0,"HSPA1A"
"KLF6",0,1.05131850701792,0.898,0.658,0,"KLF6"
"NR4A1",2.89908348472479e-306,1.86898391747843,0.732,0.319,5.36098517995308e-302,"NR4A1"
"KDM6B",5.85988043408151e-304,2.49328912333976,0.645,0.215,1.08360908987035e-299,"KDM6B"
"IL1B",7.40512558831402e-300,3.3502751234708,0.539,0.103,1.36935582379103e-295,"IL1B"
"NEAT1",1.48902615230154e-294,1.04690195957261,0.934,0.599,2.75350716083601e-290,"NEAT1"
"NFKBIZ",3.1226473952715e-294,1.50360122120174,0.798,0.408,5.77439956333605e-290,"NFKBIZ"
"RPS10",5.82664259730339e-287,-3.00153989365916,0.138,0.56,1.07746274909334e-282,"RPS10"
"HSPD1",2.60733734340708e-279,1.2374119498988,0.835,0.557,4.82148821542838e-275,"HSPD1"
"CD59",1.429050601337e-273,-1.91509938502485,0.345,0.723,2.64260037199237e-269,"CD59"
"RPL23A",2.60761210499188e-269,-1.76974590433878,0.444,0.757,4.82199630455099e-265,"RPL23A"
"FOSB",5.15080999971922e-269,1.24503445320767,0.838,0.489,9.52487785148078e-265,"FOSB"
"CCL4L2",4.50926918622662e-267,2.02732649773162,0.661,0.277,8.33854057917027e-263,"CCL4L2"
"RPL17",8.39723417799787e-267,-2.45885024833702,0.251,0.622,1.55281654419537e-262,"RPL17"
"ATF3",3.11158809875443e-262,1.69342728847557,0.705,0.296,5.75394871221669e-258,"ATF3"
"PRG2",2.14427392645722e-259,-3.93016896982611,0.02,0.385,3.9651913448047e-255,"PRG2"
"MCL1",1.70027893295057e-257,1.03349265664556,0.872,0.596,3.1441558028122e-253,"MCL1"
"PLAUR",7.64729838421439e-257,1.9777339260989,0.661,0.286,1.41413841720893e-252,"PLAUR"
"RPS17",1.11032572220689e-244,-2.93553208799482,0.115,0.493,2.05321432550498e-240,"RPS17"
"RPL27A",2.8145497994618e-244,-1.23680823944032,0.649,0.867,5.20466548916476e-240,"RPL27A"
"HSP90AA1",2.68651728162062e-234,0.572233091362033,0.962,0.883,4.96790775717285e-230,"HSP90AA1"
"PNRC1",3.30527575314315e-227,0.803418428758667,0.882,0.696,6.11211592271232e-223,"PNRC1"
"HSP90AB1",8.85899944276781e-225,0.614824798014951,0.932,0.836,1.63820617695662e-220,"HSP90AB1"
"CSRNP1",5.77393024765353e-217,1.91545624942092,0.581,0.214,1.06771518139609e-212,"CSRNP1"
"TRIB1",1.72048544487229e-216,1.63837365581789,0.654,0.31,3.18152168465784e-212,"TRIB1"
"IER2",2.94047476229272e-216,0.883883066723357,0.893,0.614,5.43752593043171e-212,"IER2"
"RPS20",1.26733639752255e-214,-1.45464493590807,0.488,0.786,2.3435584662987e-210,"RPS20"
"RPL26",4.30357996696524e-212,-1.3380795016339,0.594,0.801,7.95818007491212e-208,"RPL26"
"NFKBIA",7.83489750578765e-211,0.842896613409044,0.874,0.67,1.44882924677025e-206,"NFKBIA"
"SGK1",1.35427987374151e-209,1.48949266722907,0.683,0.35,2.5043343425228e-205,"SGK1"
"NR4A2",6.29129671654816e-209,1.54207120758296,0.669,0.324,1.16338658882409e-204,"NR4A2"
"EGR1",7.62865145665667e-209,1.00911060992819,0.853,0.495,1.41069022736495e-204,"EGR1"
"RPS29",1.58519195563007e-208,-1.20466724526428,0.625,0.832,2.93133696435112e-204,"RPS29"
