"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0002181","cytoplasmic translation",141,0.709469425106684,3.08644389999323,1e-10,4.339e-07,4.14105263157895e-07,759,"tags=58%, list=10%, signal=53%","RPL17/RBM4/EIF4A1/IGF2BP1/RPLP1/RPL10/RPL13/RPS12/RPS2/RPS18/RPS14/RPL28/RPL13A/RPS23/RPS24/RPS8/RPL37/RPL7A/RPL41/RPS3A/RPL11/RPL19/RPL3/RPS27A/RPS28/RPS11/RPS6/RPL8/RPS16/RPL9/RPL18A/RPL32/RPS3/RPL37A/RPS4X/RPL26/RPL18/RPL30/RPS27/RPL12/RPL15/RPLP0/RPL36A/RPL27A/RPS19/RPLP2/RPS29/RPL6/RPS13/RPL21/RPS15/RPL14/RPL39/RPL23/UBA52/RPS7/RPL29/RPS17/RPL34/RPL10A/RPS9/RPS15A/RPL23A/FAU/RPS20/RPL5/RPS25/YBX1/RPL7/RPS26/RPL24/RPS21/FMR1/RPL36/RPS5/RPL38/RPSA/RPL35/RPL27/RPS10/RPL35A/EIF2AK4","Miscarriage",82
"GO:0044703","multi-organism reproductive process",76,0.62145535072121,2.4361401999294,3.084895894928e-08,6.69268164404631e-05,6.38735813191935e-05,191,"tags=20%, list=3%, signal=19%","PSG9/PSG1/PSG3/PSG2/PAPPA/PSG4/PSG5/HPGD/PSG6/HSPG2/SERPINE2/FBLN1/SPP1/MMP2/ITGA5","Miscarriage",15
"GO:0044706","multi-multicellular organism process",79,0.614132278659822,2.40685886135345,5.1887449799638e-08,7.50465482268765e-05,7.16228868462372e-05,191,"tags=19%, list=3%, signal=19%","PSG9/PSG1/PSG3/PSG2/PAPPA/PSG4/PSG5/HPGD/PSG6/HSPG2/SERPINE2/FBLN1/SPP1/MMP2/ITGA5","Miscarriage",15
"GO:0007565","female pregnancy",73,0.612549489130932,2.36077337842951,2.52527803271786e-07,0.00027392953459907,0.00026143273107137,191,"tags=19%, list=3%, signal=19%","PSG9/PSG1/PSG3/PSG2/PAPPA/PSG4/PSG5/HPGD/PSG6/HSPG2/FBLN1/SPP1/MMP2/ITGA5","Miscarriage",14
"GO:0007167","enzyme-linked receptor protein signaling pathway",409,0.345488175464554,1.69228853320211,1.48530059728382e-06,0.0012889438583229,0.00123014158941359,1001,"tags=22%, list=13%, signal=20%","ZGPAT/PSG9/CSH2/INHBA/CSH1/HPGD/PIK3R2/HTRA4/HTRA1/FLT1/USP9Y/COL4A1/CDKN1C/GDF15/PTPRF/FSTL1/RBM4/FSTL3/IGFBP3/MMP2/ITGA5/PEG10/RABGEF1/FERMT2/NEDD4/GATA3/PGF/DAB2/RAPGEF1/HSP90AB1/EPN2/RAPGEF2/NCL/CD63/SMARCC1/CBL/LNPEP/IGF2R/COL4A2/ZBTB7A/UBE2O/FOLR1/PPARG/PTN/ANKS1A/RAC1/EFNA1/HIVEP1/TXNIP/SOS2/NFIA/BCL9L/SMAD5/CD109/GSK3B/VEGFB/GNAI2/DSTYK/ID1/SPTBN1/PIK3R1/PARP1/BMPR2/CPNE3/SETX/INSR/FRS2/SNX6/SAP30L/SORT1/SREBF1/PTK2/PAK2/PPM1L/HIPK2/SMURF2/AGR2/MAP2K2/PLEKHA1/CCDC88A/ZNF106/PIP4K2B/IFI6/HSPA5/NUCKS1/PIK3CB/GIGYF2/SESN3/VIM/CTSD","Miscarriage",90
"GO:0033108","mitochondrial respiratory chain complex assembly",81,-0.526021067976339,-1.93196989301658,1.84572987282763e-05,0.0114408884545702,0.0109189493529382,2057,"tags=60%, list=27%, signal=45%","SAMM50/NDUFB4/NDUFB1/NDUFA3/NDUFS8/NDUFS4/COX20/NDUFS7/NDUFB9/COX19/NDUFB5/NDUFA6/NDUFS3/COA4/TMEM126B/NDUFAF4/NDUFA9/SDHAF2/ACAD9/NDUFA2/OXA1L/NDUFAF2/SLC25A33/TIMM21/NDUFB6/NDUFAF3/ECSIT/UQCC2/FOXRED1/NDUFAF5/OMA1/SDHAF3/COX17/NDUFB3/COA3/NDUFAF6/TACO1/COA5/SURF1/TMEM126A/SMIM20/COX14/UQCC3/SDHAF1/NDUFAF1/CHCHD4/BCS1L/TMEM223/PET117","Miscarriage",49
"GO:0006066","alcohol metabolic process",176,-0.420906112670733,-1.74288757752156,1.63677226959468e-05,0.0114408884545702,0.0109189493529382,2201,"tags=46%, list=29%, signal=33%","NAAA/PTS/SCARB1/CBR4/PNPLA2/ACSS1/GK/RFT1/STARD4/SGPP1/P2RY6/ALG2/CLN8/DHRS7/SNX17/QDPR/ALDH3A2/PCK2/IDH3G/ACLY/SRD5A3/HMGCS1/TKFC/DOLK/PLCG2/PRKAA1/IP6K2/ACSS2/ALDH3B1/PCBD1/DPM3/DHDDS/SULT1A1/NSDHL/RDH10/FDPS/DPAGT1/SPR/ALG13/DPM2/GALK1/IDH3B/IDH3A/INSIG2/G6PD/GOT1/PMVK/MPDU1/FDXR/CYB5R3/ITPKB/GPD2/SMPD1/ALG3/PLB1/ALG14/LDLR/ACO2/APOL1/PNPLA4/SPTSSA/SNCA/SC5D/MSMO1/MVD/INSIG1/ARV1/HSD17B7/ALG12/DPM1/EBP/TPK1/ALDH1A1/PLPP1/ALG6/ALG8/TM7SF2/IMPA1/DHCR24/MVK/THTPA","Miscarriage",81
"GO:0009110","vitamin biosynthetic process",11,-0.842365976795046,-2.01389509431575,2.94801394387106e-05,0.0159892906280707,0.0152598511252484,415,"tags=36%, list=5%, signal=34%","SLC25A19/TPK1/TNF/THTPA","Miscarriage",4
"GO:0044283","small molecule biosynthetic process",291,-0.371134249893775,-1.61877450519391,3.88103892603629e-05,0.0187109198889683,0.017857318286581,2143,"tags=40%, list=28%, signal=30%","CBR4/SHMT1/APRT/ACSS1/ILVBL/ABHD3/ADA/STARD4/MLYCD/P2RY6/MTHFD1/MTHFD2L/ALOX5AP/QDPR/ALOX5/MGST2/PCK2/NR1H2/ACLY/HMGCL/EIF6/SRD5A3/UROS/HMGCS1/ASL/GAMT/TBXAS1/PLCG2/KAT2A/OSBPL3/HACD4/SIRT7/COQ4/PRKAA1/ENOPH1/IP6K2/PLOD3/CBR1/SCP2/ACSS2/SLC37A4/PTGES2/PCBD1/ARPP19/DHDDS/NDUFA9/SHMT2/LTA4H/NSDHL/RDH10/ASNSD1/FDPS/COQ5/PDK2/SPR/GOT2/PGD/INSIG2/COQ7/SDHAF3/PYCR2/G6PD/GOT1/PMVK/PRKAG1/FDXR/CYB5R3/ITPKB/G6PC3/PRKAB1/SIRT2/KYNU/TK1/OAT/ELOVL5/SPTSSA/COQ10B/SLC25A19/GSTM4/SIRT6/SNCA/MID1IP1/MCAT/WDR5/PTGDS/SC5D/MSMO1/MVD/ACOT7/HPRT1/INSIG1/ARV1/HSD17B7/ACOT8/BRCA1/MECR/FADS2/EBP/TPK1/ALDH1A1/HSD17B8/BCAT2/UBR4/PRPS1/FADS1/TM7SF2/HAAO/SDSL/EGR1/IMPA1/NNMT/DHCR24/MVK/ATF3/TNF/THTPA","Miscarriage",116
"GO:0009060","aerobic respiration",133,-0.448066961129049,-1.78397928097967,6.71828264161826e-05,0.0291506283819816,0.0278207620127645,2825,"tags=60%, list=37%, signal=38%","NDUFB11/NDUFA1/NDUFB7/NDUFA5/NDUFA10/IDE/BID/NDUFAB1/COQ9/UQCRC1/ISCU/SUCLA2/UQCRFS1/COA6/NDUFA8/COX7A2/IDH1/SDHA/NDUFV1/NDUFS6/NDUFC1/SDHD/PDHB/DLST/OGDH/DLAT/BLOC1S1/PANK2/SDHC/UQCRQ/NUPR1/NDUFB4/NDUFB1/MTFR1L/COX7A2L/NDUFA3/DNAJC30/TEFM/NDUFS8/NDUFS4/NDUFS7/SDHB/NDUFB9/NDUFB5/IDH3G/ACLY/ARL2/HIF1A/NDUFA6/NDUFS3/GHITM/CYCS/NDUFA9/STOML2/SHMT2/SDHAF2/NDUFV3/NDUFA2/OXA1L/CS/SLC25A33/PPIF/SUCLG1/IDH3B/NDUFB6/IDH3A/CYC1/MRPS36/UQCC2/FH/CDK1/NDUFB3/ACO2/SURF1/UQCC3/SNCA/NDUFAF1/FXN/COX7A1/TNF","Miscarriage",80
"GO:0050886","endocrine process",25,0.719084756362342,2.22995263422645,0.000112526496821837,0.037557882285381,0.0358444727528023,533,"tags=44%, list=7%, signal=41%","KISS1/INHBA/CYP19A1/KDM5B/CGA/SPP1/NDST2/GATA3/DAB2/PPARG/CTSZ","Miscarriage",11
"GO:0060986","endocrine hormone secretion",18,0.763092740137023,2.20604619568331,9.97556973117963e-05,0.037557882285381,0.0358444727528023,451,"tags=50%, list=6%, signal=47%","KISS1/INHBA/CYP19A1/KDM5B/CGA/SPP1/GATA3/DAB2/PPARG","Miscarriage",9
"GO:0006720","isoprenoid metabolic process",52,-0.564850918045726,-1.91749444594612,0.00010550973877054,0.037557882285381,0.0358444727528023,2131,"tags=60%, list=28%, signal=43%","PNPLA2/RFT1/ALG2/DHRS7/ALDH3A2/SRD5A3/HMGCS1/DOLK/DPM3/DHDDS/RDH10/GGPS1/FDPS/DPAGT1/ALG13/DPM2/DHRS4L2/PMVK/MPDU1/ALG3/PLB1/ALG14/PNPLA4/HTRA2/MVD/ALG12/DPM1/ALDH1A1/ALG6/ALG8/MVK","Miscarriage",31
"GO:0045333","cellular respiration",153,-0.418138481264069,-1.69148694335113,0.000130473839725067,0.0404375707547903,0.0385927883818355,3252,"tags=63%, list=43%, signal=37%","DGUOK/NDUFB8/SUCLG2/TRAP1/SOD2/MDH2/NDUFB10/NDUFA12/NDUFB2/COX7B/FLCN/NDUFB11/NDUFA1/NDUFB7/NDUFA5/NDUFA10/IDE/BID/NDUFAB1/COQ9/UQCRC1/ISCU/SUCLA2/UQCRFS1/COA6/NDUFA8/COX7A2/IDH1/SDHA/NDUFV1/NDUFS6/NDUFC1/SDHD/PDHB/DLST/OGDH/DLAT/BLOC1S1/PANK2/SDHC/UQCRQ/PUM2/NUPR1/NDUFB4/NDUFB1/MTFR1L/COX7A2L/NDUFA3/DNAJC30/TEFM/NDUFS8/NDUFS4/NDUFS7/SDHB/NDUFB9/NDUFB5/IDH3G/ACLY/ARL2/HIF1A/CISD1/NDUFA6/NDUFS3/GHITM/CYCS/NDUFA9/STOML2/SHMT2/SDHAF2/NDUFV3/NDUFA2/OXA1L/CS/SLC25A33/PPIF/SUCLG1/IDH3B/NDUFB6/IDH3A/CYC1/MRPS36/UQCC2/FH/CDK1/NDUFB3/GPD2/CHCHD5/ACO2/SURF1/UQCC3/COQ10B/SNCA/NDUFAF1/FXN/COX7A1/TNF","Miscarriage",96
