"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0002181","cytoplasmic translation",142,0.736941970603449,3.5226424133139,1e-10,4.454e-07,4.29684210526316e-07,670,"tags=61%, list=8%, signal=57%","RPL17/RBM4/IGF2BP1/EIF4A1/RPLP1/RPL10/RPL13/RPS2/RPS12/RPL13A/RPS14/RPS18/RPL39/RPS3A/RPL28/RPS23/RPL3/RPL7A/RPS8/RPL41/RPL11/RPS24/RPL18A/RPL37/RPS28/RPS3/RPL36A/RPL9/RPS4X/RPS6/RPL19/RPL8/RPS27A/RPL18/RPLP0/RPS11/RPS16/RPL32/RPL37A/RPL26/RPL12/RPL30/RPS29/RPS27/RPL15/RPL6/RPL27A/RPL10A/RPL21/RPS19/RPL14/RPLP2/RPS13/RPS7/RPS15/RPL29/RPL23/RPL5/RPS9/RPS10/RPL23A/RPL34/UBA52/RPS17/RPL7/RPS25/RPS20/RPS15A/FAU/YBX1/RPSA/RPS26/RPL24/RPS5/RPS21/RPL38/RPL36/FMR1/RPL35/RPL27/RPL22/RPL35A/RPL4/PABPC1/EIF3A/RPL31","Miscarriage",86
"GO:0044706","multi-multicellular organism process",85,0.588484543323108,2.53504028618842,3.93826213370107e-10,5.84700651450152e-07,5.64069685255009e-07,233,"tags=19%, list=3%, signal=18%","PSG9/PSG1/PSG3/PSG2/PSG4/PSG5/PAPPA/HPGD/PSG6/HSPG2/SERPINE2/FBLN1/MMP2/SPP1/ITGA5/PTN","Miscarriage",16
"GO:0044703","multi-organism reproductive process",82,0.59339813941128,2.52157718736872,3.91009074844004e-10,5.84700651450152e-07,5.64069685255009e-07,233,"tags=20%, list=3%, signal=19%","PSG9/PSG1/PSG3/PSG2/PSG4/PSG5/PAPPA/HPGD/PSG6/HSPG2/SERPINE2/FBLN1/MMP2/SPP1/ITGA5/PTN","Miscarriage",16
"GO:0007565","female pregnancy",78,0.597406832993857,2.50349180908121,2.27323564347485e-09,2.53124788900925e-06,2.44193365701693e-06,321,"tags=21%, list=4%, signal=20%","PSG9/PSG1/PSG3/PSG2/PSG4/PSG5/PAPPA/HPGD/PSG6/HSPG2/FBLN1/MMP2/SPP1/ITGA5/PTN/RPL29","Miscarriage",16
"GO:0042274","ribosomal small subunit biogenesis",90,0.461031110537738,2.02339770565665,2.6633794828421e-05,0.0237253844331574,0.0228882422083399,942,"tags=39%, list=12%, signal=35%","RPS12/RPS14/RPS3A/RPS23/RPS8/RPS24/RPS28/RPS4X/RPS6/RPS11/RPS16/RPS27/RPS19/RPS13/RPS7/RPS15/RPS9/RPS17/RPS25/RPS15A/RPSA/RPS5/RPS21/RPL38/UTP20/RIOK3/NPM1/PRKDC/RRS1/BMS1/RRP36/XRCC5/TSR3/TSR1/HEATR1","Miscarriage",35
"GO:0060986","endocrine hormone secretion",19,0.739456678652034,2.27562259391241,5.40535177042379e-05,0.0401257279757792,0.0387099051348595,215,"tags=42%, list=3%, signal=41%","KISS1/INHBA/CYP19A1/KDM5B/CGA/GATA3/SPP1/DAB2","Miscarriage",8
"GO:0019362","pyridine nucleotide metabolic process",44,-0.612393308177076,-1.94324474524759,8.8897027497775e-05,0.0439941511638989,0.0424418323094641,1100,"tags=30%, list=14%, signal=26%","RPE/G6PD/NADSYN1/NMRK1/PGD/MLST8/HAAO/NAMPT/KYNU/NQO1/RPTOR/NNMT/ME1","Miscarriage",13
"GO:0046496","nicotinamide nucleotide metabolic process",44,-0.612393308177076,-1.94324474524759,8.8897027497775e-05,0.0439941511638989,0.0424418323094641,1100,"tags=30%, list=14%, signal=26%","RPE/G6PD/NADSYN1/NMRK1/PGD/MLST8/HAAO/NAMPT/KYNU/NQO1/RPTOR/NNMT/ME1","Miscarriage",13
"GO:0009110","vitamin biosynthetic process",12,-0.813283010317086,-1.93236212476074,7.24073861912832e-05,0.0439941511638989,0.0424418323094641,586,"tags=42%, list=7%, signal=39%","SLC25A19/CYP27A1/TNF/TPK1/THTPA","Miscarriage",5
"GO:0050886","endocrine process",26,0.669995518230834,2.26432361176248,0.000109191490763707,0.048633889986155,0.0469178595049949,215,"tags=31%, list=3%, signal=30%","KISS1/INHBA/CYP19A1/KDM5B/CGA/GATA3/SPP1/DAB2","Miscarriage",8
