"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"chr3-93470258-93470847",0,-2.32356430354854,0.624,0.991,0,"Sig"
"chr16-46389547-46390831",2.05909480627018e-34,-1.9263780223204,0.105,0.285,4.14149856574734e-29,"Sig"
"chr5-49599373-49602843",8.92219472529639e-29,-1.74095860920247,0.081,0.218,1.79453886948831e-23,"Sig"
"chr1-180471-181639",3.0403467268209e-27,2.04910339065118,0.324,0.08,6.11511017858941e-22,"Sig"
"chr10-104109659-104111261",4.82657094462185e-27,4.99583455129439,0.122,0.004,9.70777867233682e-22,"Sig"
"chr16-46394190-46394982",6.15831000038485e-27,-2.31767894642142,0.042,0.163,1.23863320699741e-21,"Sig"
"chr14-105709158-105712435",1.96750519108623e-25,1.50028657780951,0.489,0.165,3.95728254093555e-20,"Sig"
"chr14-105857256-105860325",9.3155778171248e-25,1.94332073757471,0.342,0.089,1.87366079751395e-19,"Sig"
"chr5-49656825-49660318",3.46634117398845e-23,-1.50554121006914,0.097,0.225,6.97192133006644e-18,"Sig"
"chr8-12194034-12195099",1.51898625574152e-21,3.13019806735281,0.137,0.015,3.05516743589804e-16,"Sig"
"chr15-84894261-84895628",2.90021761742112e-20,3.49405982314338,0.135,0.012,5.83326569827145e-15,"Sig"
"chr8-8227315-8229225",3.5541376475721e-19,-0.913388631399705,0.161,0.253,7.14850813331472e-14,"Sig"
"chr16-46883446-46885045",4.58637430351394e-19,1.79259180088225,0.281,0.075,9.22466636414366e-14,"Sig"
"chr19-15195028-15196339",1.8490328714039e-18,1.97213898475836,0.248,0.06,3.71899679491208e-13,"Sig"
"chr4-3954592-3956407",3.87727411572451e-18,1.31887308096879,0.377,0.141,7.79843897443903e-13,"Sig"
"chr16-4924574-4925456",3.08373842861156e-17,3.9305946172541,0.102,0.007,6.20238477623501e-12,"Sig"
"chr5-49660689-49661798",8.60888336130028e-17,-1.79007490057518,0.051,0.137,1.73152192822505e-11,"Sig"
"chr15-65300336-65301532",1.01944704291927e-16,2.23396683363383,0.17,0.031,2.05043422636439e-11,"Sig"
"chr11-107849198-107850323",2.68328195538125e-16,2.69051225908767,0.131,0.02,5.39693866249741e-11,"Sig"
"chr21-45529114-45529400",2.77584321039695e-16,-3.28410156959474,0.008,0.068,5.5831089659356e-11,"Sig"
"chr19-2340630-2342375",7.68461614666477e-16,2.00207154064955,0.219,0.055,1.54562221481098e-10,"Sig"
"chr5-49666092-49667225",1.38763547083342e-15,-1.95075089004161,0.031,0.1,2.79097897519667e-10,"Sig"
"chr4-49709016-49711854",2.21135328904845e-15,-2.17327375120253,0.023,0.095,4.44773909732893e-10,"Sig"
"chr4-49149093-49150957",3.05703749039108e-15,-2.25774073756075,0.014,0.054,6.14868064517339e-10,"Sig"
"chr10-46305577-46307639",3.99832824517215e-15,1.74686530877481,0.248,0.071,8.04191756607965e-10,"Sig"
"chr22-41285328-41286882",7.75211527811932e-15,1.43794885867014,0.305,0.101,1.55919845011870e-09,"Sig"
"chr1-80593025-80594767",8.56827403208844e-15,2.53943090461389,0.144,0.024,1.72335409262201e-09,"Sig"
"chr2-20106158-20107037",1.27642475949729e-14,3.32792358964828,0.09,0.008,2.56729864727208e-09,"Sig"
"chr1-43007293-43008986",1.38412505879594e-14,1.68224674322392,0.272,0.085,2.78391841325745e-09,"Sig"
"chr15-91251889-91253113",3.04784843302067e-14,2.63471685764153,0.132,0.018,6.13019851030313e-09,"Sig"
"chr19-245596-247470",3.37333785351103e-14,1.98729114438615,0.213,0.053,6.78486189152381e-09,"Sig"
"chr4-152935156-152937988",4.44629979026532e-14,1.66942645967687,0.255,0.078,8.94293169415644e-09,"Sig"
"chr19-18049265-18049719",6.47284609001682e-14,3.2585850875658,0.065,0.006,1.30189647977726e-08,"Sig"
"chr5-150664889-150665458",6.57202136932451e-14,3.17876303264643,0.099,0.01,1.32184380205498e-08,"Sig"
"chr16-48524020-48526876",8.02663395293632e-14,1.46786559978515,0.321,0.111,1.61441294022199e-08,"Sig"
"chr16-4918112-4919341",9.83829068635035e-14,3.34625207140772,0.093,0.009,1.97879508232702e-08,"Sig"
"chr13-21705666-21707038",1.15926174726178e-13,4.92630267704085,0.056,0.002,2.33164633750256e-08,"Sig"
"chr16-3077669-3078754",1.17844457716698e-13,3.47020567047341,0.088,0.007,2.37022914694749e-08,"Sig"
"chr16-46400014-46401676",2.62879940697078e-13,-1.98703984541083,0.024,0.082,5.28735682322847e-08,"Sig"
"chr16-34592612-34593483",2.7435117131583e-13,-2.41110359047732,0.017,0.076,5.51807997890955e-08,"Sig"
"chr7-48088264-48089769",2.92563402012971e-13,1.34912563498042,0.308,0.115,5.88438621736728e-08,"Sig"
"chr21-8219489-8220176",3.16247678037811e-13,-1.79692478787619,0.032,0.089,6.36075279791011e-08,"Sig"
"chr13-39809738-39810820",3.38792078882414e-13,2.91352491007205,0.107,0.013,6.81419284097776e-08,"Sig"
"chr1-144411878-144413403",3.85100873769296e-13,2.59573938435021,0.096,0.013,7.74561089429661e-08,"Sig"
"chr17-45228480-45229615",7.93818823079528e-13,1.2731294148236,0.281,0.104,1.59662367523632e-07,"Sig"
"chr14-106882892-106883753",7.961826289723e-13,3.6609656919962,0.085,0.006,1.60137804530457e-07,"Sig"
"chr6-167744491-167746101",1.40425133808815e-12,2.20211342116199,0.129,0.027,2.82439880132346e-07,"Sig"
"chr17-30224409-30227200",1.46806612691862e-12,1.79147012029383,0.224,0.065,2.95275076239396e-07,"Sig"
"chr2-223930106-223930965",2.28713353089023e-12,2.42065100795194,0.133,0.025,4.60015741335013e-07,"Sig"
"chr9-9977-11489",2.54910208121489e-12,1.84351228572958,0.2,0.054,5.12705999798913e-07,"Sig"
"chr5-170307324-170308081",3.00780111314267e-12,1.71543588157013,0.197,0.053,6.04965053488611e-07,"Sig"
"chr3-136248892-136251221",3.12077014602867e-12,1.38399352580324,0.288,0.104,6.27686741011038e-07,"Sig"
"chr19-40744125-40745595",3.49039654243542e-12,1.97082331127427,0.188,0.046,7.02030437373121e-07,"Sig"
"chr16-34587937-34588483",3.99556097492004e-12,-1.7193550395113,0.037,0.102,8.03635170007618e-07,"Sig"
"chr2-39179953-39181007",5.44638155660286e-12,2.33710497221811,0.117,0.024,1.09544161524265e-06,"Sig"
"chr13-39037433-39038914",6.00255339020967e-12,1.46450539510176,0.212,0.069,1.20730556847965e-06,"Sig"
"chr11-119696134-119697061",7.22270626116184e-12,2.19656524091309,0.155,0.033,1.45271735572e-06,"Sig"
"chr8-8244082-8244895",7.65655574903547e-12,1.72883734032995,0.166,0.046,1.539978370915e-06,"Sig"
"chr16-46398577-46399473",8.77920351674207e-12,-1.76028671538134,0.035,0.094,1.76577876172937e-06,"Sig"
"chr16-46388565-46389038",8.97916627338883e-12,-2.31708178753224,0.019,0.074,1.80599767089924e-06,"Sig"
"chr17-18138686-18140315",1.04394879119742e-11,2.71075358935315,0.116,0.017,2.09971508271119e-06,"Sig"
"chr5-56908515-56910552",1.93744334689555e-11,1.01924865624042,0.333,0.145,3.89681855247795e-06,"Sig"
"chr8-100212673-100213786",2.00317414404575e-11,1.55175096990108,0.199,0.061,4.0290242194021e-06,"Sig"
"chr10-104081425-104082737",3.27773659701766e-11,3.14222571463554,0.083,0.008,6.59257717231357e-06,"Sig"
"chr10-126439789-126440951",4.54976952863298e-11,1.85658133725979,0.178,0.045,9.15104244833009e-06,"Sig"
"chr18-45522323-45523806",4.73037207742039e-11,3.08776552401156,0.078,0.008,9.51429196675718e-06,"Sig"
"chr5-139642879-139643800",5.95045715026276e-11,1.89685768109192,0.178,0.05,1.19682734754665e-05,"Sig"
"chr9-134356532-134358204",6.81409107441412e-11,1.26655583744937,0.314,0.123,1.37053176597906e-05,"Sig"
"chr16-85523432-85525535",6.82657305614708e-11,1.34451827570528,0.304,0.113,1.37304229192898e-05,"Sig"
"chr16-87789339-87790812",7.43190279804398e-11,1.67937088862807,0.225,0.072,1.49479347357618e-05,"Sig"
